panel,book,band,gross,mean_gross,min_gross,turnover_yr,max_row_sum
U56,UNGATED,,0.75,0.7502280427152643,0.718437655975368,0.8286752801782588,0.7500000000000009
U56,UNGATED,,1.0,1.0,0.9999999999999992,1.0912353680062457,1.000000000000001
U56,GATED,0.0,0.75,0.5322912921487525,0.06696428571428571,3.134733444841705,0.7366071428571428
U56,GATED,0.02,0.75,0.5326712368597617,0.06696428571428571,2.151118636571269,0.7366071428571428
U56,GATED,0.03,0.75,0.5328462760937438,0.06696428571428571,1.7732585915909447,0.7366071428571428
U56,GATED,0.05,0.75,0.5144913562612706,0.06696428571428571,1.4174365347869788,0.7222222222222223
U56,GATED,0.08,0.75,0.5081270543618038,0.059126488357013396,1.1265704443571558,0.6923076923076924
U56,GATED,0.1,0.75,0.5173981658796714,0.059126488357013396,1.002889495443307,0.6923076923076924
U56,GATED,0.0,1.0,0.7095479964744799,0.08928571428571427,4.16975426280458,0.982142857142857
U56,GATED,0.02,1.0,0.7100501737313505,0.08928571428571427,2.8563391093257673,0.982142857142857
U56,GATED,0.03,1.0,0.7102764096510297,0.08928571428571427,2.351558067452517,0.982142857142857
U56,GATED,0.05,1.0,0.685811633579694,0.08928571428571427,1.8738417711695912,0.9629629629629629
U56,GATED,0.08,1.0,0.6773233043790777,0.07885974508080193,1.4837169338187346,0.9230769230769231
U56,GATED,0.1,1.0,0.6896819280348875,0.07885974508080193,1.3190048589431798,0.9230769230769231
B136,UNGATED,,0.75,0.750216595314321,0.7145981736994614,0.8659156261606783,0.7500000000000019
B136,UNGATED,,1.0,1.0,0.999999999999999,1.1388834550931988,1.0000000000000036
B136,GATED,0.0,0.75,0.5319329176003187,0.04190209808602538,3.323976559719434,0.7258064516129032
B136,GATED,0.02,0.75,0.5320808611237187,0.04214696059805784,2.37079695956785,0.7197580645161291
B136,GATED,0.03,0.75,0.5321675891164236,0.04214696059805784,2.0111459572387926,0.713709677419355
B136,GATED,0.05,0.75,0.5262757938190764,0.04183225919866848,1.5863591466944575,0.708
B136,GATED,0.08,0.75,0.5291269682673516,0.041840789682095224,1.227471789984344,0.708
B136,GATED,0.1,0.75,0.534605630584686,0.03578812070699833,1.1037628226581548,0.708
B136,GATED,0.0,1.0,0.7091059395646104,0.055884658087022955,4.420316214381367,0.967741935483871
B136,GATED,0.02,1.0,0.7092969637347478,0.056206436762041664,3.1467480559343306,0.9596774193548387
B136,GATED,0.03,1.0,0.7094092388192114,0.056206436762041664,2.6663752770669493,0.9516129032258065
B136,GATED,0.05,1.0,0.7015524665486889,0.05579287136278642,2.097738287282867,0.944
B136,GATED,0.08,1.0,0.7053414513515964,0.05580408290808802,1.617539830236584,0.944
B136,GATED,0.1,1.0,0.7126462362506126,0.047730660305772485,1.452347759166467,0.944
SMALL,UNGATED,,0.75,0.7500998736581856,0.6998291414616744,1.5115825426640324,0.7500000000000117
SMALL,UNGATED,,1.0,1.0,0.9999999999999992,2.0122597763780274,1.0000000000000182
SMALL,GATED,0.0,0.75,0.41053843233979526,0.025090538642399865,3.668728250517166,0.6769230769230749
SMALL,GATED,0.02,0.75,0.4113432677446753,0.026440606325714527,2.9222225858367175,0.6769230769230749
SMALL,GATED,0.03,0.75,0.4113112673392722,0.022299780653710334,2.571955338737016,0.6749999999999954
SMALL,GATED,0.05,0.75,0.41282693311107693,0.022333509296698827,2.10460965950296,0.6749999999999954
SMALL,GATED,0.08,0.75,0.4186006041007339,0.022239435960618618,1.72095690951987,0.6788135593220291
SMALL,GATED,0.1,0.75,0.4228383112934868,0.02104408940610041,1.5693782306955326,0.6737288135593175
SMALL,GATED,0.0,1.0,0.5473454352731036,0.03345657210617004,4.884103757941766,0.9025641025640997
SMALL,GATED,0.02,1.0,0.5484121769590001,0.03525658525139433,3.887036592077213,0.9025641025640997
SMALL,GATED,0.03,1.0,0.5483670794149911,0.02973655762134435,3.419363414870782,0.8999999999999899
SMALL,GATED,0.05,1.0,0.5503832628210896,0.02978119183917447,2.7953006518950105,0.8999999999999899
SMALL,GATED,0.08,1.0,0.5580787846798385,0.02965669895028671,2.2827822318190645,0.9050847457627017
SMALL,GATED,0.1,1.0,0.5637279536070497,0.028061369246628037,2.0803160191910948,0.8983050847457527
