panel,series,window,n,PW_SB,PW_CB,HHJ,VMATCH,M,m_hat,hhj_sub,hac_sd,vm_sd,vm_spread,vm_lo,vm_hi,vm_identified,ratio_63_over_PW_CB,b_max,cell_N,cell_H,PW_SB_q1,PW_CB_q1,HHJ_q1,VMATCH_q1,PW_SB_q3,PW_CB_q3,HHJ_q3,VMATCH_q3,npairs
U56,S_RAW,FULL,4447,3.7308571944819504,4.270765367456055,12.721484489750738,13.0,2.0,1.0,5.0,0.014694568661733418,0.014773625776096842,1.6724212788182908,1.0,42.0,True,14.75145426627052,201.0,,,,,,,,,,,
U56,S_RAW,IS,2007,1.0,1.0,4.656719496001628,1.0,2.0,1.0,2.0,0.022038817516997503,0.021722536483967634,1.694390123139419,1.0,13.0,True,63.0,135.0,,,,,,,,,,,
U56,S_PSI,FULL,4447,3.045293154619677,3.48599044684331,12.721484489750738,13.0,2.0,1.0,5.0,0.014418521159587095,0.014489824814609658,1.67567529131033,1.0,42.0,True,18.072338682697414,201.0,,,,,,,,,,,
U56,S_PSI,IS,2007,1.3194338117083912,1.5103746763690267,4.656719496001628,1.0,2.0,1.0,2.0,0.021596499184989265,0.02133927030328761,1.727317221816937,1.0,13.0,True,41.711504427135495,135.0,,,,,,,,,,,
U56,S_DIFF_pair,FULL,4447,2.379119850481613,2.7234123775876555,5.088593795900295,34.0,,,,,,,,,,,,10.0,21.0,,,,,,,,,
U56,S_DIFF_pair,FULL,4447,3.447361256969047,3.9462435300790246,5.088593795900295,2.0,,,,,,,,,,,,10.0,42.0,,,,,,,,,
U56,S_DIFF_pair,FULL,4447,2.623896514855465,3.003611711541102,5.088593795900295,84.0,,,,,,,,,,,,10.0,63.0,,,,,,,,,
U56,S_DIFF_pair,FULL,4447,11.626158712947204,13.308629464896178,5.088593795900295,5.0,,,,,,,,,,,,10.0,126.0,,,,,,,,,
U56,S_DIFF_pair,FULL,4447,3.586820302802382,4.105884286097342,5.088593795900295,1.0,,,,,,,,,,,,10.0,189.0,,,,,,,,,
U56,S_DIFF_pair,FULL,4447,1.4648547072405476,1.676840046649546,5.088593795900295,13.0,,,,,,,,,,,,10.0,252.0,,,,,,,,,
U56,S_DIFF_pair,FULL,4447,4.080427530468374,4.670923509833868,5.088593795900295,5.0,,,,,,,,,,,,12.0,21.0,,,,,,,,,
U56,S_DIFF_pair,FULL,4447,3.405625179900028,3.898467648229815,5.088593795900295,34.0,,,,,,,,,,,,12.0,42.0,,,,,,,,,
