panel,cadence,cost_bps,spearman_IS_OOS
U56,W,0,0.28571428571428575
U56,W,10,0.5
U56,W,25,1.0
U56,W,50,1.0
U56,M,0,0.3214285714285715
U56,M,10,0.7142857142857144
U56,M,25,0.9642857142857145
U56,M,50,1.0
B136,W,0,0.8214285714285715
B136,W,10,0.9285714285714288
B136,W,25,1.0
B136,W,50,1.0
B136,M,0,0.8214285714285715
B136,M,10,0.8214285714285715
B136,M,25,0.9642857142857145
B136,M,50,0.9642857142857145
SMALL,W,0,0.21428571428571433
SMALL,W,10,0.07142857142857144
SMALL,W,25,0.25
SMALL,W,50,0.3214285714285715
SMALL,M,0,-0.5
SMALL,M,10,-0.5714285714285715
SMALL,M,25,-0.28571428571428575
SMALL,M,50,-0.10714285714285716
