panel,n,cadence,Sharpe_spread,Sharpe_rel,CAGR_spread,CAGR_rel,MaxDD_spread,MaxDD_rel,turn_rel,OOS_Sharpe_spread,n_4b,n_4a
U56,20,W,0.000900817629978734,0.0007896688366199094,0.1331968604251912,1.1064110814674013,0.17287787427284773,1.0440926124083405,1.0905473246724553,0.0015459127425501151,3,0
U56,12,W,0.0038089648793648845,0.003572380183655719,0.14407436738498336,1.098985179665539,0.1801275418898789,1.0352794461332957,1.0912704199095682,0.004969356818145254,2,0
U56,30,W,0.0002970335803016422,0.0002587141272841385,0.1154914443128352,1.1065577419203734,0.16435859385384866,1.0532236851867443,1.089708153294447,0.0004291951394210791,2,0
U56,10,M,0.008133042311503136,0.0073091764238488125,0.17013476977242759,1.1117951911675177,0.21348639224579702,0.9965905023778301,1.0875132654176083,0.011528928380641457,1,0
U56,20,M,0.00672311622017463,0.005611308841841209,0.1492238476890808,1.1203071486939786,0.186745093769215,1.0186763208663392,1.0860521870461093,0.005890566172791045,2,0
B136,20,W,0.007317530096974667,0.007431717612395635,0.1353781871496551,1.092652898235583,0.20874807340421087,1.0180626100136176,1.0912212009653204,0.007458064048447288,0,0
B136,12,W,0.010579760543781402,0.010891298714915558,0.15149717777110938,1.0890512343300824,0.22734021867024512,1.0080787375689961,1.0912852877938128,0.014139282355187799,0,0
B136,30,W,0.004263256069121812,0.004231643424976488,0.1255069988232076,1.0952430088126817,0.18574417260191978,1.0293020462019158,1.0908980750909396,0.0035363286606703292,2,0
B136,10,M,0.01496492786392345,0.014192473691700642,0.1851119379017252,1.1096921630687384,0.24448619814251227,1.0023203123568791,1.0857935104762275,0.019098676621804644,1,0
B136,20,M,0.013334082194636387,0.01215973473538853,0.16301932238570926,1.1179590917423088,0.22026513954397886,1.0122061144318029,1.0861617282339096,0.014078264651576022,1,0
SMALL,20,W,0.0018876066104159817,0.002528128213560347,0.12201710003898114,1.014950698570414,0.25831272886086887,0.9899004579568664,1.0952518006841092,0.000438342824640392,0,1
SMALL,12,W,0.002695054956627252,0.0037676237937341902,0.12778732981875218,0.9834276653202326,0.3017810987930991,0.9924816805560569,1.0948040459779511,0.002943855990220179,0,0
SMALL,30,W,0.0030809205089773473,0.004788810923589736,0.09167655658098672,0.9983701832855496,0.2528725124882317,0.9967835585390878,1.0952399770210535,0.0017500861051054084,0,0
SMALL,10,M,0.02740628326656347,0.04026722255825475,0.13171992818711553,0.9915488940585221,0.36139608356979813,0.9033268203947274,1.0904791407320251,0.03297271008226166,0,0
SMALL,20,M,0.01533127637335574,0.022376112864766595,0.11364153124903997,1.0180229600752069,0.29919892913908575,0.9715934633890827,1.0913625771092594,0.01636093833348995,0,0
