panel,book,gross,conv,p0.0,p0.5,p1.0,p1.5,moved
U56,CAP2,0.75,RAW,25.0,25.0,25.0,25.0,False
U56,CAP2,0.75,CLIP5,25.0,25.0,25.0,25.0,False
U56,CAP2,0.75,CAUSAL,25.0,25.0,25.0,25.0,False
U56,CAP2,1.0,RAW,50.0,50.0,50.0,50.0,False
U56,CAP2,1.0,CLIP5,50.0,50.0,50.0,50.0,False
U56,CAP2,1.0,CAUSAL,50.0,50.0,50.0,25.0,True
U56,CAND,0.75,RAW,25.0,25.0,25.0,25.0,False
U56,CAND,0.75,CLIP5,25.0,25.0,25.0,25.0,False
U56,CAND,0.75,CAUSAL,25.0,25.0,25.0,25.0,False
U56,CAND,1.0,RAW,,,,,False
U56,CAND,1.0,CLIP5,,,,,False
U56,CAND,1.0,CAUSAL,,,,,False
B136,CAP2,0.75,RAW,25.0,25.0,25.0,25.0,False
B136,CAP2,0.75,CLIP5,25.0,25.0,25.0,25.0,False
B136,CAP2,0.75,CAUSAL,25.0,25.0,25.0,25.0,False
B136,CAP2,1.0,RAW,,,,,False
B136,CAP2,1.0,CLIP5,,,,,False
B136,CAP2,1.0,CAUSAL,,,,,False
B136,CAND,0.75,RAW,25.0,25.0,25.0,25.0,False
B136,CAND,0.75,CLIP5,25.0,25.0,25.0,25.0,False
B136,CAND,0.75,CAUSAL,25.0,25.0,25.0,25.0,False
B136,CAND,1.0,RAW,,,,,False
B136,CAND,1.0,CLIP5,,,,,False
B136,CAND,1.0,CAUSAL,,,,,False
