sample,channel,tol,tol_label,n_in_sample,n_reached,n_moved,share_moved
S12,RESULT (headline),0.0,exact,12,12,12,1.0
S12,RESULT (headline),1e-12,1e-12,12,12,11,0.9167
S12,RESULT (headline),1e-09,1e-9,12,12,11,0.9167
S12,RESULT (headline),1e-06,1e-6,12,12,11,0.9167
S12,RESULT (headline),5.094e-05,1 RESTATEMENT STEP (5.094e-05),12,12,11,0.9167
S12,RESULT (headline),0.001,1e-3,12,12,11,0.9167
S12,RESULT (headline),0.01,1e-2,12,12,10,0.8333
S12,ALL tokens,0.0,exact,12,12,12,1.0
S12,ALL tokens,1e-12,1e-12,12,12,11,0.9167
S12,ALL tokens,1e-09,1e-9,12,12,11,0.9167
S12,ALL tokens,1e-06,1e-6,12,12,11,0.9167
S12,ALL tokens,5.094e-05,1 RESTATEMENT STEP (5.094e-05),12,12,11,0.9167
S12,ALL tokens,0.001,1e-3,12,12,11,0.9167
S12,ALL tokens,0.01,1e-2,12,12,10,0.8333
S24,RESULT (headline),0.0,exact,24,24,24,1.0
S24,RESULT (headline),1e-12,1e-12,24,24,23,0.9583
S24,RESULT (headline),1e-09,1e-9,24,24,23,0.9583
S24,RESULT (headline),1e-06,1e-6,24,24,23,0.9583
S24,RESULT (headline),5.094e-05,1 RESTATEMENT STEP (5.094e-05),24,24,23,0.9583
S24,RESULT (headline),0.001,1e-3,24,24,23,0.9583
S24,RESULT (headline),0.01,1e-2,24,24,22,0.9167
S24,ALL tokens,0.0,exact,24,24,24,1.0
S24,ALL tokens,1e-12,1e-12,24,24,23,0.9583
S24,ALL tokens,1e-09,1e-9,24,24,23,0.9583
S24,ALL tokens,1e-06,1e-6,24,24,23,0.9583
S24,ALL tokens,5.094e-05,1 RESTATEMENT STEP (5.094e-05),24,24,23,0.9583
S24,ALL tokens,0.001,1e-3,24,24,23,0.9583
S24,ALL tokens,0.01,1e-2,24,24,22,0.9167
S36,RESULT (headline),0.0,exact,36,36,36,1.0
S36,RESULT (headline),1e-12,1e-12,36,36,35,0.9722
S36,RESULT (headline),1e-09,1e-9,36,36,35,0.9722
S36,RESULT (headline),1e-06,1e-6,36,36,35,0.9722
S36,RESULT (headline),5.094e-05,1 RESTATEMENT STEP (5.094e-05),36,36,35,0.9722
S36,RESULT (headline),0.001,1e-3,36,36,35,0.9722
S36,RESULT (headline),0.01,1e-2,36,36,33,0.9167
S36,ALL tokens,0.0,exact,36,36,36,1.0
S36,ALL tokens,1e-12,1e-12,36,36,35,0.9722
S36,ALL tokens,1e-09,1e-9,36,36,35,0.9722
S36,ALL tokens,1e-06,1e-6,36,36,35,0.9722
S36,ALL tokens,5.094e-05,1 RESTATEMENT STEP (5.094e-05),36,36,35,0.9722
S36,ALL tokens,0.001,1e-3,36,36,35,0.9722
S36,ALL tokens,0.01,1e-2,36,36,34,0.9444
