tier,blocks,rows,scorable,pub_pass,lost_SAMEv2,gain_SAMEv2,lost_SAMEv2_noSPY,gain_SAMEv2_noSPY,lost_CROSSv2,gain_CROSSv2,lost_SAMEv1,gain_SAMEv1,lost_SAMEv1_noSPY,gain_SAMEv1_noSPY,lost_CROSSv1,gain_CROSSv1
CANON737,1027,386481,361105,19842,17829,2134,18204,1523,19142,542,5952,73145,5772,75150,12096,23476
V1ERA,146,31571,28823,8805,8737,0,8740,0,8763,0,3327,284,3244,498,7029,19
V1ERA6,329,71728,53112,15077,14232,37,14391,19,14815,12,4655,2684,4538,2876,9518,718
V1ERA_EXPOSED,77,18588,16876,7259,7216,0,7216,0,7242,0,2972,269,2895,428,6674,4
V1ERA_IDENT,26,2635,2635,586,583,0,583,0,586,0,3,5,1,42,312,5
V1ERA_UNIQ_CROSSv1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
