idea,ratio,bar_CF,bar_MED,dCAGR_pp,dDD_pp,verdict,kill_CF,kill_MED
"116 rule-8 walk-forward, 44 cells x 46 IS windows",6.363636363636367,2.174193548387097,2.0986497224017784,-2.1999999999999993,14.000000000000004,**rule 8's own full window is the best o,False,False
116 standing KEEP-4b candidate under a 46-window IS sweep,6.689655172413797,2.217105263157895,2.1400704406070767,-2.8999999999999986,19.400000000000002,**UNTOUCHED**: f=0.50 is the modal pick ,False,False
"119 rule-8 walk-forward, S1 and S2 both pick `g200-rw`",0.13657056145675353,2.1812297734627832,2.1054414690762178,-6.59,0.9000000000000057,"beats the live book (+0.94 pp CAGR, +0.0",True,True
"118 rule-8 WF pick, small panel EWall 10 bps (D=0.05, k=0.25)",1.688073394495413,2.174193548387097,2.0986497224017784,-10.9,18.400000000000002,4a True / 4b False; picks below SPY OOS ,True,True
117 rule-8 WF `Sdepth` (episode price as selector) vs idea 94's `S1`,2.250000000000004,2.5975609756097566,2.507306961898195,-0.7999999999999989,1.8000000000000007,"mean OOS regret **+0.425 vs +0.337**, ra",True,True
96 the 9 apparent 4b passes (all on the NON-conformant t+2 lag),0.44884488448844895,2.217105263157895,2.1400704406070767,-30.299999999999997,13.600000000000001,**NOT candidates**: violate rule 2; marg,True,True
"122 rule-8 walk-forward, IS-only screen on idea 94's selector",2.247706422018349,2.1812297734627832,2.1054414690762178,-6.539999999999999,14.700000000000003,**S2 = S1: 0 of 12 picks changed** at th,False,False
"95 theta=0.60/dg (incumbent, u56 @10bps) — harness reproduces idea 94 exactly",4.666666666666669,2.217105263157895,2.1400704406070767,-3.5999999999999996,16.800000000000004,**4b PASS**; OOS 12.2%/1.186/-16.9%; tur,False,False
"95 theta=0.60/dg (incumbent, broad @10bps)",5.35714285714286,2.217105263157895,2.1400704406070767,-2.799999999999999,15.000000000000004,**4b PASS**; OOS 12.0%/1.122/-18.7%; pas,False,False
"133 existence proof: sleeve control books, NO overlay, full matched gross (u56, ",4.215686274509805,2.217105263157895,2.1400704406070767,-5.1,21.500000000000004,**4b-defensive: killed by a CAGR shortfa,False,False
"133B rule-8 walk-forward, 18 cells pooling all books, 4 selectors pre-registered",3.055118110236221,2.1812297734627832,2.1054414690762178,-6.35,19.400000000000002,**S3 (select the class) is the BEST of f,False,False
"128 rule-8 walk-forward, S0 control / S1 idea 94 selector on full IS / S2 same o",3.2844574780058657,2.1812297734627832,2.1054414690762178,-3.41,11.200000000000003,**The depth clause changes 13 of 30 pick,False,False
"132 rule-8 walk-forward, 4 selectors x 3 screens x 18 cells = 216 picks, OOS 201",0.26717557251908414,2.174193548387097,2.0986497224017784,-26.2,7.0000000000000036,"53 distinct picked arms: **18 pass 4a, 7",True,True
131 gross bar at the QUEUE's gamma=0.50 on the 306-row corpus (vs the published ,3.976744186046511,2.174193548387097,2.0986497224017784,-4.300000000000001,17.1,**Admits 27/27 floor-only victims and 11,False,False
"143 rule-8 walk-forward, 5 selectors x 18 cells, kappa*=0.020 chosen on IS windo",2.6000000000000014,1.6614173228346458,1.60369025377112,-1.0,2.6000000000000014,**The first NON-INERT bar the project ha,False,False
"93 both KEEP paths, all 1824 treated arms x 12 cells",0.6981740064446833,2.2127380170715694,2.1358549374410742,-27.93,19.500000000000004,"**0 of 1824 pass 4a and 4b together, and",True,True
"147 rule-8 walk-forward, 3 matched selectors x 18 cells, params on 2009-2016 onl",2.755555555555555,2.572769953051643,2.4833773201934637,-2.25,6.199999999999999,**Relative units buy nothing OOS.** All ,False,False
"91 band x gross grid, 5 bands x 5 gross x 2 universes x 2 books x 2 cost rungs (",0.7204610951008646,2.2127380170715694,2.1358549374410742,-31.23,22.500000000000004,**THE TWO DIALS ARE ORTHOGONAL ON SHARPE,True,True
"91 rule-8 walk-forward: band chosen on 2009-2016 alone at each g, OOS 2017-2026 ",5.079365079365083,2.1812297734627832,2.1054414690762178,-3.1499999999999986,16.000000000000004,**The pinned 3% BEATS the walk-forward-c,False,False
"91 the same walk-forward at g = 0.85 (the question as asked), 4 cells x 2 cost r",8.424242424242433,2.1812297734627832,2.1054414690762178,-1.6499999999999986,13.900000000000002,PIN3 passes 4b in **4 of 8** against 2 o,False,False
146 splitting the FAMILY screen into its two decisions (admissibility vs the m-r,4.581818181818182,2.1812297734627832,2.1054414690762178,-2.75,12.600000000000001,**The admissibility change is a null and,False,False
"145 rule-8: bands re-derived on 2009-2016 alone, OOS read once (18 cells, 14 coe",4.581818181818182,2.1812297734627832,2.1054414690762178,-2.75,12.600000000000001,**4 of 4 IS bands contain the published ,False,False
"90 rule-8 walk-forward: widest-IS-interval selector vs the incumbent, 18 cells",5.322175732217577,2.1812297734627832,2.1054414690762178,-2.389999999999999,12.720000000000002,Second NON-INERT screen the project has ,False,False
"82 idea 57 `EWall+band3-rw` at 10 / 25 bps, OOS 2017-2026, both universes",7.804878048780494,2.1812297734627832,2.1054414690762178,-2.049999999999999,16.000000000000004,**Passes 4b on BOTH universes at BOTH co,False,False
"90R rule-8 selectors, 18 cells, paired on the 7 all enter (OOS 2017-2026)",5.617021276595747,2.1812297734627832,2.1054414690762178,-2.3499999999999996,13.200000000000003,**S2 widest IS interval 13.10%/1.049/-20,False,False
"78 Test B: 50 fixed random k-name sub-panels of B136 per k, CAND-5 and CAND-20 v",3.0789473684210544,2.217105263157895,2.1400704406070767,-3.799999999999999,11.700000000000003,**The gross payoff REVERSES after costs*,False,False
"153C TRANSFER (zero free params): the standing KEEP's SHARE, not its name count,",4.083333333333335,2.217105263157895,2.1400704406070767,-3.5999999999999996,14.700000000000003,"**KEEP-candidate (4b), 10 bps only.** br",False,False
"160B the one 4b pass: u56 @10bps FIXQ q=0.53 (top 53% of eligible, EW, 75% gross",7.150000000000002,2.217105263157895,2.1400704406070767,-2.0,14.300000000000004,"**4b pass, NOT PROPOSED.** OOS 15.5%/**1",False,False
156 lever control on 300 books: is gross Sharpe-neutral? (idea 66),3.3471882640586794,2.2140512147078133,2.1371225071368847,-4.09,13.689999999999998,**Mean Sharpe unchanged to 4 decimals ac,False,False
"156 rule 8 walk-forward, n=20, IS<=2016 -> OOS 2017-2026: idea 78's own k=20 pic",3.274011299435028,2.18252427184466,2.1066909892359065,-7.08,23.18,**The book that failed 4b on CAGR PASSES,False,False
162C the 4b passes: mega20 EW n=20 (INV=NONE=POS identical) @10bps,6.967741935483872,2.217105263157895,2.1400704406070767,-3.0999999999999996,21.6,"**4b + 4a pass at 10 AND 25 bps, OOS 13.",False,False
"164 rule 8 walk-forward — gross chosen on <=2016-12-31, read once on 2017-> (24 ",8.488372093023266,2.2829417773238,2.20361942054066,-0.4299999999999997,3.650000000000002,**The band is a DRAWDOWN instrument only,False,False
159cloud (independent concurrent run vs the lane-B rows above) what the IS-Sharp,2.500000000000009,1.6636363636363638,1.60583219249869,-0.1999999999999993,0.5,**The best OOS Sharpe of any walk-forwar,False,False
166 the horse race — 4 IS-only gross-choice rules x 300 books (idea 78's B136 su,0.5154782608695653,2.18252427184466,2.1066909892359065,-28.75,14.82,"**CEILING `min(g_req,1.00)` IS LAST.** O",True,True
"170cloud both KEEP paths, all 510 book-gross points; best passing book B136 EWAL",3.5555555555555562,2.217105263157895,2.1400704406070767,-4.5,16.000000000000004,"**4a 205/510; 4b 48/510, 0 of them on th",False,False
"174C rule 8 W2 THE PICK — best IS Sharpe among IS-passers at each cell, read ONC",2.80188679245283,2.18252427184466,2.1066909892359065,-7.42,20.79,"**The (phi,delta) screen LOSES to doing ",False,False
172 rule-8 walk-forward — S0 do-nothing / S1 IS-Sharpe argmax @0.75 / S2 IS-reac,3.1614497528830316,2.18252427184466,2.1066909892359065,-6.0699999999999985,19.189999999999998,**SPLIT. Pricing the gross does not buy ,False,False
172 both KEEP paths on all 3000 book-ladder rows,5.2326732673267315,2.2140512147078133,2.1371225071368847,-4.040000000000001,21.14,**4a 1974/3000; full-sample 4b 157; OOS-,False,False
217 rule 8 walk-forward at 5/10/15/20/25 bps (chose on <=2016-12-31 only; 2017-2,3.757647058823529,2.18252427184466,2.1066909892359065,-4.25,15.969999999999999,ANSWERED (cost-robust; queue premise ref,False,False
188 rule 8 walk-forward + both KEEP paths on all 805 ladder rows (chose on <=201,1.3881422924901183,2.2140512147078133,2.1371225071368847,-12.65,17.56,"ANSWERED (signal-horizon, not cost)",True,True
"221 RULE 8 walk-forward, params on <=2016-12-31, 2017-2026 read once, 115 books",1.6359175662414132,2.18252427184466,2.1066909892359065,-10.19,16.669999999999998,**KILL — the screen admits 59/115 books ,True,True
"182 RULE 8 walk-forward on the R6 cadence ladder D/W/M/Q, params on <=2016-12-31",3.473233404710921,2.18252427184466,2.1066909892359065,-4.67,16.22,**the IS-only chooser lands on MONTHLY b,False,False
"276 CAND20 on the mix sweep (mean of 6 draws), q=0.0 -> 1.0",5.06896551724138,2.390070921985816,2.307026290583515,-2.9000000000000004,14.700000000000003,4a **0/66** at n=10 and **0/66** at n=20,False,False
288 rule 8 walk-forward (instrument and level chosen on <=2016 by cheapest IS pr,6.481751824817521,2.18252427184466,2.1066909892359065,-2.7399999999999984,17.759999999999998,IS pick is `SLEEVE(0.30)` / `SLEEVE(0.40,False,False
"284 KEEP paths, all 525 cells (105 panels x EWall/CAND10/CAND20/v1/v2, k=40, 10 ",1.274826789838337,2.386411889596603,2.3034943937505137,-4.33,5.52,**4a 0/525** (v2 beaten nowhere); **4b 2,True,True
"298 KEEP paths, all 324 books (3 panels × 2 families × 9 levels × 3 cadences × 2",0.6446748350612629,2.2140512147078133,2.1371225071368847,-31.830000000000002,20.52,**4a 0/324** (nothing approaches v2's dr,True,True
"297 H4 THE LIVE BOOK: RULES v2 decomposed against its own RESPREAD twin (U56, ba",3.298325722983257,2.2140512147078133,2.1371225071368847,-6.57,21.669999999999998,**HOLDS**: gap0 -3.88 pp/yr of which **9,False,False
