delay,cost,n,keep4a,keep4b_full,keep4b
1,10,210,21,91,91
1,25,210,4,82,81
1,50,210,0,62,62
2,10,210,14,88,88
2,25,210,0,83,83
2,50,210,0,67,67
3,10,210,2,77,77
3,25,210,0,66,66
3,50,210,0,48,48
