band_pp,panel,n_alarm,n_calm,moved_alarm,moved_calm,lift
0.5,U56,11,55,0.36363636363636365,0.2,0.16363636363636364
0.5,B136,11,55,0.7272727272727273,0.09090909090909091,0.6363636363636364
0.5,SMALL,0,66,,0.0,
0.5,ALL,22,176,0.5454545454545454,0.09090909090909091,0.4545454545454545
1.0,U56,19,47,0.42105263157894735,0.14893617021276595,0.2721164613661814
1.0,B136,19,47,0.5263157894736842,0.06382978723404255,0.46248600223964165
1.0,SMALL,0,66,,0.0,
1.0,ALL,38,160,0.47368421052631576,0.0625,0.41118421052631576
2.0,U56,34,32,0.38235294117647056,0.0625,0.31985294117647056
2.0,B136,36,30,0.3611111111111111,0.0,0.3611111111111111
2.0,SMALL,0,66,,0.0,
2.0,ALL,70,128,0.37142857142857144,0.015625,0.35580357142857144
