population,theta,weight,statistic,auc_all_DG,auc_within_market,raw_auc_all_DG,auc_pooled,auc_within_group,n_groups,sd_within_group
POP_A,0.05,flat,BIND,0.07190349544072948,0.11986607142857143,0.9280965045592705,,,,
POP_A,0.05,flat,BINDREL,0.22853343465045592,0.4035714285714286,0.771466565349544,,,,
POP_A,0.05,flat,EPMAX,0.10704787234042554,0.1939732142857143,0.8929521276595744,,,,
POP_A,0.05,flat,EPMAXREL,0.37120060790273557,0.478125,0.6287993920972644,,,,
POP_A,0.05,flat,BINDRANK,0.509023556231003,0.5571428571428572,0.49097644376899696,,,,
POP_A,0.05,flat,BINDISMAX,0.4612462006079027,0.4607142857142857,0.5387537993920972,,,,
POP_A,0.05,flat,EPSPREAD,0.09156534954407294,0.21517857142857144,0.9084346504559271,,,,
POP_A,0.05,flat,EPSHARE,0.414798632218845,0.20513392857142856,0.5852013677811551,,,,
POP_A,0.05,dd,BIND,0.048727203647416416,0.11004464285714285,0.9512727963525835,,,,
POP_A,0.05,dd,BINDREL,0.3117401215805471,0.590625,0.6882598784194529,,,,
POP_A,0.05,dd,EPMAX,0.07703267477203647,0.1810267857142857,0.9229673252279635,,,,
POP_A,0.05,dd,EPMAXREL,0.47074468085106386,0.7330357142857142,0.5292553191489362,,,,
POP_A,0.05,dd,BINDRANK,0.6116071428571429,0.6109375,0.38839285714285715,,,,
POP_A,0.05,dd,BINDISMAX,0.5296352583586627,0.5223214285714286,0.4703647416413374,,,,
POP_A,0.05,dd,EPSPREAD,0.11227203647416413,0.2638392857142857,0.8877279635258358,,,,
POP_A,0.05,dd,EPSHARE,0.41194908814589665,0.17098214285714286,0.5880509118541033,,,,
POP_A,0.05,deep,BIND,0.19148936170212766,0.45,0.8085106382978723,,,,
POP_A,0.05,deep,BINDREL,0.4792933130699088,0.90625,0.5207066869300911,,,,
POP_A,0.05,deep,EPMAX,0.19946808510638298,0.46875,0.800531914893617,,,,
POP_A,0.05,deep,EPMAXREL,0.6196808510638298,0.9223214285714286,0.3803191489361702,,,,
POP_A,0.05,deep,BINDRANK,0.8265577507598785,0.7988839285714285,0.17344224924012158,,,,
POP_A,0.05,deep,BINDISMAX,0.3723404255319149,0.4625,0.6276595744680851,,,,
POP_A,0.05,deep,EPSPREAD,0.18531534954407294,0.4354910714285714,0.8146846504559271,,,,
POP_A,0.05,deep,EPSHARE,0.42496200607902734,0.175,0.5750379939209727,,,,
