claim_set,recovery,n,resolved,share_resolved,fold,block,iid,nw,ambiguous,unresolved
C_1212,R_TEXT200,210,18,0.08571428571428572,10,8,0,0,0,192
C_1212,R_TEXTWIDE,210,30,0.14285714285714285,15,14,0,1,1,179
C_1212,R_SCRIPT,210,86,0.4095238095238095,0,4,82,0,6,118
C_1212,R_SCRIPT_STRICT,210,4,0.01904761904761905,0,3,1,0,0,206
C_HEAD,R_TEXT200,210,18,0.08571428571428572,10,8,0,0,0,192
C_HEAD,R_TEXTWIDE,210,30,0.14285714285714285,15,14,0,1,1,179
C_HEAD,R_SCRIPT,210,86,0.4095238095238095,0,4,82,0,6,118
C_HEAD,R_SCRIPT_STRICT,210,4,0.01904761904761905,0,3,1,0,0,206
C_MEMO,R_TEXT200,358,30,0.08379888268156424,22,8,0,0,0,328
C_MEMO,R_TEXTWIDE,358,50,0.13966480446927373,29,14,0,7,1,307
C_MEMO,R_SCRIPT,358,109,0.30446927374301674,1,4,104,0,6,243
C_MEMO,R_SCRIPT_STRICT,358,5,0.013966480446927373,0,3,2,0,0,353
C_ALL,R_TEXT200,480,43,0.08958333333333333,25,18,0,0,2,435
C_ALL,R_TEXTWIDE,480,52,0.10833333333333334,30,15,0,7,121,307
C_ALL,R_SCRIPT,480,138,0.2875,1,5,132,0,8,334
C_ALL,R_SCRIPT_STRICT,480,5,0.010416666666666666,0,3,2,0,0,475
