stat,be_max,cost_relevant,n_lo,n_hi,n_mid,share_lo,share_hi,lo_ok,hi_ok,n
Sharpe,60.0,56,8,37,11,0.875,0.4864864864864865,7,18,56
Sharpe,200.0,56,8,37,11,0.875,0.4864864864864865,7,18,56
CAGR,60.0,56,10,35,11,0.7,0.2857142857142857,7,10,56
CAGR,200.0,56,10,35,11,0.7,0.2857142857142857,7,10,56
