panel,credit,g_dd_max,g_cagr_min,width
U56,0.0,0.5,0.75,-0.25
U56,0.01,0.5,0.75,-0.25
U56,0.02,0.5,0.75,-0.25
U56,0.03,0.5,0.75,-0.25
U56,0.04,0.5,0.6,-0.09999999999999998
U56,0.05,0.5,0.6,-0.09999999999999998
U56,0.06,0.5,0.5,0.0
B136,0.0,0.5,0.75,-0.25
B136,0.01,0.5,0.75,-0.25
B136,0.02,0.5,0.75,-0.25
B136,0.03,0.5,0.75,-0.25
B136,0.04,0.5,0.6,-0.09999999999999998
B136,0.05,0.5,0.6,-0.09999999999999998
B136,0.06,0.5,0.5,0.0
