panel,volwin,p,dd_bought_pp,cagr_paid_pp,pp_DD_per_pp_CAGR,calmar,calmar_anchor,oos_calmar,m4b_DD_pp,m4b_CAGR_pp,turnover,pass4b,fail4b
U56,20,0.0,0.0,0.0,,0.8261782729856965,0.8261782729856965,0.9056755423894769,1.1028113573180953,5.216957334254689,2.75396200011268,True,-
U56,20,0.25,0.7715410498883135,0.9090665143705934,0.8487179295373146,0.811380073497846,0.8261782729856965,0.9034867970903815,1.8743524072064088,4.307890819884095,3.170876506879093,True,-
U56,20,0.5,1.4486791791255227,1.8033585722664114,0.8033228673457118,0.7918722984229145,0.8261782729856965,0.8937415871612405,2.551490536443618,3.4135987619882777,3.92973098582826,True,-
U56,20,0.75,2.0693301457083924,2.6397132930587652,0.7839223112410659,0.7716545869382405,0.8261782729856965,0.8811535110579239,3.172141503026488,2.577244041195924,4.743566344508445,True,-
U56,20,1.0,2.641277158930222,3.40507124899585,0.7756892487078296,0.7520011344098415,0.8261782729856965,0.8677398074965397,3.7440885162483175,1.811886085258839,5.561295827330559,True,-
U56,20,1.5,3.6598900744442386,4.6983773093917325,0.7789689574586466,0.7179101613543658,0.8261782729856965,0.8450261671976985,4.762701431762334,0.5185800248629566,7.145693778690261,True,-
U56,60,0.0,0.0,0.0,,0.8261782729856965,0.8261782729856965,0.9056755423894769,1.1028113573180953,5.216957334254689,2.75396200011268,True,-
U56,60,0.25,0.7117046549228401,0.9613091436021959,0.7403494075339349,0.8059069269049244,0.8261782729856965,0.901079658370095,1.8145160122409354,4.255648190652493,2.808713690185189,True,-
U56,60,0.5,1.3338880960452548,1.885599303562846,0.7074080338939821,0.7821418397530905,0.8261782729856965,0.8893164918099613,2.4366994533633504,3.331358030691843,2.9988937151428767,True,-
U56,60,0.75,1.898893605926666,2.760530671137773,0.6878726709252692,0.7570083294548902,0.8261782729856965,0.8731994117077909,3.0017049632447614,2.456426663116916,3.254463262380014,True,-
U56,60,1.0,2.413752138001346,3.5771520758269393,0.6747692261429374,0.7314684192383057,0.8261782729856965,0.8544820024756355,3.516563495319441,1.6398052584277498,3.541839738745354,True,-
U56,60,1.5,3.313828194599222,5.009936077606092,0.6614511928428985,0.682497898233686,0.8261782729856965,0.8155747758557093,4.416639551917317,0.2070212566485971,4.159348594488621,True,-
