panel,cap,gross,cost_bps,k0_pass4b,k0_pass4a,k_first_doubt,k_below_half,rate4b_k0,rate4b_k10,rate4b_k25,rate4b_k50,rate4b_k100,rate4b_k200,rate4b_k400
U56,0.015,0.75,0.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,0.015,0.75,10.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,0.015,0.75,25.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,0.015,0.75,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,0.015,1.0,0.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,0.015,1.0,10.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,0.015,1.0,25.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,0.015,1.0,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,0.020,0.75,0.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
U56,0.020,0.75,10.0,True,False,400,-1,1.0,1.0,1.0,1.0,1.0,1.0,0.875
U56,0.020,0.75,25.0,True,False,200,200,1.0,1.0,1.0,1.0,1.0,0.0,0.0
U56,0.020,0.75,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,0.020,1.0,0.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
U56,0.020,1.0,10.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
U56,0.020,1.0,25.0,True,False,400,400,1.0,1.0,1.0,1.0,1.0,1.0,0.0
U56,0.020,1.0,50.0,True,False,50,100,1.0,1.0,1.0,0.875,0.0,0.0,0.0
U56,0.030,0.75,0.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
U56,0.030,0.75,10.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
U56,0.030,0.75,25.0,True,False,200,400,1.0,1.0,1.0,1.0,1.0,0.625,0.0
U56,0.030,0.75,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,0.030,1.0,0.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.125,0.5
U56,0.030,1.0,10.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.375
U56,0.030,1.0,25.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.125
U56,0.030,1.0,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,INF,0.75,0.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
U56,INF,0.75,10.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
U56,INF,0.75,25.0,True,False,400,400,1.0,1.0,1.0,1.0,1.0,1.0,0.0
U56,INF,0.75,50.0,False,False,-1,-1,0.0,0.0,0.0,0.125,0.0,0.0,0.0
U56,INF,1.0,0.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,INF,1.0,10.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,INF,1.0,25.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U56,INF,1.0,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.015,0.75,0.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B136,0.015,0.75,10.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B136,0.015,0.75,25.0,True,False,200,200,1.0,1.0,1.0,1.0,1.0,0.125,0.0
B136,0.015,0.75,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.015,1.0,0.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.015,1.0,10.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.015,1.0,25.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.015,1.0,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.020,0.75,0.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B136,0.020,0.75,10.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B136,0.020,0.75,25.0,True,False,200,400,1.0,1.0,1.0,1.0,1.0,0.875,0.0
B136,0.020,0.75,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.020,1.0,0.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.020,1.0,10.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.020,1.0,25.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.020,1.0,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.030,0.75,0.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B136,0.030,0.75,10.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B136,0.030,0.75,25.0,True,False,400,400,1.0,1.0,1.0,1.0,1.0,1.0,0.0
B136,0.030,0.75,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.030,1.0,0.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.030,1.0,10.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.030,1.0,25.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,0.030,1.0,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,INF,0.75,0.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B136,INF,0.75,10.0,True,False,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B136,INF,0.75,25.0,True,False,400,400,1.0,1.0,1.0,1.0,1.0,1.0,0.0
B136,INF,0.75,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,INF,1.0,0.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,INF,1.0,10.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,INF,1.0,25.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B136,INF,1.0,50.0,False,False,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
