char,level,achieved_B,achieved_S,prem_B,prem_S,gap,sd_pair,t,leg,book,CAGR,Sharpe,MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,fail4b,keep4b
cvol,0.32,0.2732410757143387,0.4022490822354084,-0.047305758968048006,-0.30100081162832676,0.25369505266027875,0.07731854061253741,8.037185186930772,G1_kernel_repro,,,,,,,,,,
cvol,0.39,0.31032962977561107,0.43733659249636364,-0.0067088164660590805,-0.20637493909578133,0.19966612262972225,0.06880221954447543,7.10849333932664,G1_kernel_repro,,,,,,,,,,
breadth,0.58,0.6321848123254451,0.5353877825678994,0.0068178962282800515,-0.12799402819866687,0.13481192442694692,0.05949776198160628,5.5501318888390285,G1_kernel_repro,,,,,,,,,,
,,,,,,,,,WF-B,B-side (IS pick),0.1540578174715741,1.0718698143407714,-0.23962047727225388,0.16962179673049893,1.1117053703685222,-0.23962047727225388,False,DD,False
,,,,,,,,,WF-B,S-side twin,0.02989948465540726,0.2918158521501224,-0.2673278373244622,0.004602698213407752,0.10168456671453192,-0.2673278373244624,False,"H1,H2,OOS,DD,CAGR",False
,,,,,,,,,WF-B,ORIGIN-BLIND control,0.09826300882728534,0.8005171889350371,-0.23654461908652735,0.09687294800069135,0.763612967926774,-0.23654461908652713,False,"H2,OOS,DD,CAGR",False
,,,,,,,,,WF-B,INCUMBENT B136 MA-RS g0.75 W,0.11200053373324415,1.0450277468603142,-0.2011670484693583,0.11971563331408408,1.0659505550392183,-0.20116704846935807,False,-,True
,,,,,,,,,WF-B,SMALL439 MA-RS g0.75 W,0.06478682046825734,0.5033872943946726,-0.38239943767382534,0.07382991597741184,0.535474046054103,-0.3823994376738248,False,"H1,H2,OOS,DD,CAGR",False
,,,,,,,,,WF-B,SMALL full-history only (n=239),0.062115421751753,0.4892761851284717,-0.4043674134210591,0.06737837485207243,0.5005140963255538,-0.40436741342105953,False,"H1,H2,OOS,DD,CAGR",False
,,,,,,,,,WF-B,RULES v2 U56 (live book),0.0866006138307156,1.2056282272849141,-0.12054945176473186,0.09534821724270404,1.2850855590004044,-0.12054945176473153,False,CAGR,False
,,,,,,,,,WF-B,SPY,0.15228044986566625,0.8890291118649435,-0.3371725677562024,0.15450723909089636,0.8820106885412021,-0.33717256775620263,False,"H1,H2,OOS,DD",False
