gate,what,value,pass_
G1,all 15 frozen constants identical in 1252 and 1246,0.0,True
G2,"1252's small loader differs from 1246's (0 = same, 1 = differs)",1.0,True
G3,C_1252_VINTAGE reproduces 1252's own logged U56 row count 4706,0.0,True
G4,U56 anchor A full Sharpe replays 1101/1208/1242/1252's 1.139701,0.002603440670139623,True
G5,U56 SPY OOS Sharpe replays the record's committed 0.8713,0.0032240617633456647,True
G6,C_1252_VINTAGE reproduces 1252's committed do-nothing 0.826772,2.9937348666742025e-07,True
G6b,C_1252_VINTAGE reproduces 1252's committed always-act 0.835724,3.088181156352121e-07,True
G7,C_1246 reproduces 1246's committed do-nothing 0.7922,4.7540197166906495e-05,True
G7b,C_1260 reproduces 1260's committed always-act 0.8017,1.8847526828125183e-07,True
G8,C_1246 and C_1260 are the SAME level to 1e-6 (the OBT name changes nothing),0.0,True
G9,U56 and B136 anchor books are BIT-IDENTICAL across C_1252 and C_1260,0.0,True
G10,both disputed levels (0.826772/0.8268 and 0.7922) appear in the census,1.0,True
G11,CS_LARGE is construction-invariant at fixed vintage on every quantity,0.0,True
G12,4a passes over all 648 rung books at every construction,0.0,True
G13,the capital sentence (gating destroys 4b passes) holds at EVERY construction,-18.0,True
G14,1252's committed delta +0.008951 is inside 2e-3 of this run's at its own construction,3.9180839776775667e-07,True
G15,row-level replay of 1252's OWN committed money.csv do-nothing cell,4.507874662440514e-08,True
