diag,panel,a,b,delta_pp,se_pp,sigmas,decisive
D1_edge_delta,U56,12,5.0,0.8697950031335226,0.5065609319998645,1.7170589916984662,False
D1_edge_delta,U56,12,20.0,1.7020597732109177,0.4368804518528604,3.8959394177338122,True
D1_edge_delta,U56,12,40.0,6.406647672996213,0.34394630208330557,18.626883423926127,True
D1_edge_delta,B136,10,5.0,2.6067724461193986,0.5793738793806266,4.499292320368569,True
D1_edge_delta,B136,10,20.0,3.391484015823109,0.4211176275261237,8.053531351196456,True
D1_edge_delta,B136,10,40.0,6.470609036504859,0.38702758804654774,16.71872816396396,True
D2_drier_share,U56,5,,5.95038816304212,0.575,1.0,
D2_drier_share,U56,8,,5.350912897081484,0.15,0.8991794943653716,
D2_drier_share,U56,10,,6.205435076551991,0.15,0.9056605849816639,
D2_drier_share,U56,12,,6.820183166175642,0.15,0.9127516447929405,
D2_drier_share,U56,15,,5.215201883046006,0.275,0.9307666425533708,
D2_drier_share,U56,20,,5.1181233929647245,0.0,0.8008220603408234,
D2_drier_share,U56,25,,2.9526013388686767,0.125,0.9191826432388859,
D2_drier_share,U56,30,,1.5456520589598344,0.375,0.9725049194479826,
D2_drier_share,U56,40,,0.41353549317942884,0.725,1.0,
D2_drier_share,B136,5,,5.717068769790689,0.6,1.0,
D2_drier_share,B136,8,,5.244526724236387,0.325,0.9571136698081856,
D2_drier_share,B136,10,,8.323841215910088,0.025,0.7784601445098931,
D2_drier_share,B136,12,,6.519566190615922,0.0,0.7889084396481136,
D2_drier_share,B136,15,,6.8337512656864385,0.025,0.745131601775327,
D2_drier_share,B136,20,,4.932357200086979,0.025,0.7860713234650961,
D2_drier_share,B136,25,,4.269149812565876,0.0,0.8743470851130084,
D2_drier_share,B136,30,,2.810899508839926,0.175,0.935847995967258,
D2_drier_share,B136,40,,1.8532321794052287,0.45,0.9861051587820286,
D3_4b_pass,U56,12,,0.06112117896634739,7.137409520209593,,False
D3_4b_pass,U56,20,,1.1027851630698167,5.011052396162452,,False
D3_4b_pass,B136,15,,0.5698439491381213,6.165391588183048,,False
