cond,H,n_IS,IS_delta,n_OOS,OOS_delta
NONE,756,96,-0.12090530077427039,48,-0.16666666666666663
NONE,1260,0,,0,
OTHER3,756,19,0.0,33,0.07894736842105265
OTHER3,1260,0,,0,
DDCAGR,756,19,0.0,33,0.07894736842105265
DDCAGR,1260,0,,0,
SHARPE,756,68,-0.08985507246376812,46,-0.13636363636363635
SHARPE,1260,0,,0,
