panel,wins,n,p,median_d,mean_d,wins_0bps,wins_25bps,wins_m10,wins_m20,wins_m40
B80held,12,18,0.237884521484375,0.04060269708204428,0.0239334119149696,12,12,4,3,5
U56,8,18,0.8145294189453125,-0.01097515239601321,-0.0019007882080245902,9,9,3,2,3
B136,10,18,0.8145294189453125,0.036831854926542174,0.021641509960096974,10,11,2,4,4
