vocab,rule,file,quantity,n_controls,n_cells,within_sd,within_range
BROAD,DROP-ARM,2026-09-04_earnings-season-avoidance_cloud.walkforward.csv,regret,2,12,0.0,0.0
BROAD,DROP-ARM,2026-09-04_earnings-season-avoidance_cloud.walkforward.csv,room,2,12,0.12880126421769988,0.25760252843539977
BROAD,DROP-ARM,2026-09-04_earnings-season-avoidance_cloud.walkforward.csv,margin,2,12,0.12880126421769988,0.25760252843539977
BROAD,DROP-ARM,2026-09-05_cagr-floor-calibration_B.walkforward.csv,regret,2,18,0.0,0.0
BROAD,DROP-ARM,2026-09-05_cagr-floor-calibration_B.walkforward.csv,room,2,18,0.1656837777306321,0.3313675554612642
BROAD,DROP-ARM,2026-09-05_cagr-floor-calibration_B.walkforward.csv,margin,2,18,0.1656837777306321,0.3313675554612642
BROAD,DROP-ARM,2026-09-05_defensive-class-census_B.walkforward.csv,regret,2,35,0.0,0.0
BROAD,DROP-ARM,2026-09-05_defensive-class-census_B.walkforward.csv,room,2,35,0.2765950195333314,0.5531900390666628
BROAD,DROP-ARM,2026-09-05_defensive-class-census_B.walkforward.csv,margin,2,35,0.2765950195333314,0.5531900390666628
BROAD,DROP-ARM,2026-09-05_fixed-gross-S4-blend_cloud.walkforward.csv,regret,2,120,0.0,0.0
BROAD,DROP-ARM,2026-09-05_fixed-gross-S4-blend_cloud.walkforward.csv,room,2,120,0.2131839650627627,0.4263679301255254
BROAD,DROP-ARM,2026-09-05_fixed-gross-S4-blend_cloud.walkforward.csv,margin,2,120,0.2131839650627627,0.4263679301255254
BROAD,DROP-ARM,2026-09-05_gross-as-the-missing-third-bar_B.walkforward.csv,regret,2,20,0.0,0.0
BROAD,DROP-ARM,2026-09-05_gross-as-the-missing-third-bar_B.walkforward.csv,room,2,20,0.17111105346392597,0.34222210692785193
BROAD,DROP-ARM,2026-09-05_gross-as-the-missing-third-bar_B.walkforward.csv,margin,2,20,0.17111105346392597,0.34222210692785193
BROAD,DROP-ARM,2026-09-05_gross-dispersion-not-gross-level_cloud.walkforward.csv,regret,2,21,0.0,0.0
BROAD,DROP-ARM,2026-09-05_gross-dispersion-not-gross-level_cloud.walkforward.csv,room,2,21,0.178565307885164,0.357130615770328
BROAD,DROP-ARM,2026-09-05_gross-dispersion-not-gross-level_cloud.walkforward.csv,margin,2,21,0.178565307885164,0.357130615770328
BROAD,DROP-ARM,2026-09-05_sleeve-f-that-clears-the-floor_cloud.walkforward.csv,regret,2,8,0.0,0.0
BROAD,DROP-ARM,2026-09-05_sleeve-f-that-clears-the-floor_cloud.walkforward.csv,room,2,8,0.2623364965070607,0.5246729930141214
BROAD,DROP-ARM,2026-09-05_sleeve-f-that-clears-the-floor_cloud.walkforward.csv,margin,2,8,0.2623364965070607,0.5246729930141214
BROAD,DROP-ARM,2026-09-05_stop-as-negative-insurance_cloud.walkforward.csv,regret,2,12,0.0,0.0
BROAD,DROP-ARM,2026-09-05_stop-as-negative-insurance_cloud.walkforward.csv,room,2,12,0.16945608177635071,0.33891216355270143
BROAD,DROP-ARM,2026-09-05_stop-as-negative-insurance_cloud.walkforward.csv,margin,2,12,0.16945608177635071,0.33891216355270143
BROAD,DROP-ARM,2026-09-05_weak-dominance-bands-as-the-calibration-output_C.walkforward.csv,regret,2,18,0.0,0.0
BROAD,DROP-ARM,2026-09-05_weak-dominance-bands-as-the-calibration-output_C.walkforward.csv,room,2,18,0.1656837777306321,0.3313675554612642
BROAD,DROP-ARM,2026-09-05_weak-dominance-bands-as-the-calibration-output_C.walkforward.csv,margin,2,18,0.1656837777306321,0.3313675554612642
BROAD,DROP-ARM,2026-09-05_which-asset-carries-S4_C.walkforward.csv,regret,2,8,0.0,0.0
BROAD,DROP-ARM,2026-09-05_which-asset-carries-S4_C.walkforward.csv,room,2,8,0.19042156144048866,0.3808431228809773
BROAD,DROP-ARM,2026-09-05_which-asset-carries-S4_C.walkforward.csv,margin,2,8,0.19042156144048866,0.3808431228809773
BROAD,DROP-ARM,2026-09-05_why-the-IS-4b-screen-changes-no-pick_cloud.walkforward.csv,regret,2,50,0.0,0.0
BROAD,DROP-ARM,2026-09-05_why-the-IS-4b-screen-changes-no-pick_cloud.walkforward.csv,room,2,50,0.15963062985053664,0.3192612597010733
BROAD,DROP-ARM,2026-09-05_why-the-IS-4b-screen-changes-no-pick_cloud.walkforward.csv,margin,2,50,0.15963062985053664,0.3192612597010733
BROAD,DROP-ARM,2026-09-06_MA200-only-book-on-a-third-large-cap-panel_cloud.walkforward.csv,regret,2,4,0.0,0.0
BROAD,DROP-ARM,2026-09-06_MA200-only-book-on-a-third-large-cap-panel_cloud.walkforward.csv,room,2,4,0.0816625,0.163325
