panel,band,nominal,realised,shortfall_pct
U56,0.0,0.5,0.3549652110697992,-29.006957786040154
U56,0.0,0.6,0.4259147404650508,-29.01420992249153
U56,0.0,0.75,0.5323131830234593,-29.024908930205427
U56,0.0,0.85,0.6032286628695651,-29.03192201534528
U56,0.0,1.0,0.7095773797343523,-29.04226202656477
U56,0.02,0.5,0.3552009128508705,-28.959817429825897
U56,0.02,0.6,0.4261964500604748,-28.967258323254196
U56,0.02,0.75,0.5326632566855871,-28.978232441921715
U56,0.02,0.85,0.603623899492566,-28.98542358910988
U56,0.02,1.0,0.7100397732027762,-28.996022679722376
U56,0.03,0.5,0.3553132982813711,-28.937340343725783
U56,0.03,0.6,0.4263295466927277,-28.945075551212042
U56,0.03,0.75,0.532826355626877,-28.95648591641641
U56,0.03,0.85,0.6038063024561198,-28.96396441692708
U56,0.03,1.0,0.7102501067245902,-28.974989327540978
U56,0.05,0.5,0.3430709686789676,-31.385806264206483
U56,0.05,0.6,0.41164077295749746,-31.393204507083748
U56,0.05,0.75,0.5144691830623453,-31.404108925020623
U56,0.05,0.85,0.5830043771164963,-31.411249751000426
U56,0.05,1.0,0.6857823249169851,-31.42176750830149
U56,0.08,0.5,0.3388276183786761,-32.23447632426478
U56,0.08,0.6,0.4065480328222611,-32.241994529623156
U56,0.08,0.75,0.5081019802735354,-32.253069296861945
U56,0.08,0.85,0.5757873046850053,-32.26031709588173
U56,0.08,1.0,0.6772901493984023,-32.270985060159774
B136,0.0,0.5,0.3546939051660383,-29.061218966792335
B136,0.0,0.6,0.42559771650713724,-29.06704724881046
B136,0.0,0.75,0.5319329176003187,-29.075610986624177
B136,0.0,0.85,0.6028097932706533,-29.081200791687845
B136,0.0,1.0,0.7091059395646104,-29.089406043538958
B136,0.02,0.5,0.3547957763172789,-29.040844736544223
B136,0.02,0.6,0.4257183874764124,-29.04693542059793
B136,0.02,0.75,0.5320808611237187,-29.05588518350418
B136,0.02,0.85,0.6029753177357654,-29.061727325204068
B136,0.02,1.0,0.7092969637347478,-29.070303626525217
B136,0.03,0.5,0.3548553462100551,-29.02893075798898
B136,0.03,0.6,0.42578902068241903,-29.035163219596825
B136,0.03,0.75,0.5321675891164236,-29.044321451143517
B136,0.03,0.85,0.6030724519671279,-29.050299768573183
B136,0.03,1.0,0.7094092388192114,-29.059076118078863
B136,0.05,0.5,0.3509281340791566,-29.814373184168687
B136,0.05,0.6,0.42107603509730696,-29.820660817115506
B136,0.05,0.75,0.5262757938190764,-29.829894157456483
B136,0.05,0.85,0.5963947020705649,-29.835917403462954
B136,0.05,1.0,0.7015524665486889,-29.844753345131114
B136,0.08,0.5,0.3528354392569839,-29.43291214860322
B136,0.08,0.6,0.42336163782515535,-29.439727029140773
B136,0.08,0.75,0.5291269682673516,-29.449737564353118
B136,0.08,0.85,0.5996217075801208,-29.45626969645637
B136,0.08,1.0,0.7053414513515964,-29.465854864840356
SMALL,0.0,0.5,0.2739996238710116,-45.200075225797676
SMALL,0.0,0.6,0.3287886497801169,-45.20189170331385
SMALL,0.0,0.75,0.4109664395344776,-45.20447472873632
SMALL,0.0,0.85,0.4657481297319152,-45.20610238448056
SMALL,0.0,1.0,0.5479159752306683,-45.20840247693317
SMALL,0.02,0.5,0.2745392231532064,-45.09215536935872
SMALL,0.02,0.6,0.3294346084770787,-45.09423192048687
SMALL,0.02,0.75,0.41177097665227586,-45.097203113029884
SMALL,0.02,0.85,0.4666577497998332,-45.099088258843146
SMALL,0.02,1.0,0.5489822733327225,-45.10177266672775
SMALL,0.03,0.5,0.27450704547666144,-45.09859090466771
SMALL,0.03,0.6,0.3293954005578504,-45.1007665736916
SMALL,0.03,0.75,0.41172086051733625,-45.10388526435517
SMALL,0.03,0.85,0.466600122356438,-45.10586795806611
SMALL,0.03,1.0,0.5489130248602734,-45.108697513972665
SMALL,0.05,0.5,0.27550515846893925,-44.89896830621215
SMALL,0.05,0.6,0.33059196797429513,-44.90133867095081
SMALL,0.05,0.75,0.41321441053684643,-44.90474526175381
SMALL,0.05,0.85,0.46829120450268247,-44.90691711733147
SMALL,0.05,1.0,0.5508997375832906,-44.91002624167094
SMALL,0.08,0.5,0.27926309558631635,-44.147380882736734
SMALL,0.08,0.6,0.3351008090477641,-44.14986515870598
SMALL,0.08,0.75,0.418849222085092,-44.153437055321064
SMALL,0.08,0.85,0.4746764191581655,-44.155715393157
SMALL,0.08,1.0,0.5584102136725255,-44.15897863274745
