passset,panel,cost,statistic,n,n_pop,median,mean,pop_median,gap,share_pos,share_above_pop
P_ALL,POOLED,0.0,A_DIFF,180,180,-0.30751348994662525,-0.2878277602352494,-0.30751348994662525,0.0,0.08888888888888889,0.5
P_ALL,POOLED,0.0,A_MARGIN,180,180,-0.17670316072987086,-0.17075944671378546,-0.17670316072987086,0.0,0.24444444444444444,0.5
P_ALL,POOLED,0.0,A_RATIO,176,180,0.7084567979115745,0.7178249650553299,0.7084567979115745,0.0,1.0,0.5
P_ALL,POOLED,0.0,A_RANK,180,180,5.000000000000002,0.0,5.000000000000002,0.0,0.5166666666666667,0.5
P_4B,POOLED,0.0,A_DIFF,21,180,-0.05778022766784474,-0.13714885621092607,-0.30751348994662525,0.2497332622787805,0.19047619047619047,0.7142857142857143
P_4B,POOLED,0.0,A_MARGIN,21,180,0.08040365351612622,-0.0007039309032746436,-0.17670316072987086,0.2571068142459971,0.5714285714285714,0.7619047619047619
P_4B,POOLED,0.0,A_RATIO,21,180,0.9540626164041456,0.8916991258856315,0.7084567979115745,0.24560581849257113,1.0,0.9523809523809523
P_4B,POOLED,0.0,A_RANK,21,180,33.33333333333333,23.96825396825397,5.000000000000002,28.33333333333333,0.8571428571428571,0.8571428571428571
P_4A,POOLED,0.0,A_DIFF,1,180,-0.3553001864086208,-0.3553001864086208,-0.30751348994662525,-0.04778669646199557,0.0,0.0
P_4A,POOLED,0.0,A_MARGIN,1,180,-0.2758982490368319,-0.2758982490368319,-0.17670316072987086,-0.09919508830696105,0.0,0.0
P_4A,POOLED,0.0,A_RATIO,1,180,0.6272911984275251,0.6272911984275251,0.7084567979115745,-0.08116559948404933,1.0,0.0
P_4A,POOLED,0.0,A_RANK,1,180,0.0,0.0,5.000000000000002,-5.000000000000002,0.0,0.0
P_ALL,U56,0.0,A_DIFF,60,60,-0.08267105512580386,-0.18005655027222367,-0.08267105512580386,0.0,0.13333333333333333,0.5
P_ALL,U56,0.0,A_MARGIN,60,60,0.0555128260581671,-0.041872669088252705,0.0555128260581671,0.0,0.5333333333333333,0.5
P_ALL,U56,0.0,A_RATIO,60,60,0.9329641072516355,0.8578583120985173,0.9329641072516355,0.0,1.0,0.5
P_ALL,U56,0.0,A_RANK,60,60,19.999999999999996,3.2566542055671256e-16,19.999999999999996,0.0,0.6166666666666667,0.48333333333333334
P_4B,U56,0.0,A_DIFF,13,60,-0.014160114903687626,-0.01913051872447719,-0.08267105512580386,0.06851094022211623,0.3076923076923077,0.8461538461538461
P_4B,U56,0.0,A_MARGIN,13,60,0.12402376628028333,0.11905336245949377,0.0555128260581671,0.06851094022211623,0.9230769230769231,0.8461538461538461
P_4B,U56,0.0,A_RATIO,13,60,0.9880347622491802,0.9869761312633175,0.9329641072516355,0.05507065499754471,1.0,0.8461538461538461
P_4B,U56,0.0,A_RANK,13,60,33.333333333333336,30.0,19.999999999999996,13.33333333333334,0.9230769230769231,0.7692307692307693
P_4A,U56,0.0,A_DIFF,0,60,,,-0.08267105512580386,,,
P_4A,U56,0.0,A_MARGIN,0,60,,,0.0555128260581671,,,
P_4A,U56,0.0,A_RATIO,0,60,,,0.9329641072516355,,,
P_4A,U56,0.0,A_RANK,0,60,,,19.999999999999996,,,
P_ALL,B136,0.0,A_DIFF,60,60,-0.36256396971502836,-0.38937537673123146,-0.36256396971502836,0.0,0.0,0.5
P_ALL,B136,0.0,A_MARGIN,60,60,-0.22894484770639623,-0.2557562547225993,-0.22894484770639623,0.0,0.06666666666666667,0.5
P_ALL,B136,0.0,A_RATIO,60,60,0.7187989062104128,0.7019296790805214,0.7187989062104128,0.0,1.0,0.5
P_ALL,B136,0.0,A_RANK,60,60,6.666666666666665,0.0,6.666666666666665,0.0,0.5333333333333333,0.48333333333333334
P_4B,B136,0.0,A_DIFF,8,60,-0.33039048686575956,-0.3289286546264054,-0.36256396971502836,0.0321734828492688,0.0,0.75
P_4B,B136,0.0,A_MARGIN,8,60,-0.19677136485712743,-0.1953095326177733,-0.22894484770639623,0.0321734828492688,0.0,0.75
P_4B,B136,0.0,A_RATIO,8,60,0.7239833682978509,0.7368739921468913,0.7187989062104128,0.005184462087438169,1.0,0.75
P_4B,B136,0.0,A_RANK,8,60,14.16666666666667,14.166666666666668,6.666666666666665,7.500000000000004,0.75,0.625
P_4A,B136,0.0,A_DIFF,0,60,,,-0.36256396971502836,,,
P_4A,B136,0.0,A_MARGIN,0,60,,,-0.22894484770639623,,,
P_4A,B136,0.0,A_RATIO,0,60,,,0.7187989062104128,,,
P_4A,B136,0.0,A_RANK,0,60,,,6.666666666666665,,,
P_ALL,SMALL663,0.0,A_DIFF,60,60,-0.35507174893197163,-0.29405135370229324,-0.35507174893197163,0.0,0.13333333333333333,0.5
P_ALL,SMALL663,0.0,A_MARGIN,60,60,-0.2756698115601827,-0.2146494163305044,-0.2756698115601827,0.0,0.13333333333333333,0.5
P_ALL,SMALL663,0.0,A_RATIO,56,60,0.5371979035986221,0.5848198996249236,0.5371979035986221,0.0,1.0,0.5
P_ALL,SMALL663,0.0,A_RANK,60,60,-2.4999999999999964,2.3684757858670006e-16,-2.4999999999999964,0.0,0.4,0.5
P_4B,SMALL663,0.0,A_DIFF,0,60,,,-0.35507174893197163,,,
P_4B,SMALL663,0.0,A_MARGIN,0,60,,,-0.2756698115601827,,,
P_4B,SMALL663,0.0,A_RATIO,0,60,,,0.5371979035986221,,,
P_4B,SMALL663,0.0,A_RANK,0,60,,,-2.4999999999999964,,,
P_4A,SMALL663,0.0,A_DIFF,1,60,-0.3553001864086208,-0.3553001864086208,-0.35507174893197163,-0.00022843747664919034,0.0,0.0
P_4A,SMALL663,0.0,A_MARGIN,1,60,-0.2758982490368319,-0.2758982490368319,-0.2756698115601827,-0.00022843747664919034,0.0,0.0
P_4A,SMALL663,0.0,A_RATIO,1,60,0.6272911984275251,0.6272911984275251,0.5371979035986221,0.09009329482890305,1.0,1.0
P_4A,SMALL663,0.0,A_RANK,1,60,0.0,0.0,-2.4999999999999964,2.4999999999999964,0.0,1.0
P_ALL,POOLED,5.0,A_DIFF,180,180,-0.3037270499807604,-0.28637454411700025,-0.3037270499807604,0.0,0.08888888888888889,0.5
P_ALL,POOLED,5.0,A_MARGIN,180,180,-0.17402434729121447,-0.16930623059553626,-0.17402434729121447,0.0,0.25555555555555554,0.5
P_ALL,POOLED,5.0,A_RATIO,176,180,0.7024659641173181,0.7118946197036529,0.7024659641173181,0.0,1.0,0.5
P_ALL,POOLED,5.0,A_RANK,180,180,4.9999999999999964,0.0,4.9999999999999964,0.0,0.5444444444444444,0.5
P_4B,POOLED,5.0,A_DIFF,17,180,-0.05764894784214336,-0.1406767874252839,-0.3037270499807604,0.24607810213861703,0.11764705882352941,0.7647058823529411
P_4B,POOLED,5.0,A_MARGIN,17,180,0.0805349333418276,-0.004103997714961916,-0.17402434729121447,0.25455928063304206,0.5882352941176471,0.7647058823529411
P_4B,POOLED,5.0,A_RATIO,17,180,0.953705656090684,0.8873081428954351,0.7024659641173181,0.25123969197336593,1.0,0.9411764705882353
P_4B,POOLED,5.0,A_RANK,17,180,31.666666666666664,20.980392156862745,4.9999999999999964,26.666666666666668,0.8823529411764706,0.8235294117647058
P_4A,POOLED,5.0,A_DIFF,1,180,-0.3537746788639754,-0.3537746788639754,-0.3037270499807604,-0.05004762888321501,0.0,0.0
P_4A,POOLED,5.0,A_MARGIN,1,180,-0.2743727414921865,-0.2743727414921865,-0.17402434729121447,-0.10034839420097202,0.0,0.0
P_4A,POOLED,5.0,A_RATIO,1,180,0.623964257285545,0.623964257285545,0.7024659641173181,-0.07850170683177304,1.0,0.0
P_4A,POOLED,5.0,A_RANK,1,180,0.0,0.0,4.9999999999999964,-4.9999999999999964,0.0,0.0
P_ALL,U56,5.0,A_DIFF,60,60,-0.08251286238324829,-0.17801900254279177,-0.08251286238324829,0.0,0.13333333333333333,0.5
P_ALL,U56,5.0,A_MARGIN,60,60,0.05567101880072267,-0.039835121358820856,0.05567101880072267,0.0,0.5666666666666667,0.5
P_ALL,U56,5.0,A_RATIO,60,60,0.9326394564057733,0.858538572060948,0.9326394564057733,0.0,1.0,0.5
P_ALL,U56,5.0,A_RANK,60,60,20.833333333333336,-7.105427357601002e-16,20.833333333333336,0.0,0.6166666666666667,0.5
P_4B,U56,5.0,A_DIFF,11,60,-0.018716100039399164,-0.03463285881849427,-0.08251286238324829,0.06379676234384912,0.18181818181818182,0.8181818181818182
P_4B,U56,5.0,A_MARGIN,11,60,0.1194677811445718,0.1035510223654767,0.05567101880072267,0.06379676234384912,0.9090909090909091,0.8181818181818182
P_4B,U56,5.0,A_RATIO,11,60,0.9848303622948676,0.9720759030803644,0.9326394564057733,0.05219090588909436,1.0,0.8181818181818182
P_4B,U56,5.0,A_RANK,11,60,33.333333333333336,29.848484848484848,20.833333333333336,12.5,1.0,0.8181818181818182
P_4A,U56,5.0,A_DIFF,0,60,,,-0.08251286238324829,,,
P_4A,U56,5.0,A_MARGIN,0,60,,,0.05567101880072267,,,
P_4A,U56,5.0,A_RATIO,0,60,,,0.9326394564057733,,,
P_4A,U56,5.0,A_RANK,0,60,,,20.833333333333336,,,
P_ALL,B136,5.0,A_DIFF,60,60,-0.36275890675869044,-0.3886927697171123,-0.36275890675869044,0.0,0.0,0.5
P_ALL,B136,5.0,A_MARGIN,60,60,-0.2291397847500583,-0.2550736477084802,-0.2291397847500583,0.0,0.06666666666666667,0.5
P_ALL,B136,5.0,A_RATIO,60,60,0.7081215837530224,0.6969740176797615,0.7081215837530224,0.0,1.0,0.5
P_ALL,B136,5.0,A_RANK,60,60,6.666666666666668,-5.921189464667501e-16,6.666666666666668,0.0,0.6,0.5
