panel,binding,N,med_min_z
B136,CAGR,4312,0.24277043537834275
B136,DD,3281,0.316356734303907
B136,H1,30,0.389510238549475
B136,H2,392,0.19294149489783094
B136,OOS,13,0.2890558656523531
U56,CAGR,6132,0.25294675572236347
U56,DD,8621,0.355298116723494
U56,H1,2214,0.1365416687842661
U56,H2,26,0.13761003746845077
U56,OOS,7,0.1634396135201527
