panel,book,cadence,window,offset,cost,path_pp,cost_pp,dTurn_ann,ratio
B136,BAND03_G075,M,FULL,1,10,-0.028871031561994442,-0.0004306835440559986,0.004306835440559986,0.014917497600707362
B136,BAND03_G075,M,FULL,1,50,-0.028871031561994442,-0.002153417720279993,0.004306835440559986,0.07458748800353682
B136,BAND03_G075,M,FULL,2,10,-0.17021225776059357,-0.0002843534351008037,0.002843534351008037,0.0016705814189995154
B136,BAND03_G075,M,FULL,2,50,-0.17021225776059357,-0.0014217671755040184,0.002843534351008037,0.008352907094997577
B136,BAND03_G075,M,FULL,3,10,-0.13518123417239902,0.0012348636281348747,-0.012348636281348746,0.009134874642141758
B136,BAND03_G075,M,FULL,3,50,-0.13518123417239902,0.006174318140674373,-0.012348636281348746,0.04567437321070879
B136,BAND03_G075,M,FULL,4,10,-0.29458195994562786,0.0024108274353569882,-0.02410827435356988,0.008183893663420408
B136,BAND03_G075,M,FULL,4,50,-0.29458195994562786,0.01205413717678494,-0.02410827435356988,0.04091946831710204
B136,BAND03_G075,M,OOS,1,10,0.012531630463064047,5.287931563386916e-05,-0.0005287931563386916,0.004219667647376501
B136,BAND03_G075,M,OOS,1,50,0.012531630463064047,0.0002643965781693458,-0.0005287931563386916,0.021098338236882504
B136,BAND03_G075,M,OOS,2,10,-0.326729619068411,0.00016549184953937868,-0.0016549184953937868,0.0005065100923853733
B136,BAND03_G075,M,OOS,2,50,-0.326729619068411,0.0008274592476968934,-0.0016549184953937868,0.0025325504619268663
B136,BAND03_G075,M,OOS,3,10,-0.14267752981496074,0.0024754968390701794,-0.024754968390701793,0.017350292244901245
B136,BAND03_G075,M,OOS,3,50,-0.14267752981496074,0.012377484195350896,-0.024754968390701793,0.08675146122450622
B136,BAND03_G075,M,OOS,4,10,-0.3137608590386698,0.0038447531438794203,-0.0384475314387942,0.012253769178409757
B136,BAND03_G075,M,OOS,4,50,-0.3137608590386698,0.0192237657193971,-0.0384475314387942,0.061268845892048784
B136,BAND03_G075,Q,FULL,1,10,0.15745812045691032,-0.001270368249156595,0.012703682491565949,0.008067975443059105
B136,BAND03_G075,Q,FULL,1,50,0.15745812045691032,-0.006351841245782974,0.012703682491565949,0.04033987721529552
B136,BAND03_G075,Q,FULL,2,10,0.22805155521672393,-0.0008036583003077747,0.008036583003077746,0.003524020257366959
B136,BAND03_G075,Q,FULL,2,50,0.22805155521672393,-0.004018291501538873,0.008036583003077746,0.01762010128683479
B136,BAND03_G075,Q,FULL,3,10,0.551442922477352,-0.0001972722828152418,0.001972722828152418,0.00035773835291782866
B136,BAND03_G075,Q,FULL,3,50,0.551442922477352,-0.000986361414076209,0.001972722828152418,0.001788691764589143
B136,BAND03_G075,Q,FULL,4,10,0.2691221294979229,0.00014424963582048146,-0.0014424963582048145,0.0005360006480685743
