panel,book,dial,n_values,argmax_0bps,argmax_5bps,argmax_10bps,argmax_15bps,argmax_20bps,argmax_25bps,argmax_30bps,n_distinct_argmax,rerankable,first_move_bps,interior_only_argmax,sharpe_range_10bps
U56,TOPN,N,9,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,False,,False,0.19545984886212264
U56,TOPN,G,7,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,False,0.048167575984784605
U56,TOPN,V,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,False,0.3968598914582864
U56,TOPN,K,7,1.0,6.0,6.0,6.0,6.0,6.0,6.0,2,True,5.0,False,0.1460797143465642
U56,V1C,N,9,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,False,,False,0.4940855077772953
U56,V1C,G,7,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,False,0.1225446947246206
U56,V1C,V,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,False,0.2638842533696144
U56,V1C,K,7,2.0,2.0,6.0,6.0,6.0,6.0,6.0,2,True,10.0,False,0.2126954923848312
U56,EWALL,G,7,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,False,0.12839279042433316
U56,EWALL,V,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,False,0.3030415211105192
U56,EWALL,K,7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,False,,False,0.15860402565831833
B136,TOPN,N,10,40.0,40.0,56.0,56.0,56.0,56.0,56.0,2,True,10.0,False,0.279719153682243
B136,TOPN,G,7,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,False,0.016767137858137215
B136,TOPN,V,8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,False,,False,0.20872587619769445
B136,TOPN,K,7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,False,,False,0.10327532816457108
B136,V1C,N,10,25.0,40.0,56.0,56.0,56.0,56.0,56.0,3,True,5.0,False,0.3673563144453348
B136,V1C,G,7,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,False,0.060541535370791766
B136,V1C,V,8,0.2,0.2,0.8,0.8,5.0,5.0,5.0,3,True,10.0,False,0.02603748363820446
B136,V1C,K,7,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2,True,5.0,False,0.17808728873515323
B136,EWALL,G,7,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,False,0.11703182485249797
B136,EWALL,V,8,0.8,0.8,0.8,0.8,5.0,5.0,5.0,2,True,20.0,False,0.1898827926854174
B136,EWALL,K,7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,False,,False,0.092281628753899
SMALL439,TOPN,N,10,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1,False,,False,0.34672755427002105
SMALL439,TOPN,G,7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,False,,False,0.023446802868397343
SMALL439,TOPN,V,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,False,0.6046263493689736
SMALL439,TOPN,K,7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,False,,False,0.2869564966999043
SMALL439,V1C,N,10,3.0,3.0,3.0,3.0,40.0,40.0,40.0,2,True,20.0,False,0.16844707246724983
SMALL439,V1C,G,7,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1,False,,False,0.038248961115186164
SMALL439,V1C,V,8,0.6,0.6,5.0,5.0,5.0,5.0,5.0,2,True,10.0,False,0.3445589113195042
SMALL439,V1C,K,7,1.0,1.0,3.0,8.0,8.0,8.0,8.0,3,True,10.0,False,0.26603479568063154
SMALL439,EWALL,G,7,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,False,0.159212609765495
SMALL439,EWALL,V,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,False,0.31987250905072245
SMALL439,EWALL,K,7,8.0,8.0,8.0,13.0,13.0,13.0,13.0,2,True,15.0,False,0.1431491617476338
