item,hmult,fe,centre,n,mean
219,1.0,NONE,0.2,6,0.010627507117191902
219,1.0,NONE,0.225,18,0.007310196276301683
219,1.0,NONE,0.25,21,0.004327991101316657
219,1.0,NONE,0.275,16,-0.004442090424285925
219,1.0,NONE,0.3,21,0.006076139828109327
219,1.0,NONE,0.325,35,0.0037488729654826278
219,1.0,NONE,0.35,47,-0.007704775216026672
219,1.0,NONE,0.375,56,-0.008462483921247127
219,1.0,NONE,0.4,51,0.0011668326087678881
219,1.0,NONE,0.425,37,0.0029977121725408206
219,1.0,NONE,0.45,27,0.008839546722899827
219,1.0,NONE,0.475,31,0.013284056054270334
219,1.0,NONE,0.5,34,0.008624111662204892
219,1.0,NONE,0.525,27,0.009952620251738549
219,1.0,NONE,0.55,19,0.005136218284101898
219,1.0,NONE,0.575,16,0.011281425077595561
219,1.0,NONE,0.6,23,0.02412314851003918
219,1.0,NONE,0.625,27,0.02607207264657266
219,1.0,NONE,0.65,24,0.02530977669438737
219,1.0,NONE,0.675,20,0.024672711689256874
219,1.0,NONE,0.7,24,0.023090466723981896
219,1.0,NONE,0.725,27,0.011387327021644869
219,1.0,NONE,0.75,24,0.009950613810645421
219,1.0,NONE,0.775,26,0.011540047611246558
219,1.0,NONE,0.8,32,0.006526140975143187
219,1.0,NONE,0.825,42,0.006142206873724059
219,1.0,NONE,0.85,45,0.010096689945159094
219,1.0,NONE,0.875,40,0.009814433093538707
219,1.0,NONE,0.9,37,0.0053531576284452775
219,1.0,NONE,0.925,50,0.0021945877766167835
219,1.0,NONE,0.95,63,0.002481742657647901
219,1.0,NONE,0.975,119,0.00038313164209654964
219,1.0,NONE,1.0,100,0.0
219,1.0,WITHIN,0.2,6,0.0003070198405327772
219,1.0,WITHIN,0.225,18,0.002969518231981258
219,1.0,WITHIN,0.25,21,0.001328295239676388
219,1.0,WITHIN,0.275,16,-0.008898409740428399
219,1.0,WITHIN,0.3,21,0.0012898968554131954
219,1.0,WITHIN,0.325,35,0.0008724017156712088
219,1.0,WITHIN,0.35,47,-0.009838434322271904
219,1.0,WITHIN,0.375,56,-0.011746095922542249
219,1.0,WITHIN,0.4,51,-0.0028850695833593704
219,1.0,WITHIN,0.425,37,-0.0015100055610880528
219,1.0,WITHIN,0.45,27,0.005216029187095451
219,1.0,WITHIN,0.475,31,0.011431342378517482
219,1.0,WITHIN,0.5,34,0.007552998226618701
219,1.0,WITHIN,0.525,27,0.007441163880356783
219,1.0,WITHIN,0.55,19,0.0029269493011130202
219,1.0,WITHIN,0.575,16,0.008219493731941035
219,1.0,WITHIN,0.6,23,0.014810753437465782
219,1.0,WITHIN,0.625,27,0.015451978025759741
219,1.0,WITHIN,0.65,24,0.01423032943439024
219,1.0,WITHIN,0.675,20,0.015072483269963629
219,1.0,WITHIN,0.7,24,0.013331747303680483
219,1.0,WITHIN,0.725,27,0.003917107073219666
219,1.0,WITHIN,0.75,24,0.003376275099952782
219,1.0,WITHIN,0.775,26,0.004482961685407078
219,1.0,WITHIN,0.8,32,6.665000492787378e-05
219,1.0,WITHIN,0.825,42,-0.00034632726804209975
