panel,excision,window,spy_MaxDD,spy_dd_start,spy_dd_end,spy_dd_len,med_jaccard,contained
U56,NONE,FULL,-0.33717267708462395,2020-02-19,2020-03-23,24,0.8541666666666667,0.9285714285714286
U56,NONE,IS,-0.22062101823395863,2009-01-28,2009-03-09,28,0.0,0.2857142857142857
U56,NONE,OOS,-0.33717267708462373,2020-02-19,2020-03-23,24,0.8541666666666667,0.9285714285714286
U56,SPYDD,FULL,-0.24496397555877658,2022-01-03,2022-10-12,196,0.756717651922282,0.14285714285714285
U56,SPYDD,IS,-0.22062101823395863,2009-01-28,2009-03-09,28,0.0,0.2857142857142857
U56,SPYDD,OOS,-0.24496397555877691,2022-01-03,2022-10-12,196,0.756717651922282,0.14285714285714285
U56,CRASH,FULL,-0.24496397555877714,2022-01-03,2022-10-12,196,0.756717651922282,0.14285714285714285
U56,CRASH,IS,-0.22062101823395863,2009-01-28,2009-03-09,28,0.0,0.2857142857142857
U56,CRASH,OOS,-0.24496397555877647,2022-01-03,2022-10-12,196,0.756717651922282,0.14285714285714285
U56,H1_20,FULL,-0.24496397555877714,2022-01-03,2022-10-12,196,0.756717651922282,0.14285714285714285
U56,H1_20,IS,-0.22062101823395863,2009-01-28,2009-03-09,28,0.0,0.2857142857142857
U56,H1_20,OOS,-0.24496397555877814,2022-01-03,2022-10-12,196,0.756717651922282,0.14285714285714285
U56,CAL20,FULL,-0.24496397555877725,2022-01-03,2022-10-12,196,0.756717651922282,0.14285714285714285
U56,CAL20,IS,-0.22062101823395863,2009-01-28,2009-03-09,28,0.0,0.2857142857142857
U56,CAL20,OOS,-0.24496397555877658,2022-01-03,2022-10-12,196,0.756717651922282,0.14285714285714285
B136,NONE,FULL,-0.3371595330739303,2020-02-19,2020-03-23,24,0.7083333333333334,0.8928571428571429
B136,NONE,IS,-0.22058362096015105,2009-01-28,2009-03-09,28,0.0,0.35714285714285715
B136,NONE,OOS,-0.3371595330739301,2020-02-19,2020-03-23,24,0.7083333333333334,0.8928571428571429
B136,SPYDD,FULL,-0.24496651760884558,2022-01-03,2022-10-12,196,0.0,0.25
B136,SPYDD,IS,-0.22058362096015105,2009-01-28,2009-03-09,28,0.0,0.35714285714285715
B136,SPYDD,OOS,-0.2449665176088457,2022-01-03,2022-10-12,196,0.9540816326530612,0.5357142857142857
B136,CRASH,FULL,-0.2449665176088447,2022-01-03,2022-10-12,196,0.0,0.25
B136,CRASH,IS,-0.22058362096015105,2009-01-28,2009-03-09,28,0.0,0.35714285714285715
B136,CRASH,OOS,-0.24496651760884391,2022-01-03,2022-10-12,196,0.9540816326530612,0.5357142857142857
B136,H1_20,FULL,-0.2449665176088448,2022-01-03,2022-10-12,196,0.0,0.25
B136,H1_20,IS,-0.22058362096015105,2009-01-28,2009-03-09,28,0.0,0.35714285714285715
B136,H1_20,OOS,-0.24496651760884458,2022-01-03,2022-10-12,196,0.9540816326530612,0.5357142857142857
B136,CAL20,FULL,-0.24496651760884458,2022-01-03,2022-10-12,196,0.0,0.21428571428571427
B136,CAL20,IS,-0.22058362096015105,2009-01-28,2009-03-09,28,0.0,0.35714285714285715
B136,CAL20,OOS,-0.24496651760884502,2022-01-03,2022-10-12,196,0.9369464767038891,0.5
SMALL,NONE,FULL,-0.33717267708462384,2020-02-19,2020-03-23,24,0.05370843989769821,0.0
SMALL,NONE,IS,-0.18605456334553971,2011-04-29,2011-10-03,109,0.5688073394495413,0.5357142857142857
SMALL,NONE,OOS,-0.33717267708462373,2020-02-19,2020-03-23,24,0.05370843989769821,0.0
SMALL,SPYDD,FULL,-0.24496397555877703,2022-01-03,2022-10-12,196,0.3951612903225806,0.0
SMALL,SPYDD,IS,-0.18605456334553971,2011-04-29,2011-10-03,109,0.5688073394495413,0.5357142857142857
SMALL,SPYDD,OOS,-0.24496397555877691,2022-01-03,2022-10-12,196,0.3951612903225806,0.0
SMALL,CRASH,FULL,-0.24496397555877647,2022-01-03,2022-10-12,196,0.3951612903225806,0.0
SMALL,CRASH,IS,-0.18605456334553971,2011-04-29,2011-10-03,109,0.5688073394495413,0.5357142857142857
SMALL,CRASH,OOS,-0.24496397555877647,2022-01-03,2022-10-12,196,0.3951612903225806,0.0
SMALL,H1_20,FULL,-0.24496397555877691,2022-01-03,2022-10-12,196,0.3951612903225806,0.0
SMALL,H1_20,IS,-0.18605456334553971,2011-04-29,2011-10-03,109,0.5688073394495413,0.5357142857142857
SMALL,H1_20,OOS,-0.24496397555877814,2022-01-03,2022-10-12,196,0.3951612903225806,0.0
SMALL,CAL20,FULL,-0.24496397555877691,2022-01-03,2022-10-12,196,0.3951612903225806,0.0
SMALL,CAL20,IS,-0.18605456334553971,2011-04-29,2011-10-03,109,0.5688073394495413,0.5357142857142857
SMALL,CAL20,OOS,-0.24496397555877658,2022-01-03,2022-10-12,196,0.3951612903225806,0.0
