panel,cost,constr,sel,pick,n_adm,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctl_OOS,v1_OOS,spy_OOS,d_ctl,beat_ctl,beat_v1,beat_spy,oracle,oracle_arm,oracle_OOS
u56,10.0,lit,S0,FIX|m0.10|lit,28,0.20554390320503924,1.0221819370009306,-0.23812385035473038,1.167991233806965,0.747063834691694,0.8820107671822842,-0.14580929680603427,False,True,True,False,FIX|m1.00|lit,1.2547006159904142
u56,10.0,lit,S1,(none),0,,,,,,,,,,,,,
u56,10.0,lit,S2,(none),0,,,,,,,,,,,,,
u56,10.0,lit,S3,FIX|m0.53|lit,4,0.14360571273280298,1.167991233806965,-0.1830834869787813,1.167991233806965,0.747063834691694,0.8820107671822842,0.0,False,True,True,False,FIX|m1.00|lit,1.2547006159904142
u56,10.0,norm,S0,FIX|m0.10|norm,28,0.20021133575319228,0.981820595790861,-0.24299236677072433,1.1306969416161394,0.747063834691694,0.8820107671822842,-0.14887634582527842,False,True,True,False,ADAPT|m0.53|norm,1.1813030800030624
u56,10.0,norm,S1,(none),0,,,,,,,,,,,,,
u56,10.0,norm,S2,(none),0,,,,,,,,,,,,,
u56,10.0,norm,S3,FIX|m0.53|norm,4,0.14453585654383216,1.1306969416161394,-0.1830834869787813,1.1306969416161394,0.747063834691694,0.8820107671822842,0.0,False,True,True,False,ADAPT|m0.53|norm,1.1813030800030624
u56,25.0,lit,S0,FIX|m0.10|lit,28,0.17169543780195062,0.8816357167974807,-0.24577359926854547,1.0495601201126592,0.39920030769495,0.8820107671822842,-0.16792440331517855,False,True,False,False,FIX|m1.00|lit,1.161647049893163
u56,25.0,lit,S1,(none),0,,,,,,,,,,,,,
u56,25.0,lit,S2,(none),0,,,,,,,,,,,,,
u56,25.0,lit,S3,FIX|m0.53|lit,4,0.12730703643605445,1.0495601201126592,-0.18440712200737241,1.0495601201126592,0.39920030769495,0.8820107671822842,0.0,False,True,True,False,FIX|m1.00|lit,1.161647049893163
u56,25.0,norm,S0,FIX|m0.10|norm,28,0.1641083938958141,0.8346146335465046,-0.2508033960405447,0.9985108040321351,0.39920030769495,0.8820107671822842,-0.16389617048563054,False,True,False,False,ADAPT63|m0.75|norm,1.0398031091071605
u56,25.0,norm,S1,(none),0,,,,,,,,,,,,,
u56,25.0,norm,S2,(none),0,,,,,,,,,,,,,
u56,25.0,norm,S3,FIX|m0.53|norm,4,0.12559120208679553,0.9985108040321351,-0.18440712200737253,0.9985108040321351,0.39920030769495,0.8820107671822842,0.0,False,True,True,False,ADAPT63|m0.75|norm,1.0398031091071605
broad,10.0,lit,S0,ADAPT|m0.10|lit,28,0.12786930021172416,0.7470738493864179,-0.2900291739365205,1.0375139647770037,0.5762505378038233,0.8820239235972316,-0.2904401153905859,False,True,False,False,ADAPT63|m1.00|lit,1.148807262219663
broad,10.0,lit,S1,FIX|m0.35|lit,3,0.11575757289312816,0.9189404692817279,-0.2000295646179132,1.0375139647770037,0.5762505378038233,0.8820239235972316,-0.11857349549527585,False,True,True,False,ADAPT63|m1.00|lit,1.148807262219663
broad,10.0,lit,S2,FIXIS|m1.00|lit,5,0.10067930238355371,1.091222892524976,-0.15895934016231028,1.0375139647770037,0.5762505378038233,0.8820239235972316,0.05370892774797231,True,True,True,False,ADAPT63|m1.00|lit,1.148807262219663
broad,10.0,lit,S3,FIX|m0.53|lit,4,0.12001872702114702,1.0375139647770037,-0.18897917652002305,1.0375139647770037,0.5762505378038233,0.8820239235972316,0.0,False,True,True,False,ADAPT63|m1.00|lit,1.148807262219663
broad,10.0,norm,S0,ADAPT|m0.10|norm,28,0.13119519114580314,0.7591567729944695,-0.2900291739365205,1.0185890912059892,0.5762505378038233,0.8820239235972316,-0.2594323182115197,False,True,False,False,ADAPT63|m0.75|norm,1.0645358619588505
broad,10.0,norm,S1,FIXIS|m1.00|norm,7,0.10901431265133033,1.0170658505345473,-0.1840905403439077,1.0185890912059892,0.5762505378038233,0.8820239235972316,-0.0015232406714418278,False,True,True,False,ADAPT63|m0.75|norm,1.0645358619588505
broad,10.0,norm,S2,FIXIS|m1.00|norm,7,0.10901431265133033,1.0170658505345473,-0.1840905403439077,1.0185890912059892,0.5762505378038233,0.8820239235972316,-0.0015232406714418278,False,True,True,False,ADAPT63|m0.75|norm,1.0645358619588505
broad,10.0,norm,S3,FIX|m0.53|norm,4,0.12185693251815599,1.0185890912059892,-0.1884900375539359,1.0185890912059892,0.5762505378038233,0.8820239235972316,0.0,False,True,True,False,ADAPT63|m0.75|norm,1.0645358619588505
broad,25.0,lit,S0,FIXIS|m1.00|lit,28,0.09122291069659894,0.9971113525008071,-0.16002734665706064,0.9169274675882919,0.15539928865606328,0.8820239235972316,0.08018388491251516,True,True,True,False,ADAPT63|m1.00|lit,1.049475914587323
broad,25.0,lit,S1,(none),0,,,,,,,,,,,,,
broad,25.0,lit,S2,(none),0,,,,,,,,,,,,,
broad,25.0,lit,S3,FIX|m0.53|lit,4,0.10451606736293662,0.9169274675882919,-0.19011958248824057,0.9169274675882919,0.15539928865606328,0.8820239235972316,0.0,False,True,True,False,ADAPT63|m1.00|lit,1.049475914587323
broad,25.0,norm,S0,FIXIS|m1.00|norm,28,0.09468834278911875,0.895345290517235,-0.1893811889008895,0.886291200066936,0.15539928865606328,0.8820239235972316,0.009054090450299035,True,True,True,False,ADAPT63|m0.75|norm,0.9434408490962253
broad,25.0,norm,S1,(none),0,,,,,,,,,,,,,
broad,25.0,norm,S2,(none),0,,,,,,,,,,,,,
broad,25.0,norm,S3,FIX|m0.53|norm,4,0.10425984728798654,0.886291200066936,-0.19312595174507308,0.886291200066936,0.15539928865606328,0.8820239235972316,0.0,False,True,True,False,ADAPT63|m0.75|norm,0.9434408490962253
