corpus,ref,panel,family,arm,cost,window,stat_kind,d,K,null_mean,null_absmax,argmax_is_negative,published,ABS_MAX,ABS_Q95,SIGNED_MAX,SIGNED_Q95,thr,depth
T,idea181,u56,VOL,POS/m=0.2,10.0,F,Sharpe,0.0004095895816293,20,-0.01595611424563868,0.0512105313595496,True,False,False,False,False,False,,
T,idea181,u56,MOM,POS/m=0.2,10.0,F,Sharpe,-0.0309581769619744,20,-0.01595611424563868,0.0512105313595496,True,False,False,False,False,False,,
T,idea181,u56,R6,POS/m=0.2,10.0,F,Sharpe,-0.0106466218289678,20,-0.01595611424563868,0.0512105313595496,True,False,False,False,False,False,,
T,idea181,u56,R3,POS/m=0.2,10.0,F,Sharpe,-0.0429518746675994,20,-0.01595611424563868,0.0512105313595496,True,False,False,False,False,False,,
T,idea181,u56,PRICE,POS/m=0.2,10.0,F,Sharpe,-0.0702002539646506,20,-0.01595611424563868,0.0512105313595496,True,True,True,True,False,False,,
T,idea181,u56,VOL,POS/m=0.2,10.0,IS,Sharpe,-0.0524753512874195,20,-0.015362886338458615,0.0631812246834855,True,False,False,False,False,False,,
T,idea181,u56,MOM,POS/m=0.2,10.0,IS,Sharpe,-0.0141353087061518,20,-0.015362886338458615,0.0631812246834855,True,False,False,False,False,False,,
T,idea181,u56,R6,POS/m=0.2,10.0,IS,Sharpe,-0.0083731985381493,20,-0.015362886338458615,0.0631812246834855,True,False,False,False,False,False,,
T,idea181,u56,R3,POS/m=0.2,10.0,IS,Sharpe,-0.0469277085747215,20,-0.015362886338458615,0.0631812246834855,True,False,False,False,False,False,,
T,idea181,u56,PRICE,POS/m=0.2,10.0,IS,Sharpe,-0.0965010921334023,20,-0.015362886338458615,0.0631812246834855,True,True,True,True,False,False,,
T,idea181,u56,VOL,POS/m=0.2,25.0,F,Sharpe,0.0044072196358622,20,-0.01913705546990766,0.0541942311194793,True,False,False,False,True,True,,
T,idea181,u56,MOM,POS/m=0.2,25.0,F,Sharpe,-0.0268383484754187,20,-0.01913705546990766,0.0541942311194793,True,False,False,False,False,False,,
T,idea181,u56,R6,POS/m=0.2,25.0,F,Sharpe,-0.0090486281120121,20,-0.01913705546990766,0.0541942311194793,True,False,False,False,False,False,,
T,idea181,u56,R3,POS/m=0.2,25.0,F,Sharpe,-0.0537606071148019,20,-0.01913705546990766,0.0541942311194793,True,False,False,True,False,False,,
T,idea181,u56,PRICE,POS/m=0.2,25.0,F,Sharpe,-0.0703365833497507,20,-0.01913705546990766,0.0541942311194793,True,True,True,True,False,False,,
T,idea181,u56,VOL,POS/m=0.2,25.0,IS,Sharpe,-0.0494860238354099,20,-0.020148737664667245,0.073228684098929,True,False,False,False,False,False,,
T,idea181,u56,MOM,POS/m=0.2,25.0,IS,Sharpe,-0.0109297376426698,20,-0.020148737664667245,0.073228684098929,True,False,False,False,False,False,,
T,idea181,u56,R6,POS/m=0.2,25.0,IS,Sharpe,-0.0075127827999922,20,-0.020148737664667245,0.073228684098929,True,False,False,False,False,False,,
T,idea181,u56,R3,POS/m=0.2,25.0,IS,Sharpe,-0.058141450524193,20,-0.020148737664667245,0.073228684098929,True,False,False,False,False,False,,
T,idea181,u56,PRICE,POS/m=0.2,25.0,IS,Sharpe,-0.0975493916916249,20,-0.020148737664667245,0.073228684098929,True,True,True,True,False,False,,
T,idea181,u56,VOL,POS/m=0.5,10.0,F,Sharpe,0.0046388432882507,20,-0.03934921220555746,0.0844458631681142,True,False,False,False,False,True,,
T,idea181,u56,MOM,POS/m=0.5,10.0,F,Sharpe,-0.0429555403594534,20,-0.03934921220555746,0.0844458631681142,True,False,False,False,False,False,,
T,idea181,u56,R6,POS/m=0.5,10.0,F,Sharpe,-0.0191183708769515,20,-0.03934921220555746,0.0844458631681142,True,False,False,False,False,False,,
T,idea181,u56,R3,POS/m=0.5,10.0,F,Sharpe,-0.0265964406768572,20,-0.03934921220555746,0.0844458631681142,True,False,False,False,False,False,,
T,idea181,u56,PRICE,POS/m=0.5,10.0,F,Sharpe,-0.0625142658400976,20,-0.03934921220555746,0.0844458631681142,True,False,False,False,False,False,,
T,idea181,u56,VOL,POS/m=0.5,10.0,IS,Sharpe,-0.0502919841797655,20,-0.029531920338171737,0.0902544237590445,True,False,False,False,False,False,,
T,idea181,u56,MOM,POS/m=0.5,10.0,IS,Sharpe,0.0373356649817918,20,-0.029531920338171737,0.0902544237590445,True,False,False,False,False,True,,
T,idea181,u56,R6,POS/m=0.5,10.0,IS,Sharpe,-0.0218864166287405,20,-0.029531920338171737,0.0902544237590445,True,False,False,False,False,False,,
T,idea181,u56,R3,POS/m=0.5,10.0,IS,Sharpe,-0.0565852179048189,20,-0.029531920338171737,0.0902544237590445,True,False,False,False,False,False,,
T,idea181,u56,PRICE,POS/m=0.5,10.0,IS,Sharpe,-0.051409383138057,20,-0.029531920338171737,0.0902544237590445,True,False,False,False,False,False,,
T,idea181,u56,VOL,POS/m=0.5,25.0,F,Sharpe,0.0079551110286809,20,-0.05330239625872243,0.098134594586244,True,False,False,False,False,True,,
T,idea181,u56,MOM,POS/m=0.5,25.0,F,Sharpe,-0.0355707879402764,20,-0.05330239625872243,0.098134594586244,True,False,False,False,False,False,,
T,idea181,u56,R6,POS/m=0.5,25.0,F,Sharpe,-0.0184215856877617,20,-0.05330239625872243,0.098134594586244,True,False,False,False,False,False,,
T,idea181,u56,R3,POS/m=0.5,25.0,F,Sharpe,-0.0470772315187293,20,-0.05330239625872243,0.098134594586244,True,False,False,False,False,False,,
T,idea181,u56,PRICE,POS/m=0.5,25.0,F,Sharpe,-0.0578284600472397,20,-0.05330239625872243,0.098134594586244,True,False,False,False,False,False,,
T,idea181,u56,VOL,POS/m=0.5,25.0,IS,Sharpe,-0.0508606382081028,20,-0.042376343034341346,0.1044615658849145,True,False,False,False,False,False,,
T,idea181,u56,MOM,POS/m=0.5,25.0,IS,Sharpe,0.0432916984056495,20,-0.042376343034341346,0.1044615658849145,True,False,False,False,True,True,,
