family,panel,q,con,cad,arm,hnd,bps,CAGR,Sharpe,MaxDD,pass4a,pass4b
FIXK,U56,0.1,RESPREAD,D,MA-DIST,DRIFT,0,0.23382381992234502,1.1698719093264345,-0.3184360284593156,False,False
FIXK,U56,0.1,RESPREAD,D,MA-DIST,DRIFT,25,0.13775313697548963,0.7560177483815838,-0.3273147156667995,False,False
FIXK,U56,0.1,RESPREAD,D,MA-DIST,RTT,0,0.23382381992234502,1.1698719093264345,-0.3184360284593156,False,False
FIXK,U56,0.1,RESPREAD,D,MA-DIST,RTT,25,0.13775313697548963,0.7560177483815838,-0.3273147156667995,False,False
FIXK,U56,0.1,RESPREAD,D,MOM,DRIFT,0,0.2767326022944736,1.2524916307167597,-0.28523577847195536,False,False
FIXK,U56,0.1,RESPREAD,D,MOM,DRIFT,25,0.19704583643179685,0.9497618602792138,-0.2858828015328363,False,False
FIXK,U56,0.1,RESPREAD,D,MOM,RTT,0,0.2767326022944736,1.2524916307167597,-0.28523577847195536,False,False
FIXK,U56,0.1,RESPREAD,D,MOM,RTT,25,0.19704583643179685,0.9497618602792138,-0.2858828015328363,False,False
FIXK,U56,0.1,RESPREAD,W,MA-DIST,DRIFT,0,0.24648428066056538,1.2135345741453203,-0.279073664532678,False,False
FIXK,U56,0.1,RESPREAD,W,MA-DIST,DRIFT,25,0.2050043490647402,1.042401121272684,-0.2815876833541302,False,False
FIXK,U56,0.1,RESPREAD,W,MA-DIST,RTT,0,0.2517567799699729,1.2364105729819954,-0.27320854383640725,False,False
FIXK,U56,0.1,RESPREAD,W,MA-DIST,RTT,25,0.20511338589145334,1.0440599610504906,-0.276369555068271,False,False
FIXK,U56,0.1,RESPREAD,W,MOM,DRIFT,0,0.27360039623750376,1.244758839052165,-0.28442614399588273,False,False
FIXK,U56,0.1,RESPREAD,W,MOM,DRIFT,25,0.23855678123209945,1.1133287921277766,-0.2847116697301242,False,False
FIXK,U56,0.1,RESPREAD,W,MOM,RTT,0,0.27714776659962226,1.2576648350595165,-0.28523577847195536,False,False
FIXK,U56,0.1,RESPREAD,W,MOM,RTT,25,0.23768808672013386,1.1098207166172547,-0.2858828015328362,False,False
FIXK,U56,0.1,RESPREAD,M,MA-DIST,DRIFT,0,0.27739289623151486,1.3015056549177575,-0.2887416276413426,False,False
