corpus,cost_bps,dial,arm,score,n,mean_d,median_d,t,wins,losses,ties,sign_p,agree_share,off_n,off_mean_d
A,5,GROSS,MODE-GLOBAL,OOS_Sharpe,53,-0.0001256229290204751,0.0,-1.1600406470397793,1,2,50,1.0,0.9433962264150944,3,-0.00221933841269506
A,5,GROSS,MODE-GLOBAL,OOS_margin,53,0.006702042151132117,0.0,0.5696342289185586,2,1,50,1.0,0.9433962264150944,3,0.11840274467000074
A,5,GROSS,MODE-LOO,OOS_Sharpe,53,-0.0001256229290204751,0.0,-1.1600406470397793,1,2,50,1.0,0.9433962264150944,3,-0.00221933841269506
A,5,GROSS,MODE-LOO,OOS_margin,53,0.006702042151132117,0.0,0.5696342289185586,2,1,50,1.0,0.9433962264150944,3,0.11840274467000074
A,5,GROSS,MODE-XCORPUS,OOS_Sharpe,53,-0.0001256229290204751,0.0,-1.1600406470397793,1,2,50,1.0,0.9433962264150944,3,-0.00221933841269506
A,5,GROSS,MODE-XCORPUS,OOS_margin,53,0.006702042151132117,0.0,0.5696342289185586,2,1,50,1.0,0.9433962264150944,3,0.11840274467000074
A,5,GROSS,CONST-INC,OOS_Sharpe,53,0.0006019100958121885,0.0007236904545373513,3.839790994658256,41,12,0,8.171334999262925e-05,0.0,53,0.0006019100958121885
A,5,GROSS,CONST-INC,OOS_margin,53,0.09397691186439264,0.15245633733114405,2.9630344309513585,33,20,0,0.09837064844049181,0.0,53,0.09397691186439264
A,5,GROSS,SEL-4B,OOS_Sharpe,53,6.250678415569521e-05,0.0,0.4103963093172141,24,11,18,0.04095959151163697,0.33962264150943394,35,9.465313029290989e-05
A,5,GROSS,SEL-4B,OOS_margin,53,0.1364353618539426,0.11962099906465551,6.080739388413623,31,4,18,3.4654513001441956e-06,0.33962264150943394,35,0.20660211937882733
A,5,GROSS,RANDOM,OOS_Sharpe,53,0.0008864975576470613,0.0005756497894272572,3.556607243664098,34,13,6,0.0030876764615186403,0.11320754716981132,47,0.000999667458623282
A,5,GROSS,RANDOM,OOS_margin,53,-0.08667366009455361,-0.0561847352548514,-2.288829651035322,17,30,6,0.07894069368148848,0.11320754716981132,47,-0.09773838265981574
A,5,GROSS,ORACLE,OOS_Sharpe,53,0.0023591150530399693,0.0019013508523200162,7.6749079922399535,42,0,11,4.547473508864641e-13,0.20754716981132076,42,0.002976978519312342
A,5,GROSS,ORACLE,OOS_margin,53,-0.39175547301438807,-0.44272126814652113,-9.267009571413043,2,40,11,4.1109160520136356e-10,0.20754716981132076,42,-0.49435809689910876
A,5,N,MODE-GLOBAL,OOS_Sharpe,53,0.027360886185388702,0.0,1.9456763709905118,25,17,11,0.27995623852893914,0.20754716981132076,42,0.03452683256727622
A,5,N,MODE-GLOBAL,OOS_margin,53,0.008076762388494097,0.0,0.41550775011379065,24,18,11,0.44079906734259566,0.20754716981132076,42,0.01019210491881398
A,5,N,MODE-LOO,OOS_Sharpe,53,0.027360886185388702,0.0,1.9456763709905118,25,17,11,0.27995623852893914,0.20754716981132076,42,0.03452683256727622
A,5,N,MODE-LOO,OOS_margin,53,0.008076762388494097,0.0,0.41550775011379065,24,18,11,0.44079906734259566,0.20754716981132076,42,0.01019210491881398
A,5,N,MODE-XCORPUS,OOS_Sharpe,53,0.0006268019587963376,0.0,0.0415482218130269,22,22,9,1.0,0.16981132075471697,44,0.0007550114503683158
A,5,N,MODE-XCORPUS,OOS_margin,53,0.05001433629306604,0.013233697816082066,3.0664198611469824,30,14,9,0.022628841205914796,0.16981132075471697,44,0.06024454144392046
A,5,N,CONST-INC,OOS_Sharpe,53,0.027360886185388702,0.0,1.9456763709905118,25,17,11,0.27995623852893914,0.20754716981132076,42,0.03452683256727622
A,5,N,CONST-INC,OOS_margin,53,0.008076762388494097,0.0,0.41550775011379065,24,18,11,0.44079906734259566,0.20754716981132076,42,0.01019210491881398
A,5,N,SEL-4B,OOS_Sharpe,53,0.04062208170850373,0.00716885144352275,2.4363499111687843,30,13,10,0.0137181850586785,0.18867924528301888,43,0.05006907745466739
A,5,N,SEL-4B,OOS_margin,53,0.08163451433415608,0.06884929564359012,4.740765461815683,34,9,10,0.00017015517460094998,0.18867924528301888,43,0.1006192851095412
A,5,N,RANDOM,OOS_Sharpe,53,-0.02763449749365361,-0.012384389927062811,-1.4773915882741016,21,28,4,0.3916029105474905,0.07547169811320754,49,-0.029890374840074316
A,5,N,RANDOM,OOS_margin,53,-0.08102050436613523,-0.07657078554249791,-2.73325421427749,19,30,4,0.15240777196147803,0.07547169811320754,49,-0.08763442308990137
A,5,N,ORACLE,OOS_Sharpe,53,0.1136880209825449,0.10983362662164109,8.219081365150126,43,0,10,2.2737367544323206e-13,0.18867924528301888,43,0.1401270956296484
A,5,N,ORACLE,OOS_margin,53,0.05459269339280398,0.03386885964070746,1.8107182452403074,32,11,10,0.001913961001264397,0.18867924528301888,43,0.0672886686004328
A,5,BAND,MODE-GLOBAL,OOS_Sharpe,53,-0.0012645700851317983,0.0,-0.37316035259120167,9,4,40,0.266845703125,0.7547169811320755,13,-0.005155554962460409
A,5,BAND,MODE-GLOBAL,OOS_margin,53,0.0028499410378331866,0.0,0.968217670786937,6,7,40,1.0,0.7547169811320755,13,0.011618990385012223
A,5,BAND,MODE-LOO,OOS_Sharpe,53,-0.0012645700851317983,0.0,-0.37316035259120167,9,4,40,0.266845703125,0.7547169811320755,13,-0.005155554962460409
A,5,BAND,MODE-LOO,OOS_margin,53,0.0028499410378331866,0.0,0.968217670786937,6,7,40,1.0,0.7547169811320755,13,0.011618990385012223
A,5,BAND,MODE-XCORPUS,OOS_Sharpe,53,-0.0012645700851317983,0.0,-0.37316035259120167,9,4,40,0.266845703125,0.7547169811320755,13,-0.005155554962460409
A,5,BAND,MODE-XCORPUS,OOS_margin,53,0.0028499410378331866,0.0,0.968217670786937,6,7,40,1.0,0.7547169811320755,13,0.011618990385012223
A,5,BAND,CONST-INC,OOS_Sharpe,53,-0.001803887060482759,0.0,-0.23691934548112176,24,26,3,0.887724827340783,0.05660377358490566,50,-0.0019121202841117246
A,5,BAND,CONST-INC,OOS_margin,53,-0.01944803051481135,0.0,-1.869002317590894,26,23,4,0.7754496546815659,0.05660377358490566,50,-0.02061491234570003
A,5,BAND,SEL-4B,OOS_Sharpe,53,-0.003464290697879449,0.0,-1.0666273266110444,9,11,33,0.8238029479980469,0.6226415094339622,20,-0.00918037034938054
A,5,BAND,SEL-4B,OOS_margin,53,0.0006937714078401975,0.0,0.2853896480632448,11,8,34,0.6476058959960938,0.6226415094339622,20,0.0018384942307765235
A,5,BAND,RANDOM,OOS_Sharpe,53,-0.0038748442627189283,0.0,-0.587381330766104,21,25,7,0.6587380770236564,0.1320754716981132,46,-0.004464494476610939
A,5,BAND,RANDOM,OOS_margin,53,-0.015293487651295155,0.0,-1.7809936036126999,20,25,8,0.5514843298025198,0.1320754716981132,46,-0.017620757511274853
A,5,BAND,ORACLE,OOS_Sharpe,53,0.024983230038033974,0.008143492437752142,5.501614125760001,30,0,23,1.862645149230957e-09,0.4339622641509434,30,0.044137039733860024
A,5,BAND,ORACLE,OOS_margin,53,0.016174299331118098,0.0,4.916542356015708,25,5,23,0.00032491423189640045,0.4339622641509434,30,0.028574595484975308
A,5,CADENCE,MODE-GLOBAL,OOS_Sharpe,53,0.03142443215987253,0.0,3.2960574240041245,13,1,39,0.0018310546875,0.7358490566037735,14,0.11896392174808887
A,5,CADENCE,MODE-GLOBAL,OOS_margin,53,0.03149762082331879,0.0,2.0417726571955663,11,3,39,0.057373046875,0.7358490566037735,14,0.11924099311684969
A,5,CADENCE,MODE-LOO,OOS_Sharpe,53,0.03142443215987253,0.0,3.2960574240041245,13,1,39,0.0018310546875,0.7358490566037735,14,0.11896392174808887
A,5,CADENCE,MODE-LOO,OOS_margin,53,0.03149762082331879,0.0,2.0417726571955663,11,3,39,0.057373046875,0.7358490566037735,14,0.11924099311684969
A,5,CADENCE,MODE-XCORPUS,OOS_Sharpe,53,0.03142443215987253,0.0,3.2960574240041245,13,1,39,0.0018310546875,0.7358490566037735,14,0.11896392174808887
A,5,CADENCE,MODE-XCORPUS,OOS_margin,53,0.03149762082331879,0.0,2.0417726571955663,11,3,39,0.057373046875,0.7358490566037735,14,0.11924099311684969
A,5,CADENCE,CONST-INC,OOS_Sharpe,53,-0.038740974749556054,-0.06726653414198203,-2.8385957537011417,8,37,8,1.5374090196473844e-05,0.1509433962264151,45,-0.045628259149477136
A,5,CADENCE,CONST-INC,OOS_margin,53,0.06355612815379737,0.0,2.9523396498735264,24,21,8,0.765991824244793,0.1509433962264151,45,0.07485499538113913
A,5,CADENCE,SEL-4B,OOS_Sharpe,53,-0.016607430326853075,0.0,-1.4618161313159186,6,14,33,0.11531829833984375,0.6226415094339622,20,-0.044009690366160654
A,5,CADENCE,SEL-4B,OOS_margin,53,0.028331178608541965,0.0,1.7594625211004598,12,8,33,0.5034446716308594,0.6226415094339622,20,0.0750776233126362
A,5,CADENCE,RANDOM,OOS_Sharpe,53,-0.05438749558204961,-0.018250685236905095,-3.281607959305144,8,27,18,0.001878225477412343,0.33962264150943394,35,-0.08235820759567514
A,5,CADENCE,RANDOM,OOS_margin,53,0.002009999986295215,0.0,0.07954754662962352,18,17,18,1.0,0.33962264150943394,35,0.003043714264961327
A,5,CADENCE,ORACLE,OOS_Sharpe,53,0.0419730686976046,0.0,3.938401367446718,19,0,34,3.814697265625e-06,0.6415094339622641,19,0.11708277057752862
A,5,CADENCE,ORACLE,OOS_margin,53,0.03570468260355149,0.0,2.0738578688539637,13,6,34,0.1670684814453125,0.6415094339622641,19,0.09959727252569625
A,5,SLEEVE,MODE-GLOBAL,OOS_Sharpe,53,0.0,0.0,,0,0,53,1.0,1.0,0,
A,5,SLEEVE,MODE-GLOBAL,OOS_margin,53,0.0,0.0,,0,0,53,1.0,1.0,0,
A,5,SLEEVE,MODE-LOO,OOS_Sharpe,53,0.0,0.0,,0,0,53,1.0,1.0,0,
A,5,SLEEVE,MODE-LOO,OOS_margin,53,0.0,0.0,,0,0,53,1.0,1.0,0,
A,5,SLEEVE,MODE-XCORPUS,OOS_Sharpe,53,0.0,0.0,,0,0,53,1.0,1.0,0,
A,5,SLEEVE,MODE-XCORPUS,OOS_margin,53,0.0,0.0,,0,0,53,1.0,1.0,0,
A,5,SLEEVE,CONST-INC,OOS_Sharpe,53,-0.17993195158318245,-0.17217490020761272,-37.80396715362493,0,53,0,2.220446049250313e-16,0.0,53,-0.17993195158318245
A,5,SLEEVE,CONST-INC,OOS_margin,53,0.027070924235422084,0.053608664372581286,2.3235932153308787,36,17,0,0.012660335802414213,0.0,53,0.027070924235422084
A,5,SLEEVE,SEL-4B,OOS_Sharpe,53,-0.15129889081508546,-0.14756115627331934,-17.316875347324274,0,52,1,4.440892098500626e-16,0.018867924528301886,52,-0.15420848486922176
A,5,SLEEVE,SEL-4B,OOS_margin,53,0.05551299272752382,0.07186694615543053,5.842816395408353,47,5,1,1.2848229147266466e-09,0.018867924528301886,52,0.05658055027997621
A,5,SLEEVE,RANDOM,OOS_Sharpe,53,-0.10354650679706133,-0.10467998559832159,-11.390522448875744,0,47,6,1.4210854715202004e-14,0.11320754716981132,47,-0.11676520979243087
A,5,SLEEVE,RANDOM,OOS_margin,53,0.047965147166941176,0.05339910914744775,7.291198163238673,44,3,6,2.4647306418046355e-10,0.11320754716981132,47,0.054088357443571974
A,5,SLEEVE,ORACLE,OOS_Sharpe,53,0.0,0.0,,0,0,53,1.0,1.0,0,
A,5,SLEEVE,ORACLE,OOS_margin,53,0.0,0.0,,0,0,53,1.0,1.0,0,
A,10,GROSS,MODE-GLOBAL,OOS_Sharpe,53,-5.7075566925405714e-05,0.0,-1.0633866969310128,1,2,50,1.0,0.9433962264150944,3,-0.0010083350156821675
A,10,GROSS,MODE-GLOBAL,OOS_margin,53,-0.005477965366214249,0.0,-1.0738204899135493,1,2,50,1.0,0.9433962264150944,3,-0.09677738813645172
A,10,GROSS,MODE-LOO,OOS_Sharpe,53,-5.7075566925405714e-05,0.0,-1.0633866969310128,1,2,50,1.0,0.9433962264150944,3,-0.0010083350156821675
A,10,GROSS,MODE-LOO,OOS_margin,53,-0.005477965366214249,0.0,-1.0738204899135493,1,2,50,1.0,0.9433962264150944,3,-0.09677738813645172
A,10,GROSS,MODE-XCORPUS,OOS_Sharpe,53,-5.7075566925405714e-05,0.0,-1.0633866969310128,1,2,50,1.0,0.9433962264150944,3,-0.0010083350156821675
A,10,GROSS,MODE-XCORPUS,OOS_margin,53,-0.005477965366214249,0.0,-1.0738204899135493,1,2,50,1.0,0.9433962264150944,3,-0.09677738813645172
A,10,GROSS,CONST-INC,OOS_Sharpe,53,0.0005796682045082517,0.000638435405026061,4.2414978784415895,39,14,0,0.0008023308868949641,0.0,53,0.0005796682045082517
A,10,GROSS,CONST-INC,OOS_margin,53,0.06757329464871514,0.1183434429167953,2.3808815921026056,33,20,0,0.09837064844049181,0.0,53,0.06757329464871514
A,10,GROSS,SEL-4B,OOS_Sharpe,53,4.846750464608974e-05,0.0,0.3772860452052306,22,12,19,0.12144948495551944,0.3584905660377358,34,7.555228665419872e-05
A,10,GROSS,SEL-4B,OOS_margin,53,0.10599827202374604,0.06984083864224055,6.004932260732119,29,5,19,3.8558151572942734e-05,0.3584905660377358,34,0.16523260050760408
A,10,GROSS,RANDOM,OOS_Sharpe,53,0.0007389395835810915,0.00046883885395698766,3.0748307233125454,32,15,6,0.01862383661500644,0.11320754716981132,47,0.0008332722963786777
A,10,GROSS,RANDOM,OOS_margin,53,-0.10921303078658999,-0.06844556456583939,-2.878024610990403,16,31,6,0.03998605682605216,0.11320754716981132,47,-0.12315511982317591
A,10,GROSS,ORACLE,OOS_Sharpe,53,0.0020220577649805575,0.0012298533863068783,7.192609251832701,43,0,10,2.2737367544323206e-13,0.18867924528301888,43,0.002492303756836501
A,10,GROSS,ORACLE,OOS_margin,53,-0.34288186778532365,-0.41710547533175596,-7.442685563630218,4,39,10,3.1081526685738936e-08,0.18867924528301888,43,-0.4226218370377245
A,10,N,MODE-GLOBAL,OOS_Sharpe,53,0.02152851876388876,0.0,1.4725692699513038,21,20,12,1.0,0.22641509433962265,41,0.027829548646002532
A,10,N,MODE-GLOBAL,OOS_margin,53,0.011170949752258236,0.0,0.6108194246118979,24,17,12,0.34888887944907765,0.22641509433962265,41,0.014440496021211866
A,10,N,MODE-LOO,OOS_Sharpe,53,0.02152851876388876,0.0,1.4725692699513038,21,20,12,1.0,0.22641509433962265,41,0.027829548646002532
A,10,N,MODE-LOO,OOS_margin,53,0.011170949752258236,0.0,0.6108194246118979,24,17,12,0.34888887944907765,0.22641509433962265,41,0.014440496021211866
A,10,N,MODE-XCORPUS,OOS_Sharpe,53,-0.00888692428601077,0.0,-0.570497354064641,19,25,9,0.4513808323961257,0.16981132075471697,44,-0.010704704253603882
A,10,N,MODE-XCORPUS,OOS_margin,53,0.04800616834193541,0.007581289306721133,2.9276289257323955,30,14,9,0.022628841205914796,0.16981132075471697,44,0.057825611866422204
