arm,label,L_hat,lo,hi,res_lo,res_hi,res_63,n,panel,bar,L,decisive,npairs,rate
B_1208,PW_CB median (all cells),3.4553094828475768,2.0,5.0,12.0,12.0,16.0,72.0,,,,,,
B_1208,PW_CB U56 S_PSI,3.48599044684331,2.0,5.0,12.0,12.0,16.0,72.0,,,,,,
B_1208,VMATCH median,13.0,10.0,21.0,13.0,14.0,16.0,72.0,,,,,,
B_1208,HHJ median,12.55053172674937,10.0,21.0,13.0,14.0,16.0,72.0,,,,,,
C_rate,,,,,,,,,U56,L21,21.0,0.0,35.0,0.0
C_rate,,,,,,,,,U56,L63,63.0,1.0,35.0,0.02857142857142857
C_rate,,,,,,,,,U56,LHAT,2.0,0.0,35.0,0.0
C_rate,,,,,,,,,U56,L252,252.0,1.0,35.0,0.02857142857142857
C_rate,,,,,,,,,U56,L504,504.0,2.0,35.0,0.05714285714285714
C_rate,,,,,,,,,B135,L21,21.0,0.0,35.0,0.0
C_rate,,,,,,,,,B135,L63,63.0,0.0,35.0,0.0
C_rate,,,,,,,,,B135,LHAT,2.0,0.0,35.0,0.0
C_rate,,,,,,,,,B135,L252,252.0,0.0,35.0,0.0
C_rate,,,,,,,,,B135,L504,504.0,0.0,35.0,0.0
C_rate,,,,,,,,,SMALL663,L21,21.0,0.0,35.0,0.0
C_rate,,,,,,,,,SMALL663,L63,63.0,0.0,35.0,0.0
C_rate,,,,,,,,,SMALL663,LHAT,1.0,2.0,35.0,0.05714285714285714
C_rate,,,,,,,,,SMALL663,L252,252.0,0.0,35.0,0.0
C_rate,,,,,,,,,SMALL663,L504,504.0,2.0,35.0,0.05714285714285714
