ladder,panel,book,cost,family,IS_argmax,OOS_argmax,IS_max,OOS_max,OOS_at_IS_pick,regret,hit
PUB,broad,CAND20,10,200d,300.0,75.0,-9.992007221626409e-14,4.067192007129994,0.5566635704615686,3.5105284366684253,False
PUB,broad,CAND20,10,abs,63.0,42.0,0.16745763869900898,2.600350582817723,2.0318213935738405,0.5685291892438826,False
PUB,broad,CAND20,10,band,0.02,0.01,-6.661338147750939e-14,1.097113376432346,1.097113376432346,0.0,False
PUB,broad,CAND20,10,ddctl,0.05,0.05,2.837152304010293,9.421563192787286,9.421563192787286,0.0,True
PUB,broad,CAND20,10,dg,0.4,0.4,7.766873539215824,14.857702225913716,14.857702225913716,0.0,True
PUB,broad,CAND20,10,stop,0.3,0.08,0.0,1.8472350844963348,-1.132326062214295,2.9795611467106298,False
PUB,broad,CAND20,25,200d,250.0,100.0,0.0,2.996803405465709,0.6776771185561858,2.319126286909523,False
PUB,broad,CAND20,25,abs,378.0,63.0,0.1012246123246241,2.0421133791177493,0.6903801960438272,1.351733183073922,False
PUB,broad,CAND20,25,band,0.12,0.01,3.3306690738754696e-14,1.1228808824149228,0.6071452840974878,0.515735598317435,False
PUB,broad,CAND20,25,ddctl,0.05,0.05,2.5643974844837936,7.157523571037771,7.157523571037771,0.0,True
PUB,broad,CAND20,25,dg,0.4,0.4,7.961112126926029,14.95355341149951,14.95355341149951,0.0,True
PUB,broad,CAND20,25,stop,0.25,0.08,3.3306690738754696e-14,1.519008520087628,-2.350408308323848,3.869416828411476,False
PUB,broad,EWALL0,10,200d,150.0,100.0,4.404314359707151,7.0177930383906295,5.960370020158512,1.0574230182321172,False
PUB,broad,EWALL0,10,abs,126.0,63.0,4.673948346326129,5.051362865865883,4.1841387592056805,0.8672241066602027,False
PUB,broad,EWALL0,10,band,0.03,0.03,4.837698394140544,6.869856328677804,6.869856328677804,0.0,True
PUB,broad,EWALL0,10,ddctl,0.05,0.05,4.838936343205347,8.566351161561547,8.566351161561547,0.0,True
PUB,broad,EWALL0,10,dg,0.4,0.4,8.95893416498078,14.649787275634585,14.649787275634585,0.0,True
PUB,broad,EWALL0,10,stop,0.08,0.08,1.498510083505733,2.727496419617692,2.727496419617692,0.0,True
PUB,broad,EWALL0,25,200d,250.0,100.0,3.717067987786693,5.017616602786134,4.777260973574304,0.2403556292118303,False
PUB,broad,EWALL0,25,abs,126.0,126.0,4.3918884407111,3.982505331301256,3.982505331301256,0.0,True
PUB,broad,EWALL0,25,band,0.03,0.03,4.730861892173044,6.673474483153042,6.673474483153042,0.0,True
PUB,broad,EWALL0,25,ddctl,0.05,0.05,4.620039283282051,8.427473041340273,8.427473041340273,0.0,True
PUB,broad,EWALL0,25,dg,0.4,0.4,8.97190656803647,14.66059835716964,14.66059835716964,0.0,True
PUB,broad,EWALL0,25,stop,0.15,0.08,1.2234117954153745,2.268747944842864,-1.1251684287863162,3.39391637362918,False
PUB,u56,CAND20,10,200d,300.0,100.0,-0.5488730935314434,1.2129808321926117,-1.0779310034349843,2.290911835627596,False
PUB,u56,CAND20,10,abs,42.0,42.0,0.9437981415635122,-0.11192110357924889,-0.11192110357924889,0.0,True
PUB,u56,CAND20,10,band,0.02,0.01,-0.2541612444002306,0.024520494675672744,0.024520494675672744,0.0,False
PUB,u56,CAND20,10,ddctl,0.05,0.05,1.5864945779500705,8.117196548089911,8.117196548089911,0.0,True
PUB,u56,CAND20,10,dg,0.4,0.4,6.641364053600595,12.742097135533381,12.742097135533381,0.0,True
PUB,u56,CAND20,10,stop,0.25,0.08,-0.09990270168697135,2.5929907676758623,-1.324694501030077,3.9176852687059394,False
PUB,u56,CAND20,25,200d,300.0,100.0,-0.19119712530319966,1.0554280626777213,-1.086718448087609,2.1421465107653304,False
