leg,pickset,bar,files,files_with_WU,picks,rows,WU,WU_rows,WU_share,flagged,flag_share_of_all,flagged_rows,med_live,min_live,cells,empty,moved,move_share,med_abs_dOOS,max_abs_dOOS,worse,better,chooser,pass_4a,pass_4b,med_OOS_Sharpe,med_OOS_CAGR,med_OOS_MaxDD
A,P1,0.5,543.0,18.0,6465.0,167688.0,70.0,3756.0,0.01082753286929621,25.0,0.0038669760247486465,1265.0,0.7488789237668162,0.0,,,,,,,,,,,,,,
A,P1,0.9,543.0,18.0,6465.0,167688.0,70.0,3756.0,0.01082753286929621,56.0,0.008662026295436968,3501.0,0.7488789237668162,0.0,,,,,,,,,,,,,,
A,P1,1.0,543.0,18.0,6465.0,167688.0,70.0,3756.0,0.01082753286929621,70.0,0.01082753286929621,3756.0,0.7488789237668162,0.0,,,,,,,,,,,,,,
A,P2,0.5,543.0,73.0,6465.0,167688.0,236.0,6869.0,0.036504253673627224,51.0,0.00788863109048724,1486.0,0.858744394618834,0.0,,,,,,,,,,,,,,
A,P2,0.9,543.0,73.0,6465.0,167688.0,236.0,6869.0,0.036504253673627224,148.0,0.022892498066511988,4300.0,0.858744394618834,0.0,,,,,,,,,,,,,,
A,P2,1.0,543.0,73.0,6465.0,167688.0,236.0,6869.0,0.036504253673627224,236.0,0.036504253673627224,6869.0,0.858744394618834,0.0,,,,,,,,,,,,,,
A,P3,0.5,543.0,320.0,6465.0,167688.0,1942.0,37031.0,0.3003866976024749,117.0,0.018097447795823667,4084.0,0.9720976581963129,0.0,,,,,,,,,,,,,,
A,P3,0.9,543.0,320.0,6465.0,167688.0,1942.0,37031.0,0.3003866976024749,352.0,0.054447022428460945,7691.0,0.9720976581963129,0.0,,,,,,,,,,,,,,
A,P3,1.0,543.0,320.0,6465.0,167688.0,1942.0,37031.0,0.3003866976024749,1942.0,0.3003866976024749,37031.0,0.9720976581963129,0.0,,,,,,,,,,,,,,
B,P1,0.5,,,,,,,,,,,,,7750.0,18.0,4234.0,0.5475944128297983,0.044605020211953006,1.063498577955643,1357.0,2852.0,,,,,,
B,P1,0.9,,,,,,,,,,,,,7750.0,7302.0,376.0,0.8392857142857143,0.13299261984875776,1.5925954200554548,107.0,269.0,,,,,,
B,P1,1.0,,,,,,,,,,,,,7750.0,7520.0,214.0,0.9304347826086956,0.37711401603422945,1.5925954200554548,84.0,130.0,,,,,,
B,P2,0.5,,,,,,,,,,,,,7750.0,18.0,4234.0,0.5475944128297983,0.044605020211953006,1.063498577955643,1357.0,2852.0,,,,,,
B,P2,0.9,,,,,,,,,,,,,7750.0,7302.0,376.0,0.8392857142857143,0.13299261984875776,1.5925954200554548,107.0,269.0,,,,,,
B,P2,1.0,,,,,,,,,,,,,7750.0,7520.0,214.0,0.9304347826086956,0.37711401603422945,1.5925954200554548,84.0,130.0,,,,,,
B,P3,0.5,,,,,,,,,,,,,8164.0,18.0,4612.0,0.5661674441443654,0.051031973336074565,1.9923145170255847,1486.0,3101.0,,,,,,
B,P3,0.9,,,,,,,,,,,,,8164.0,7302.0,754.0,0.8747099767981439,0.37711401603422945,1.9923145170255847,236.0,518.0,,,,,,
B,P3,1.0,,,,,,,,,,,,,8164.0,7556.0,592.0,0.9736842105263158,0.4336114500021791,1.7846321160353962,198.0,394.0,,,,,,
C,P1,,,,,,,,,,,,,,24.0,0.0,0.0,0.0,,,,,BLIND,0.0,9.0,1.1636080400412374,0.11315471609420769,-0.15874701499330085
C,P1,0.5,,,,,,,,,,,,,24.0,0.0,2.0,0.08333333333333333,0.19241480436577185,,,,BAR050,0.0,9.0,1.1805937125316148,0.11315471609420769,-0.15645085871708553
C,P1,0.9,,,,,,,,,,,,,24.0,0.0,20.0,0.8333333333333334,0.07007017479604827,,,,BAR090,0.0,11.0,1.2129365502873384,0.1240417345595165,-0.14459924791187517
C,P1,,,,,,,,,,,,,,24.0,0.0,24.0,1.0,0.046169040319259724,,,,LIVELEG,0.0,14.0,1.1850092639708942,0.11762632395428507,-0.1512802347429244
C,P2,,,,,,,,,,,,,,48.0,0.0,0.0,0.0,,,,,BLIND,0.0,18.0,1.1794648740793958,0.11114366834509903,-0.1605329496900495
C,P2,0.5,,,,,,,,,,,,,48.0,0.0,2.0,0.041666666666666664,0.19241480436577185,,,,BAR050,0.0,18.0,1.1864487605762797,0.11114366834509903,-0.1587470149933009
C,P2,0.9,,,,,,,,,,,,,48.0,0.0,28.0,0.5833333333333334,0.06145111016217608,,,,BAR090,0.0,20.0,1.2011846145827247,0.1240417345595165,-0.15737770463229633
C,P2,,,,,,,,,,,,,,48.0,0.0,46.0,0.9583333333333334,0.051550832727588314,,,,LIVELEG,0.0,20.0,1.1295086692776488,0.114487146750751,-0.16621104407321924
C,P3,,,,,,,,,,,,,,72.0,0.0,0.0,0.0,,,,,BLIND,0.0,18.0,1.1098468155234382,0.11315406111658954,-0.1734899508912755
C,P3,0.5,,,,,,,,,,,,,72.0,0.0,2.0,0.027777777777777776,0.19241480436577185,,,,BAR050,0.0,18.0,1.1114668802221546,0.11315406111658954,-0.17217500913747802
C,P3,0.9,,,,,,,,,,,,,72.0,0.0,42.0,0.5833333333333334,0.05005379955468614,,,,BAR090,0.0,21.0,1.1373377714357722,0.12319502977895824,-0.16983916038543018
C,P3,,,,,,,,,,,,,,72.0,0.0,66.0,0.9166666666666666,0.04910346252589537,,,,LIVELEG,0.0,20.0,1.0887094018860224,0.114487146750751,-0.17292196176968977
