corpus,cost_bps,dial,group,n_books,full_mode,full_share,distinct,share_mean40,share_sd40,d_mean40,d_median40,d_sd40,win40,dmargin_mean40,mode_stable40,share_mean,share_sd,d_mean,d_median,d_sd,win,dmargin_mean,mode_stable,published
A,5,GROSS,ALL,53,1.0,0.9433962264150944,3,0.9433760683760684,0.03681550831845631,-0.00012562543834537422,-0.00012431426137580066,0.00011435554065848708,0.1375,0.006709694979941105,1.0,0.9434437321937322,0.03450952808504291,-0.00012548852166844942,-0.00012431426137580066,0.00010993459917559404,0.1175,0.0067082870138285,1.0,False
A,5,GROSS,B136,48,1.0,0.9583333333333334,3,0.9583333333333333,0.02871676823352131,-0.0001457626082867642,-0.0001457626082867642,0.00011830355290873108,0.0,0.01438755806143921,1.0,0.9583333333333335,0.02975595178559522,-0.00014576260828676418,-0.0001457626082867642,0.0001203292612809164,0.0,0.01438755806143921,1.0,False
A,5,GROSS,B136k20,16,1.0,0.9375,2,0.9375,0.0625,-8.930167383845028e-05,-8.930167383845028e-05,8.930167383845028e-05,0.0,0.013561463685415682,1.0,0.9375,0.0625,-8.930167383845028e-05,-8.930167383845028e-05,8.930167383845028e-05,0.0,0.013561463685415682,1.0,False
A,5,GROSS,B136k40,16,1.0,0.9375,2,0.9375,0.0625,-0.0003479861510218424,-0.0003479861510218424,0.00034798615102184244,0.0,0.029601210498901943,1.0,0.9375,0.0625,-0.0003479861510218424,-0.0003479861510218424,0.00034798615102184244,0.0,0.029601210498901947,1.0,False
A,5,GROSS,B136k80,16,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
A,5,N,ALL,53,20,0.20754716981132076,9,0.22918447293447297,0.03455847043272493,-0.007434196024472373,0.006866933303779427,0.04692428055265381,0.575,0.022101091874614703,0.05,0.2332122507122507,0.03889916103129846,-0.003360800714393857,0.011705791364216091,0.04477933443849394,0.6075,0.02127868469591338,0.095,False
A,5,N,B136,48,20,0.1875,9,0.228125,0.03606935352745997,-0.01860411708772565,-0.007379633013849222,0.05396162380492319,0.4625,0.021409651979474104,0.0,0.23125,0.0369754986443726,-0.0202084407987874,-0.009393469625843401,0.052988667853090754,0.435,0.022629158699010707,0.0,False
A,5,N,B136k20,16,15,0.4375,4,0.475,0.1034559084827928,0.027665947042003813,0.031016340323099065,0.03340628691334064,0.85,0.03637600418525712,0.5,0.4765625,0.09940005580355576,0.028137872341995395,0.03148850540002924,0.03364078440501907,0.8675,0.03897371237760097,0.555,False
A,5,N,B136k40,16,8,0.3125,6,0.3546875,0.08014574127020099,-0.040800896550076814,-0.0638771510474901,0.07096026517506898,0.15,-0.025096198422398942,0.5,0.3596875,0.08361871706591772,-0.03919640812867547,-0.05970927688368039,0.07370135396394834,0.1575,-0.023164538281682204,0.46,False
A,5,N,B136k80,16,10,0.1875,9,0.278125,0.05581428468591173,-0.02661028595434105,-0.08495038546670514,0.13089151296534618,0.325,-0.028030393819632394,0.0,0.27375,0.05504259714075999,-0.03869469617000955,-0.0777304505925803,0.1247503840813152,0.305,-0.03503765354547403,0.0,False
