panel,dial,pick_S,pick_C,same,dOOS_Sharpe,dOOS_CAGR_pp,xr,freelunch,both_worse,S_OOS_Sharpe,C_OOS_Sharpe,DN_OOS_Sharpe,S_OOS_CAGR,C_OOS_CAGR,DN_OOS_CAGR,n_arms
B136,cadence,FREQ_Q,FREQ_Q,True,0.0,0.0,,False,False,0.9768440286278972,0.9768440286278972,1.0185476662771331,0.11071721734763407,0.11071721734763407,0.10583657394304091,4
B136,gross,G1.00,G1.00,True,0.0,0.0,,False,False,1.0174784887003725,1.0174784887003725,1.018750290409031,0.14091101322947752,0.14091101322947752,0.09879860664842388,6
B136,n,FWD10,FWD5,False,0.043714024944483953,3.6256824809268506,,True,False,0.780593339534181,0.8243073644786649,1.0185476662771331,0.12766905137397422,0.16392587618324272,0.10583657394304091,7
B136,trim,B0.08,B0.08,True,0.0,0.0,,False,False,1.1094642338971092,1.1094642338971092,1.1185082795688426,0.08363493461181792,0.08363493461181792,0.07983337481604336,6
B136,volgate,V1.00,V1.00,True,0.0,0.0,,False,False,1.052744469717349,1.052744469717349,1.0185476662771331,0.11610852417415041,0.11610852417415041,0.10583657394304091,6
BSTK100,cadence,FREQ_Q,FREQ_Q,True,0.0,0.0,,False,False,1.0137510729228119,1.0137510729228119,1.0095999331099443,0.12558151595531708,0.12558151595531708,0.12155660613742114,4
BSTK100,gross,G1.00,G1.00,True,0.0,0.0,,False,False,1.0061832635929588,1.0061832635929588,1.010250664320656,0.1611219583845689,0.1611219583845689,0.1135637404053742,6
BSTK100,n,FWD10,FWD5,False,0.03055907404686309,3.0103704927949337,,True,False,0.7488975844407562,0.7794566584876192,1.0095999331099443,0.12338297887674621,0.15348668380469555,0.12155660613742114,6
BSTK100,trim,B0.08,B0.08,True,0.0,0.0,,False,False,1.155080855825761,1.155080855825761,1.1403459736163715,0.09556204453678308,0.09556204453678308,0.08889334353179068,6
BSTK100,volgate,V1.00,V1.00,True,0.0,0.0,,False,False,1.116734648493553,1.116734648493553,1.0095999331099443,0.14050069584843827,0.14050069584843827,0.12155660613742114,6
S0_B60,cadence,FREQ_Q,FREQ_W,False,-0.08375746652584382,-1.5022954838093572,-17.936257460053618,False,True,1.157135621642687,1.073378155116843,1.073378155116843,0.14430056374895783,0.12927760891086426,0.12927760891086426,4
S0_B60,gross,G0.70,G1.00,False,-0.0048205206688909374,5.100342848900352,1058.0481236840737,False,False,1.0741533275487234,1.0693328068798325,1.0741533275487234,0.1207256179770837,0.17172904646608722,0.1207256179770837,6
S0_B60,n,EWall,FWD5,False,-0.12534587522277618,5.30215471051505,42.300192974771406,False,False,1.073378155116843,0.9480322798940669,1.073378155116843,0.12927760891086426,0.18229915601601476,0.12927760891086426,5
S0_B60,trim,B0.08,B0.08,True,0.0,0.0,,False,False,1.2434931580058353,1.2434931580058353,1.2427980245366692,0.104114899527187,0.104114899527187,0.09941751225821127,6
S0_B60,volgate,V1.00,V1.00,True,0.0,0.0,,False,False,1.1756726069108987,1.1756726069108987,1.073378155116843,0.14746458220315128,0.14746458220315128,0.12927760891086426,6
S1_B60,cadence,FREQ_Q,FREQ_Q,True,0.0,0.0,,False,False,1.018069459757358,1.018069459757358,1.0360112778069932,0.1313031254649497,0.1313031254649497,0.12998880988509076,4
S1_B60,gross,G1.00,G1.00,True,0.0,0.0,,False,False,1.0326163939398074,1.0326163939398074,1.0366607069115543,0.17247945950928956,0.17247945950928956,0.12141540797416717,6
S1_B60,n,EWall,FWD10,False,-0.1130827750346659,1.9027541463252584,16.82620669453825,False,False,1.0360112778069932,0.9229285027723273,1.0360112778069932,0.12998880988509076,0.14901635134834335,0.12998880988509076,5
S1_B60,trim,B0.02,B0.08,False,-0.019783411227684233,0.46753847704144036,23.632854398092018,False,False,1.1920838555989202,1.172300444371236,1.1464251245434012,0.09672664633806716,0.10140203110848156,0.09347923674539538,6
S1_B60,volgate,V1.00,V1.00,True,0.0,0.0,,False,False,1.1444579903168492,1.1444579903168492,1.0360112778069932,0.14987943333115328,0.14987943333115328,0.12998880988509076,6
S2_B60,cadence,FREQ_W,FREQ_W,True,0.0,0.0,,False,False,1.0008236106555475,1.0008236106555475,1.0008236106555475,0.1262449190934165,0.1262449190934165,0.1262449190934165,4
S2_B60,gross,G1.00,G1.00,True,0.0,0.0,,False,False,0.9980739011721081,0.9980739011721081,1.001342444392794,0.16729554362157173,0.16729554362157173,0.11794803123085607,6
S2_B60,n,FWD5,FWD5,True,0.0,0.0,,False,False,0.7943291324498374,0.7943291324498374,1.0008236106555475,0.14612369680360082,0.14612369680360082,0.1262449190934165,5
S2_B60,trim,B0.02,B0.08,False,-0.03688412696394572,0.3235051073134265,8.77084897873964,False,False,1.2011047833062711,1.1642206563423254,1.1723073763573046,0.09854272723251545,0.10177777830564971,0.09654967655661961,6
S2_B60,volgate,V1.00,V1.00,True,0.0,0.0,,False,False,1.1021509432475831,1.1021509432475831,1.0008236106555475,0.14531850654604206,0.14531850654604206,0.1262449190934165,6
S3_B60,cadence,FREQ_W,FREQ_W,True,0.0,0.0,,False,False,1.088126511094461,1.088126511094461,1.088126511094461,0.1292799196358858,0.1292799196358858,0.1292799196358858,4
S3_B60,gross,G1.00,G1.00,True,0.0,0.0,,False,False,1.0874834592651792,1.0874834592651792,1.0882397923825573,0.1725956312444512,0.1725956312444512,0.12061517725529725,6
S3_B60,n,EWall,FWD5,False,-0.3563782598262357,0.6094784162419487,1.7102008875039698,False,False,1.088126511094461,0.7317482512682252,1.088126511094461,0.1292799196358858,0.1353747037983053,0.1292799196358858,5
