panel,basis,target,window,k_mean,k_cap_share
U56,B_CONST,0.06,21,0.5373738828022929,0.5803912750168653
U56,B_SELF,0.06,21,0.5600131544355936,0.6406566224420958
U56,B_CONST,0.06,63,0.5319334981280719,0.48819428828423655
U56,B_SELF,0.06,63,0.5577467853623888,0.561052394872948
U56,B_CONST,0.06,126,0.5286088523975516,0.4438947605127052
U56,B_SELF,0.06,126,0.5548752363349119,0.5228243759838093
U56,B_CONST,0.08,21,0.5775583722417363,0.8095345176523498
U56,B_SELF,0.08,21,0.5844500781275196,0.8394423206656173
U56,B_CONST,0.08,63,0.5799856447901071,0.8086350348549584
U56,B_SELF,0.08,63,0.5849383279688003,0.8284236563975714
U56,B_CONST,0.08,126,0.5837975089943908,0.7917697324038677
U56,B_SELF,0.08,126,0.5876572836558512,0.8061614571621317
U56,B_CONST,0.1,21,0.5913743060393059,0.9287159883067236
U56,B_SELF,0.1,21,0.593331816938941,0.9377108162806387
U56,B_CONST,0.1,63,0.5931314278913478,0.9361367213852035
U56,B_SELF,0.1,63,0.5945425290301734,0.9395097818754217
U56,B_CONST,0.1,126,0.5956514625642249,0.9446818079604228
U56,B_SELF,0.1,126,0.5961676598311758,0.9469305149539015
U56,B_CONST,0.12,21,0.596173115175357,0.9642455588036879
U56,B_SELF,0.12,21,0.5968582465399382,0.9653699123004272
U56,B_CONST,0.12,63,0.5966507968106054,0.9709916797841242
U56,B_SELF,0.12,63,0.5971345468066738,0.9709916797841242
U56,B_CONST,0.12,126,0.5997537415844745,0.9862828873397796
U56,B_SELF,0.12,126,0.5997715249537815,0.9862828873397796
U56,B_CONST,0.14,21,0.5977288352198732,0.9869574994378233
U56,B_SELF,0.14,21,0.5981027738407655,0.9869574994378233
U56,B_CONST,0.14,63,0.5987751379814206,0.9763885765684731
U56,B_SELF,0.14,63,0.5988795654633698,0.978412412862604
U56,B_CONST,0.14,126,0.6,1.0
U56,B_SELF,0.14,126,0.6,1.0
B136,B_CONST,0.06,21,0.5164125445812577,0.504163853252307
B136,B_SELF,0.06,21,0.5460802728901791,0.5590817015530047
B136,B_CONST,0.06,63,0.5103257152149694,0.4391177132568085
B136,B_SELF,0.06,63,0.543673636593337,0.4886338059869458
B136,B_CONST,0.06,126,0.5084197594705353,0.35313977042538824
B136,B_SELF,0.06,126,0.5419569094605479,0.4267386900742741
B136,B_CONST,0.08,21,0.5637610026311174,0.7474679270762998
B136,B_SELF,0.08,21,0.5759026072342314,0.7776277290119289
B136,B_CONST,0.08,63,0.5659849822780799,0.7362142696376323
B136,B_SELF,0.08,63,0.5767446937570586,0.7645734863830745
B136,B_CONST,0.08,126,0.5711094426492079,0.7098807112311502
B136,B_SELF,0.08,126,0.5788165015556503,0.7438667566959262
B136,B_CONST,0.1,21,0.5841438084821969,0.8674319153724961
B136,B_SELF,0.1,21,0.5888816966288742,0.8804861580013504
B136,B_CONST,0.1,63,0.5860655533528454,0.8730587440918298
B136,B_SELF,0.1,63,0.5895280234650081,0.8818365968939905
B136,B_CONST,0.1,126,0.5943501046674377,0.8935404006302048
B136,B_SELF,0.1,126,0.595458492691725,0.8946657663740716
B136,B_CONST,0.12,21,0.5923469761427503,0.937879810938555
B136,B_SELF,0.12,21,0.5941694917508128,0.945532297996849
B136,B_CONST,0.12,63,0.5956569867245203,0.9347287868557281
B136,B_SELF,0.12,63,0.5964813459845465,0.937879810938555
B136,B_CONST,0.12,126,0.5988168566201013,0.9849200990321855
B136,B_SELF,0.12,126,0.5990318533680984,0.9849200990321855
B136,B_CONST,0.14,21,0.5963214789290786,0.9597119063695702
B136,B_SELF,0.14,21,0.5970515708299001,0.9642133693450371
B136,B_CONST,0.14,63,0.5992361404126035,0.9869457573711456
B136,B_SELF,0.14,63,0.599387183281947,0.9869457573711456
B136,B_CONST,0.14,126,0.5998812993153375,0.9912221471978393
B136,B_SELF,0.14,126,0.5998942316221838,0.9912221471978393
SMALL,B_CONST,0.06,21,0.4623698986070301,0.2574911122397156
SMALL,B_SELF,0.06,21,0.5165236265858767,0.3453529710512951
SMALL,B_CONST,0.06,63,0.44837473995128285,0.17343829355002538
SMALL,B_SELF,0.06,63,0.5119792155002739,0.23768410360589132
SMALL,B_CONST,0.06,126,0.4405643270402993,0.12493651599796851
SMALL,B_SELF,0.06,126,0.5078324026927526,0.18588115794819707
SMALL,B_CONST,0.08,21,0.5384094599428462,0.5502793296089385
SMALL,B_SELF,0.08,21,0.5617229282257157,0.6099542915185373
SMALL,B_CONST,0.08,63,0.5358999411274572,0.48628745556119857
SMALL,B_SELF,0.08,63,0.5622857846787103,0.5441848654139156
SMALL,B_CONST,0.08,126,0.5333539216525658,0.4621635347892331
SMALL,B_SELF,0.08,126,0.5597566490611168,0.5385982732351448
SMALL,B_CONST,0.1,21,0.5752303129727894,0.7506348400203149
SMALL,B_SELF,0.1,21,0.5841116542445355,0.7948197054342305
SMALL,B_CONST,0.1,63,0.57613431347037,0.7534281361097004
SMALL,B_SELF,0.1,63,0.5845512150808053,0.792788217369223
SMALL,B_CONST,0.1,126,0.5754103025483583,0.7463179278821737
SMALL,B_SELF,0.1,126,0.5831741034374541,0.7722194007110208
SMALL,B_CONST,0.12,21,0.5897997061380975,0.9037582529202641
SMALL,B_SELF,0.12,21,0.5932552642842667,0.9212798374809548
SMALL,B_CONST,0.12,63,0.5899573722576671,0.9159471813103098
SMALL,B_SELF,0.12,63,0.5928169994620314,0.9319451498222447
SMALL,B_CONST,0.12,126,0.591403139732618,0.9144235652615541
SMALL,B_SELF,0.12,126,0.5929640490988999,0.9230573895378364
SMALL,B_CONST,0.14,21,0.5946844188991608,0.9581005586592178
SMALL,B_SELF,0.14,21,0.5963811515951507,0.9669883189436262
SMALL,B_CONST,0.14,63,0.5946650091619047,0.9484509903504317
SMALL,B_SELF,0.14,63,0.5957605910509202,0.9593702386998476
SMALL,B_CONST,0.14,126,0.5960261617698976,0.9512442864398172
SMALL,B_SELF,0.14,126,0.5965907517513431,0.9512442864398172
