panel,carrier_set,rho_raw,rho_stripped,share_lost,null_lo,null_hi,inside_null
U56,TAIL,0.837320012162083,0.3493754396115287,0.5827456234929939,-0.2222340453514247,0.22856600605474398,False
U56,TIMING,0.837320012162083,0.5890545590947757,0.2965000829566339,-0.22321949819530978,0.20952242161209575,False
U56,BREADTH,0.837320012162083,0.7397905911605221,0.11647807240355523,-0.2039279623287862,0.2320204575334603,False
U56,ALL,0.837320012162083,0.4751215804277774,0.43256870309244866,-0.23070951374506987,0.21685324931289007,False
B136,TAIL,0.34261639037852964,0.14149300046950397,0.5870220910529715,-0.21181407765880897,0.22519096956297022,True
B136,TIMING,0.34261639037852964,0.24536469906748254,0.28385008435703096,-0.20259027973830387,0.2360893955868737,False
B136,BREADTH,0.34261639037852964,0.3270820240487261,0.04534040625622393,-0.20379254042888706,0.25212857898749425,False
B136,ALL,0.34261639037852964,0.2217615335948809,0.3527410251743234,-0.215674384895434,0.21689595650594212,False
SMALL,TAIL,0.365222366909008,-7.184644806141554e-05,1.0001967197372643,-0.22195013009892842,0.2383982235335849,True
SMALL,TIMING,0.365222366909008,0.41269587973314004,-0.12998522852232552,-0.22926043742058605,0.23514409891276197,False
SMALL,BREADTH,0.365222366909008,0.34110357771162314,0.06603864216069177,-0.19746126577218412,0.24957704778345055,False
SMALL,ALL,0.365222366909008,0.25174914999388565,0.3106962420606436,-0.21033303280355994,0.22602973335603568,False
