panel,dial,unit,val,floor,sharpes
U56,WIDTH,ABS,5.0,0.19861599444042788,1.084;0.916;0.963;1.043;1.115
U56,WIDTH,REL,0.1,0.2731835608162756,1.035;0.803;1.060;0.915;1.076
U56,VOLCAP,ABS,0.8,0.04698229324667569,1.063;1.077;1.082;1.035;1.041
U56,VOLCAP,REL,1.0,0.06637369136867743,1.099;1.143;1.152;1.086;1.099
U56,TREND,ABS,0.1,0.02464352027492578,1.276;1.272;1.275;1.253;1.252
U56,TREND,REL,4.0,0.017648018022556444,1.155;1.147;1.154;1.138;1.145
B136,WIDTH,ABS,5.0,0.13923290811018374,1.091;0.970;0.991;0.961;1.100
B136,WIDTH,REL,0.1,0.3721244637037793,1.171;0.954;0.991;0.799;0.876
B136,VOLCAP,ABS,0.2,0.061685364362503825,0.748;0.737;0.762;0.706;0.700
B136,VOLCAP,REL,1.0,0.06508480215690393,1.078;1.081;1.048;1.016;1.059
B136,TREND,ABS,0.1,0.04822061141829104,1.154;1.144;1.145;1.106;1.129
B136,TREND,REL,4.0,0.03136416896760075,1.075;1.068;1.065;1.043;1.063
SMALL,WIDTH,ABS,15.0,0.21055564119911718,0.803;0.869;0.771;0.659;0.719
SMALL,WIDTH,REL,0.9,0.0766942133496612,0.584;0.591;0.562;0.514;0.573
SMALL,VOLCAP,ABS,0.2,0.24391164054172787,0.153;-0.090;-0.026;0.096;-0.026
SMALL,VOLCAP,REL,0.1,0.1557814854577984,0.384;0.413;0.465;0.309;0.350
SMALL,TREND,ABS,0.1,0.06893812032792057,0.688;0.706;0.707;0.639;0.661
SMALL,TREND,REL,4.0,0.01966290935126369,0.678;0.665;0.664;0.665;0.684
