panel,ladder,committed_1100,this_run,abs_diff,ratio,committed_agreement,this_run_agreement,verdict_same
U56,L_N,0.2172127478186829,0.2305595603565349,0.013346812537851999,1.0614458068040886,0.513,0.545,True
U56,L_H,0.2044607137549803,0.18754661380876209,0.016914099946218203,0.9172745725299211,0.509,0.505,True
U56,L_G,0.0003160447685405,0.0003201534904749198,4.108721934419806e-06,1.0130004427961075,0.714,0.711,True
U56,L_CAD,0.1509550426477043,0.14744907819501576,0.003505964452688526,0.9767747775019966,0.517,0.528,True
U56,L_NH,0.3371165448962485,0.3240959161251274,0.01302062877112109,0.9613764765679823,0.516,0.467,True
U56,L_BOOK,0.2021469611966722,0.20277723221707394,0.0006302710204017514,1.0031178852092095,0.57,0.586,True
U56,L_MV,0.1799872285076881,0.18193509182594614,0.0019478633182580252,1.0108222307460821,0.536,0.567,True
B136,L_N,0.1828773856963406,0.174928269303719,0.007949116392621608,0.9565330816472806,0.529,0.495,True
B136,L_H,0.233595916835261,0.22376537907736127,0.009830537757899743,0.9579164829116746,0.657,0.662,True
B136,L_G,0.0003197560996432,0.0003366680464440411,1.6911946800841112e-05,1.0528901460197704,0.956,0.953,False
B136,L_CAD,0.1915237244195271,0.18310794773847716,0.008415776681049952,0.9560588292309132,0.554,0.581,True
B136,L_NH,0.1355160341140783,0.1412438540508274,0.00572781993674909,1.042266732303628,0.933,0.931,True
B136,L_BOOK,0.2071110697656384,0.20522287084074367,0.001888198924894724,0.9908831578774068,0.5,0.53,True
B136,L_MV,0.1248466646523376,0.1281663175598452,0.003319652907507603,1.0265898405596328,0.7,0.715,True
