claimset,guardbasis,n_claims,n_cell_stated,n_rescorable,share_cell_stated,share_rescorable,n28,n28_rescorable,d_rescorable_vs_ASIS,d_share_vs_ASIS,d_28_vs_ASIS,share_moves
S_NARROW,B_ASIS,59,7,3,0.11864406779661017,0.05084745762711865,10,1,0,0.0,0,False
S_NARROW,B_MATCHED,59,7,3,0.11864406779661017,0.05084745762711865,10,1,0,0.0,0,False
S_NARROW,B_PROSE,59,3,1,0.05084745762711865,0.01694915254237288,10,0,-2,-0.03389830508474577,-1,True
S_NARROW,B_SCRIPT,59,3,1,0.05084745762711865,0.01694915254237288,10,1,-2,-0.03389830508474577,0,True
S_PROX,B_ASIS,125,24,12,0.192,0.096,28,9,0,0.0,0,False
S_PROX,B_MATCHED,125,17,7,0.136,0.056,28,5,-5,-0.04,-4,True
S_PROX,B_PROSE,125,8,2,0.064,0.016,28,0,-10,-0.08,-9,True
S_PROX,B_SCRIPT,125,8,3,0.064,0.024,28,3,-9,-0.07200000000000001,-6,True
S_WIDE,B_ASIS,2088,366,291,0.1752873563218391,0.13936781609195403,28,9,0,0.0,0,False
S_WIDE,B_MATCHED,2088,305,238,0.1460727969348659,0.11398467432950192,28,5,-53,-0.025383141762452113,-4,True
S_WIDE,B_PROSE,2088,124,82,0.05938697318007663,0.039272030651340994,28,0,-209,-0.10009578544061304,-9,True
S_WIDE,B_SCRIPT,2088,59,38,0.02825670498084291,0.018199233716475097,28,3,-253,-0.12116858237547894,-6,True
