panel,n,trigger,lag,arm,cost,ann_turnover,switches,days_out,episodes,dCAGR_pp,dDD_pp,dSharpe,ratio,numeraire,beats_numeraire,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_CAGR,IS_Sharpe,IS_MaxDD,pass4b,fail4b,pass4a,fail4a
U56,3,,,CONTROL,0,20.75049066008024,0.0,0.0,0.0,0.0,0.0,0.0,,1.0314592811557348,False,0.24404567056736215,1.1333629632691875,-0.25172317193258065,1.115915811469365,1.1557124027160632,0.2645744238075447,1.1486056692411641,-0.25172317193257976,0.21961584450705973,1.1195505979656741,-0.17165468268171813,False,DD,False,"H1,H2,DD"
U56,3,0.1,0.0,X0.10_k0,0,16.001131959388033,166.0,0.17774273485019149,83.0,-10.333933214787706,-10.825241006775144,-0.340961828062632,-1.0475431553287362,1.0314592811557348,False,0.1407063384194851,0.7924011352065555,-0.3599755820003321,0.6884181209107958,0.8898010827253894,0.17041610862513235,0.9056402035942458,-0.2485818022467856,0.10571404863974743,0.645831816676265,-0.3599755820003321,False,"H1,DD",False,"H1,H2,DD"
U56,3,0.1,1.0,X0.10_k1,0,16.001131959388033,166.0,0.17774273485019149,83.0,-10.333933214787706,-10.825241006775144,-0.340961828062632,-1.0475431553287362,1.0314592811557348,False,0.1407063384194851,0.7924011352065555,-0.3599755820003321,0.6884181209107958,0.8898010827253894,0.17041610862513235,0.9056402035942458,-0.2485818022467856,0.10571404863974743,0.645831816676265,-0.3599755820003321,False,"H1,DD",False,"H1,H2,DD"
U56,3,0.1,3.0,X0.10_k3,0,15.245764265446207,112.0,0.21018247353007435,56.0,-11.706235530952824,-8.813215467736457,-0.3938789639235043,-0.7528650388447385,1.0314592811557348,False,0.1269833152578339,0.7394839993456832,-0.3398553266099452,0.6158117159688639,0.8561635158065912,0.15987587863906372,0.8753204960379736,-0.209573063966212,0.08837293830898307,0.5645625141790644,-0.3398553266099452,False,"H1,OOS,DD",False,"H1,H2,DD"
U56,3,0.1,5.0,X0.10_k5,0,14.701218927054203,87.0,0.23383644965082226,44.0,-11.927431866459415,-12.158032358793736,-0.3964052256808238,-1.019333624783285,1.0314592811557348,False,0.124771351902768,0.7369577375883637,-0.373303495520518,0.6105147083101324,0.8549848518742772,0.15850066881809943,0.8744038251352289,-0.25709424551916116,0.08521279399677018,0.5574799650968613,-0.373303495520518,False,"H1,OOS,DD",False,"H1,H2,DD"
U56,3,0.1,10.0,X0.10_k10,0,13.774425697334236,65.0,0.27821581437260645,33.0,-10.409340427755609,-4.837217841314478,-0.3072144101132541,-0.46469974489607946,1.0314592811557348,False,0.13995226628980606,0.8261485531559334,-0.30009535034572543,0.7219869355220265,0.9236420373330175,0.16872285076241833,0.9374653049032097,-0.2183133174014995,0.10603669412796601,0.6806352765805114,-0.30009535034572543,False,"H1,DD",False,"H1,H2,DD"
U56,3,0.1,21.0,X0.10_k21,0,12.117835925632933,51.0,0.3498535706240144,26.0,-12.282372382630523,-5.651817708268059,-0.37749961630367035,-0.4601568436616319,1.0314592811557348,False,0.12122194674105691,0.7558633469655172,-0.30824134901526123,0.6036766442965078,0.899047668421622,0.15766372045393773,0.9155915264377251,-0.2082897957121318,0.07859710410330978,0.5466177909879908,-0.30824134901526123,False,"H1,DD",False,"H1,H2,DD"
U56,3,0.1,63.0,X0.10_k63,0,8.749064254080304,35.0,0.5381842757377788,18.0,-15.795242339267102,-2.8887239823823574,-0.48955937985695996,-0.18288570193069884,1.0314592811557348,False,0.08609324717469113,0.6438035834122275,-0.2806104117564042,0.5953229348499997,0.6899120349865382,0.10470203451815441,0.7298516848852343,-0.238744034160687,0.06396344691729339,0.5284537625210621,-0.26725022751786465,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,DD"
U56,3,0.15,0.0,X0.15_k0,0,19.344271181111747,78.0,0.05699481865284974,39.0,-4.801322389384333,-1.1626663299626472,-0.1604068373343711,-0.2421554387877158,1.0314592811557348,False,0.19603244667351882,0.9729561259348164,-0.2633498352322071,1.0550110851846444,0.9034657305529176,0.19005539898814683,0.9160575812541074,-0.263349835232207,0.20331542948147674,1.0524577111873687,-0.17176067823602836,False,DD,False,"H1,H2,DD"
U56,3,0.15,1.0,X0.15_k1,0,19.344271181111747,78.0,0.05699481865284974,39.0,-4.801322389384333,-1.1626663299626472,-0.1604068373343711,-0.2421554387877158,1.0314592811557348,False,0.19603244667351882,0.9729561259348164,-0.2633498352322071,1.0550110851846444,0.9034657305529176,0.19005539898814683,0.9160575812541074,-0.263349835232207,0.20331542948147674,1.0524577111873687,-0.17176067823602836,False,DD,False,"H1,H2,DD"
