claim_set,recovery,n,sig_at_1p96,resolved,resolved_and_sig_at_1p96,lost_at_honest_bar,verdict_ambiguous_band,share_ambiguous_of_sig
C_1212,R_TEXT200,210,126,18,10,0,27,0.21428571428571427
C_1212,R_TEXTWIDE,210,126,30,18,2,27,0.21428571428571427
C_1212,R_SCRIPT,210,126,86,62,0,27,0.21428571428571427
C_1212,R_SCRIPT_STRICT,210,126,4,1,0,27,0.21428571428571427
C_HEAD,R_TEXT200,210,126,18,10,0,27,0.21428571428571427
C_HEAD,R_TEXTWIDE,210,126,30,18,2,27,0.21428571428571427
C_HEAD,R_SCRIPT,210,126,86,62,0,27,0.21428571428571427
C_HEAD,R_SCRIPT_STRICT,210,126,4,1,0,27,0.21428571428571427
C_MEMO,R_TEXT200,358,191,30,15,2,44,0.23036649214659685
C_MEMO,R_TEXTWIDE,358,191,50,26,5,44,0.23036649214659685
C_MEMO,R_SCRIPT,358,191,109,71,0,44,0.23036649214659685
C_MEMO,R_SCRIPT_STRICT,358,191,5,1,0,44,0.23036649214659685
C_ALL,R_TEXT200,480,263,43,24,2,64,0.24334600760456274
C_ALL,R_TEXTWIDE,480,263,52,27,5,64,0.24334600760456274
C_ALL,R_SCRIPT,480,263,138,86,0,64,0.24334600760456274
C_ALL,R_SCRIPT_STRICT,480,263,5,1,0,64,0.24334600760456274
