statistic,share,n_core,core_ANY_exact,base_ANY_exact,lift_ANY_exact,core_DATA_exact,base_DATA_exact,lift_DATA_exact
NAMED,0.02,14,0.8153549718386313,0.7231835976733194,0.09217137416531185,0.07692307692307693,0.06588312692785336,0.011039949995223564
NAMED,0.05,34,0.7161654700063944,0.7231835976733194,-0.007018127666925,0.04875679875679875,0.06588312692785336,-0.01712632817105461
NAMED,0.1,69,0.699548821422547,0.7231835976733194,-0.02363477625077237,0.03236735588000325,0.06588312692785336,-0.03351577104785011
NAMED,0.2,135,0.6669105077785089,0.7231835976733194,-0.0562730898948105,0.025927085672951423,0.06588312692785336,-0.039956041254901944
NAMED,0.25,167,0.6743520716161145,0.7231835976733194,-0.048831526057204866,0.026090578496068707,0.06588312692785336,-0.03979254843178466
ECHOED,0.02,14,0.648681188972905,0.7231835976733194,-0.07450240870041436,0.001488095238095238,0.06588312692785336,-0.06439503168975813
ECHOED,0.05,34,0.5617539108445749,0.7231835976733194,-0.16142968682874448,0.021910919540229886,0.06588312692785336,-0.043972207387623474
ECHOED,0.1,68,0.5888478782035196,0.7231835976733194,-0.13433571946979983,0.015580297925595324,0.06588312692785336,-0.05030282900225804
ECHOED,0.2,133,0.589930719176024,0.7231835976733194,-0.1332528784972954,0.02547899593362084,0.06588312692785336,-0.040404130994232526
ECHOED,0.25,168,0.5925167056980312,0.7231835976733194,-0.13066689197528825,0.02316588188961441,0.06588312692785336,-0.042717245038238955
SUM,0.02,14,0.6224861483021058,0.7231835976733194,-0.10069744937121361,0.001488095238095238,0.06588312692785336,-0.06439503168975813
SUM,0.05,34,0.5645605236857898,0.7231835976733194,-0.15862307398752962,0.021910919540229886,0.06588312692785336,-0.043972207387623474
SUM,0.1,68,0.5836227867644195,0.7231835976733194,-0.13956081090889993,0.015580297925595324,0.06588312692785336,-0.05030282900225804
SUM,0.2,134,0.5906381000679257,0.7231835976733194,-0.1325454976053937,0.025288854172922176,0.06588312692785336,-0.04059427275493119
SUM,0.25,168,0.5892895470988009,0.7231835976733194,-0.13389405057451853,0.023272174406621216,0.06588312692785336,-0.04261095252123215
MAXLEG,0.02,14,0.648681188972905,0.7231835976733194,-0.07450240870041436,0.001488095238095238,0.06588312692785336,-0.06439503168975813
MAXLEG,0.05,34,0.5617539108445749,0.7231835976733194,-0.16142968682874448,0.021910919540229886,0.06588312692785336,-0.043972207387623474
MAXLEG,0.1,68,0.5888478782035196,0.7231835976733194,-0.13433571946979983,0.015580297925595324,0.06588312692785336,-0.05030282900225804
MAXLEG,0.2,133,0.589930719176024,0.7231835976733194,-0.1332528784972954,0.02547899593362084,0.06588312692785336,-0.040404130994232526
MAXLEG,0.25,168,0.5925167056980312,0.7231835976733194,-0.13066689197528825,0.02316588188961441,0.06588312692785336,-0.042717245038238955
CTRL,0.02,13,0.5618705259475552,0.7231835976733194,-0.16131307172576426,0.0,0.06588312692785336,-0.06588312692785336
CTRL,0.05,33,0.6558826536587588,0.7231835976733194,-0.06730094401456066,0.01197339246119734,0.06588312692785336,-0.05390973446665602
CTRL,0.1,67,0.6844442307176375,0.7231835976733194,-0.03873936695568192,0.03125474355234884,0.06588312692785336,-0.03462838337550452
CTRL,0.2,135,0.6886935239168118,0.7231835976733194,-0.03449007375650759,0.0317786174158058,0.06588312692785336,-0.03410450951204756
CTRL,0.25,170,0.6760417276189158,0.7231835976733194,-0.04714187005440362,0.030018644159444382,0.06588312692785336,-0.03586448276840898
