outcome,resid,m,bar_IS,holds,rate
Sharpe,none,2,2.81475825959586,1,0.5
Sharpe,none,3,2.513430666531457,2,0.6666666666666666
Sharpe,none,4,1.7037084580886137,3,0.75
Sharpe,none,6,1.6099113628070854,5,0.8333333333333334
Sharpe,none,8,1.5426616601111027,7,0.875
Sharpe,none,12,0.05068779893108384,11,0.9166666666666666
Sharpe,logx,2,3.9818206550282422,1,0.5
Sharpe,logx,3,3.330633524377421,1,0.3333333333333333
Sharpe,logx,4,3.2356615570669014,2,0.5
Sharpe,logx,6,2.473639492661914,4,0.6666666666666666
Sharpe,logx,8,1.8966625241205024,7,0.875
Sharpe,logx,12,0.17512537776696185,11,0.9166666666666666
CAGR,none,2,3.8180487459122077,2,1.0
CAGR,none,3,2.7150011046804114,3,1.0
CAGR,none,4,2.605062881971817,4,1.0
CAGR,none,6,1.6996060437953933,6,1.0
CAGR,none,8,1.2215532509800975,7,0.875
CAGR,none,12,0.03498799176664723,12,1.0
CAGR,logx,2,4.340007940100931,1,0.5
CAGR,logx,3,3.827047959956259,1,0.3333333333333333
CAGR,logx,4,3.615891680029425,2,0.5
CAGR,logx,6,2.776828738245199,4,0.6666666666666666
CAGR,logx,8,2.3829123678131254,5,0.625
CAGR,logx,12,0.0937369545869952,12,1.0
MaxDD,none,2,3.809499281975642,1,0.5
MaxDD,none,3,3.7941074098955987,1,0.3333333333333333
MaxDD,none,4,3.495418176076109,1,0.25
MaxDD,none,6,2.582551142240674,2,0.3333333333333333
MaxDD,none,8,2.0023181106370824,4,0.5
MaxDD,none,12,0.9979202845707947,7,0.5833333333333334
MaxDD,logx,2,2.8368777378451155,0,0.0
MaxDD,logx,3,2.1699140873328835,0,0.0
MaxDD,logx,4,2.0549172572536993,0,0.0
MaxDD,logx,6,0.6631949439630247,2,0.3333333333333333
MaxDD,logx,8,0.5175723482094711,4,0.5
MaxDD,logx,12,0.07194061464271023,7,0.5833333333333334
DDnorm,none,2,3.387541513413534,0,0.0
DDnorm,none,3,2.488036688402592,0,0.0
DDnorm,none,4,2.375686327825339,0,0.0
DDnorm,none,6,1.9280963753738714,0,0.0
DDnorm,none,8,0.7186482111356047,5,0.625
DDnorm,none,12,0.2261452040759165,7,0.5833333333333334
DDnorm,logx,2,2.782097196619205,0,0.0
DDnorm,logx,3,2.0801012136449493,0,0.0
DDnorm,logx,4,2.0388630881928123,0,0.0
DDnorm,logx,6,0.7108875077478457,2,0.3333333333333333
DDnorm,logx,8,0.5338185662463246,4,0.5
DDnorm,logx,12,0.02428612242187217,5,0.4166666666666667
CAGRnorm,none,2,2.7996915061391134,1,0.5
CAGRnorm,none,3,2.5036999175436265,2,0.6666666666666666
CAGRnorm,none,4,1.707072542184863,3,0.75
CAGRnorm,none,6,1.5869788664473519,5,0.8333333333333334
CAGRnorm,none,8,1.5133220036696498,7,0.875
CAGRnorm,none,12,0.07545520223471214,11,0.9166666666666666
CAGRnorm,logx,2,3.979532268086376,1,0.5
CAGRnorm,logx,3,3.389390334882671,1,0.3333333333333333
CAGRnorm,logx,4,3.2246555318015786,2,0.5
CAGRnorm,logx,6,2.462230372602901,4,0.6666666666666666
CAGRnorm,logx,8,1.8726352348044193,7,0.875
CAGRnorm,logx,12,0.18850703733031263,11,0.9166666666666666
