panel,ladder,stat,rung_i,rung_j,gap,agree,resolved
U56,N,S_FULL,5,8,-0.06839258341285026,0.802,False
U56,N,S_FULL,5,10,-0.12657307875316115,0.897,False
U56,N,S_FULL,5,12,-0.18322104889544333,0.929,True
U56,N,S_FULL,5,15,-0.1761523806496179,0.902,True
U56,N,S_FULL,5,20,-0.1537365394298984,0.845,False
U56,N,S_FULL,5,25,-0.1425488726446289,0.807,False
U56,N,S_FULL,5,30,-0.11479342167580242,0.765,False
U56,N,S_FULL,5,40,-0.14079685592405156,0.782,False
U56,N,S_FULL,8,10,-0.05818049534031089,0.833,False
U56,N,S_FULL,8,12,-0.11482846548259307,0.918,True
U56,N,S_FULL,8,15,-0.10775979723676765,0.864,False
U56,N,S_FULL,8,20,-0.08534395601704814,0.783,False
U56,N,S_FULL,8,25,-0.07415628923177864,0.727,False
U56,N,S_FULL,8,30,-0.04640083826295216,0.665,False
U56,N,S_FULL,8,40,-0.0724042725112013,0.718,False
U56,N,S_FULL,10,12,-0.05664797014228218,0.833,False
U56,N,S_FULL,10,15,-0.04957930189645676,0.746,False
U56,N,S_FULL,10,20,-0.02716346067673725,0.642,False
U56,N,S_FULL,10,25,-0.01597579389146775,0.605,False
U56,N,S_FULL,10,30,0.01177965707735873,0.487,False
U56,N,S_FULL,10,40,-0.014223777170890406,0.608,False
U56,N,S_FULL,12,15,0.007068668245825416,0.542,False
U56,N,S_FULL,12,20,0.029484509465544928,0.655,False
U56,N,S_FULL,12,25,0.04067217625081443,0.674,False
U56,N,S_FULL,12,30,0.06842762721964091,0.767,False
U56,N,S_FULL,12,40,0.04242419297139177,0.625,False
U56,N,S_FULL,15,20,0.022415841219719512,0.674,False
U56,N,S_FULL,15,25,0.03360350800498901,0.695,False
U56,N,S_FULL,15,30,0.06135895897381549,0.806,False
U56,N,S_FULL,15,40,0.035355524725566356,0.641,False
U56,N,S_FULL,20,25,0.011187666785269501,0.594,False
U56,N,S_FULL,20,30,0.03894311775409598,0.776,False
U56,N,S_FULL,20,40,0.012939683505846844,0.54,False
U56,N,S_FULL,25,30,0.02775545096882648,0.795,False
U56,N,S_FULL,25,40,0.001752016720577343,0.477,False
U56,N,S_FULL,30,40,-0.026003434248249135,0.77,False
U56,N,S_OOS,5,8,-0.17947251383406015,0.939,True
U56,N,S_OOS,5,10,-0.19514670531711376,0.913,True
U56,N,S_OOS,5,12,-0.27556027866714705,0.945,True
U56,N,S_OOS,5,15,-0.2902903436047862,0.943,True
U56,N,S_OOS,5,20,-0.26405478158276907,0.89,False
U56,N,S_OOS,5,25,-0.25765236817958603,0.871,False
U56,N,S_OOS,5,30,-0.232665797477971,0.859,False
U56,N,S_OOS,5,40,-0.19806938655296114,0.806,False
U56,N,S_OOS,8,10,-0.0156741914830536,0.607,False
U56,N,S_OOS,8,12,-0.0960877648330869,0.81,False
U56,N,S_OOS,8,15,-0.11081782977072607,0.818,False
U56,N,S_OOS,8,20,-0.08458226774870892,0.714,False
U56,N,S_OOS,8,25,-0.07817985434552588,0.691,False
U56,N,S_OOS,8,30,-0.05319328364391085,0.645,False
U56,N,S_OOS,8,40,-0.01859687271890098,0.577,False
U56,N,S_OOS,10,12,-0.0804135733500333,0.821,False
U56,N,S_OOS,10,15,-0.09514363828767247,0.82,False
