scope,screen,path,n,U_pass,S_pass,screen_gains,screen_loses,net
POOLED-DISTINCT,S1,4a(v2),600,31,32,5,4,1
POOLED-DISTINCT,S1,4b(full),600,86,129,46,3,43
POOLED-DISTINCT,S1,4b(OOS),576,94,131,41,4,37
POOLED-DISTINCT,S2,4a(v2),216,15,15,0,0,0
POOLED-DISTINCT,S2,4b(full),216,21,25,4,0,4
FILE 132,S1,4a(v2),72,24,24,2,2,0
FILE 132,S1,4b(full),72,6,13,7,0,7
FILE 132,S2,4a(v2),72,24,26,2,0,2
FILE 132,S2,4b(full),72,6,9,3,0,3
FILE 142,S1,4a(v2),192,3,7,4,0,4
FILE 142,S1,4b(full),192,21,38,18,1,17
FILE 142,S2,4a(v2),192,3,3,0,0,0
FILE 142,S2,4b(full),192,21,24,3,0,3
FILE 151,S1,4a(v2),288,10,12,4,2,2
FILE 151,S1,4b(full),288,46,65,21,2,19
FILE 151,S1,4b(OOS),288,52,68,19,3,16
FILE 416,S1,4a(v2),288,9,8,1,2,-1
FILE 416,S1,4b(full),288,40,63,24,1,23
FILE 416,S1,4b(OOS),288,42,63,22,1,21
