comparand,pool_def,n_claims,n_stems,n_pool_negative,share_pool_negative,n_sel_negative,n_both_negative,mean_pool_dOOS,mean_sel_dOOS,mean_lift,t_lift,median_n_pool
CONTROL,ALL,6656,83,2467,0.37064302884615385,1331,1158,0.2345863426181879,0.27944654932595164,0.04486020670776378,30.35413627800787,9.0
CONTROL,LIVE,6653,83,2467,0.37081016082970086,1329,1156,0.2359816951891043,0.27961436599876716,0.04363267080966285,29.314776943539886,9.0
SPY,ALL,8328,90,2517,0.3022334293948127,2186,1927,0.049673386864393806,0.08628727613858066,0.03661388927418685,28.34646893209415,11.0
SPY,LIVE,7993,90,2516,0.31477542849993745,2169,1926,0.04649121385287394,0.08296830171370492,0.03647708786083098,27.261785669805175,9.0
