corpus,stat_kind,window,n,null_mean,absmax_is_neg
O,MaxDD,F,180,-0.005350449991008413,0.48333333333333334
O,Sharpe,F,180,-0.033359301281049455,0.6277777777777778
O,Sharpe,IS,178,-0.024258562712383074,0.5112359550561798
S,MaxDD,F,96,0.034411217615548766,0.0
S,Sharpe,F,96,-0.046400161411876174,0.8645833333333334
T,Sharpe,F,180,-0.041533174265224314,0.8333333333333334
T,Sharpe,IS,180,-0.06809656085188129,1.0
