grid,basis,legal,floor,n_slots,n_empty,n_picks,OOS_4b,OOS_4a,med_OOS_Sharpe,med_OOS_CAGR,med_OOS_MaxDD,med_FULL_Sharpe,med_FULL_MaxDD,ext_share
MQ60,S_IS4B,True,0.0,18,0,18,0,0,0.8312,0.1181,-0.3414,1.0132,-0.3414,0.6667
MQ60,S_IS4B,True,0.1,18,6,12,0,0,1.0166,0.1362,-0.2383,1.0847,-0.2383,0.0
MQ60,S_IS4B,True,0.25,18,6,12,0,0,1.0166,0.1353,-0.2383,1.0847,-0.2383,0.0
MQ60,S_IS4B,True,0.4,18,6,12,3,0,1.059,0.1128,-0.2135,1.0814,-0.2135,0.4167
MQ60,S_IS4B,True,0.5,18,6,12,3,0,1.059,0.1128,-0.2135,1.0814,-0.2135,0.4167
MQ60,S_IS4B,True,0.75,18,12,6,0,0,1.0274,0.11,-0.2247,1.0601,-0.2247,0.5
MQ60,S_IS4B,True,0.9,18,18,0,0,0,,,,,,
MQ60,S_ISLEG4,True,0.0,18,0,18,0,0,0.8312,0.1181,-0.3414,1.0132,-0.3414,0.6667
MQ60,S_ISLEG4,True,0.1,18,0,18,0,0,0.8312,0.1181,-0.3414,1.0132,-0.3414,0.6667
MQ60,S_ISLEG4,True,0.25,18,0,18,0,0,0.8312,0.1181,-0.3414,1.0132,-0.3414,0.6667
MQ60,S_ISLEG4,True,0.4,18,0,18,0,0,0.8312,0.1181,-0.3414,1.0132,-0.3414,0.6667
MQ60,S_ISLEG4,True,0.5,18,0,18,0,0,0.8312,0.1181,-0.3414,1.0132,-0.3414,0.5
MQ60,S_ISLEG4,True,0.75,18,0,18,1,0,0.7123,0.1181,-0.2989,0.9339,-0.2989,0.5556
MQ60,S_ISLEG4,True,0.9,18,9,9,1,0,0.9695,0.2045,-0.3461,1.0828,-0.3461,0.7778
MQ60,S_FULL4B,False,0.0,18,0,18,0,0,0.8312,0.1181,-0.3414,1.0132,-0.3414,0.6667
MQ60,S_FULL4B,False,0.1,18,6,12,0,0,1.0328,0.1128,-0.2271,1.0751,-0.2271,0.5
MQ60,S_FULL4B,False,0.25,18,9,9,3,0,1.0852,0.1152,-0.205,1.0877,-0.205,0.6667
MQ60,S_FULL4B,False,0.4,18,12,6,3,0,1.1287,0.1216,-0.2051,1.1241,-0.2051,0.5
MQ60,S_FULL4B,False,0.5,18,15,3,3,0,1.2152,0.1297,-0.1701,1.1382,-0.1701,0.0
MQ60,S_FULL4B,False,0.75,18,15,3,3,0,1.2152,0.1297,-0.1701,1.1382,-0.1701,0.0
MQ60,S_FULL4B,False,0.9,18,18,0,0,0,,,,,,
DW60,S_IS4B,True,0.0,18,0,18,4,0,0.9361,0.1052,-0.1616,0.9163,-0.1616,0.8889
DW60,S_IS4B,True,0.1,18,12,6,0,0,1.1041,0.1382,-0.2088,1.0449,-0.2088,0.8333
DW60,S_IS4B,True,0.25,18,15,3,0,0,1.105,0.1052,-0.1616,1.0993,-0.1616,0.6667
DW60,S_IS4B,True,0.4,18,15,3,0,0,1.105,0.1052,-0.1616,1.0993,-0.1616,0.6667
