panel,form,bps,cls,H_pp,D1,D2,max_dDD,overlay,ratio,viol
B136,EWALL,0,CADENCE,10.045107922315655,25.357542583688474,15.31243466137282,0.8971165490837762,CADENCE_Q,0.089308801460539,False
B136,EWALL,0,GLOBAL,10.045107922315655,25.357542583688474,15.31243466137282,14.043896850764659,VOLTGT_t0.08,1.3980832221389594,True
B136,EWALL,0,SELECTIVE,10.045107922315655,25.357542583688474,15.31243466137282,8.062510138025969,HIVOL80_c0.50,0.8026305143138127,False
B136,EWALL,10,CADENCE,10.043348318315271,25.37106610635025,15.327717788034978,0.9106400717455942,CADENCE_Q,0.09067096379450776,False
B136,EWALL,10,GLOBAL,10.043348318315271,25.37106610635025,15.327717788034978,14.016008336498897,VOLTGT_t0.08,1.3955513532214148,True
B136,EWALL,10,SELECTIVE,10.043348318315271,25.37106610635025,15.327717788034978,8.039183869955801,DDCTRL_T0.05,0.8004485770243942,False
B136,EWALL,25,CADENCE,10.040709501590984,25.391347869315684,15.3506383677247,0.9309218347110404,CADENCE_Q,0.09271474635966041,False
B136,EWALL,25,GLOBAL,10.040709501590984,25.391347869315684,15.3506383677247,13.974195400665124,VOLTGT_t0.08,1.3917537797952293,True
B136,EWALL,25,SELECTIVE,10.040709501590984,25.391347869315684,15.3506383677247,8.004202511100967,HIVOL80_c0.50,0.7971749914518167,False
B136,MAEW,0,CADENCE,4.360782980398681,12.565637442446864,8.204854462048184,0.3261932128080347,CADENCE_M,0.0748015240093908,False
B136,MAEW,0,GLOBAL,4.360782980398681,12.565637442446864,8.204854462048184,5.7578496461679896,GROSS_g0.40,1.320370601345904,True
B136,MAEW,0,SELECTIVE,4.360782980398681,12.565637442446864,8.204854462048184,4.144259825884811,HIVOL80_c0.50,0.9503476427313349,False
B136,MAEW,10,CADENCE,3.9640134800516424,12.616421510282382,8.65240803023074,0.3435602714826569,CADENCE_M,0.08666980402856275,False
B136,MAEW,10,GLOBAL,3.9640134800516424,12.616421510282382,8.65240803023074,5.780205442403807,GROSS_g0.40,1.4581699763363327,True
B136,MAEW,10,SELECTIVE,3.9640134800516424,12.616421510282382,8.65240803023074,3.78171106139078,HIVOL80_c0.50,0.9540106461347131,False
B136,MAEW,25,CADENCE,3.3728434406130825,12.692572597072417,9.319729156459333,0.3695858445314171,CADENCE_M,0.10957693442902211,False
B136,MAEW,25,GLOBAL,3.3728434406130825,12.692572597072417,9.319729156459333,5.8137215112044505,GROSS_g0.40,1.7236855530263477,True
B136,MAEW,25,SELECTIVE,3.3728434406130825,12.692572597072417,9.319729156459333,3.2412285598736434,HIVOL80_c0.50,0.9609780640409697,False
B136,RULESV2,0,CADENCE,3.212698835479011,12.211398589281552,8.99869975380254,-3.454220278062048,CADENCE_M,-1.0751771189741868,False
B136,RULESV2,0,GLOBAL,3.212698835479011,12.211398589281552,8.99869975380254,5.608665624196341,GROSS_g0.40,1.745780078187781,True
B136,RULESV2,0,SELECTIVE,3.212698835479011,12.211398589281552,8.99869975380254,3.324523480671071,HIVOL80_c0.50,1.0348070737154507,True
