panel,T_trade,chooser,pick,bar,pad,mode,n_days,oCAGR,oSharpe,oMaxDD,spy_oCAGR,spy_oSharpe,spy_oMaxDD,live_oSharpe,live_oMaxDD,mo_SHARPE,mo_CAGR,mo_DD,k4b_oos,k4b_full,k4a_oos,k4a_full,binding
U56,M,C_ISSHARPE,"t=0.16,R=M",0.05,0,NONE,0,0.16460058030960023,1.201821197210332,-0.2424267774427421,0.1525745335844091,0.8736611364726746,-0.33717289200673783,1.276620821629499,-0.12054956914840886,0.32816006073765747,0.057798406800513874,-0.04012304223869942,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.05,0,ALL,476,0.44068082588464486,3.329761010657076,-0.08301907547097498,0.5010467037258874,2.838993404885048,-0.09974326259884969,3.0601105061970713,-0.052201988090834206,0.49076760577202805,0.08994813327652368,-0.023173117911665167,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.05,5,NONE,0,0.16460058030960023,1.201821197210332,-0.2424267774427421,0.1525745335844091,0.8736611364726746,-0.33717289200673783,1.276620821629499,-0.12054956914840886,0.32816006073765747,0.057798406800513874,-0.04012304223869942,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.05,5,ALL,606,0.3460836520608048,2.8859796056850984,-0.08301907547097542,0.3745532574507424,2.440339207019179,-0.09974326259885002,2.583725936667832,-0.05220198809083465,0.4456403986659194,0.08389637184528514,-0.02317311791166541,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.05,10,NONE,0,0.16460058030960023,1.201821197210332,-0.2424267774427421,0.1525745335844091,0.8736611364726746,-0.33717289200673783,1.276620821629499,-0.12054956914840886,0.32816006073765747,0.057798406800513874,-0.04012304223869942,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.05,10,ALL,736,0.3115764381932855,2.666193648271077,-0.08301907547097598,0.32894993072640566,2.2851797723578002,-0.09974326259884969,2.383187510971669,-0.05220198809083443,0.38101387591327684,0.08131148668480156,-0.023173117911666166,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.05,20,NONE,0,0.16460058030960023,1.201821197210332,-0.2424267774427421,0.1525745335844091,0.8736611364726746,-0.33717289200673783,1.276620821629499,-0.12054956914840886,0.32816006073765747,0.057798406800513874,-0.04012304223869942,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.05,20,ALL,994,0.31342610391462755,2.6780234875952025,-0.08301907547097642,0.32600700341226796,2.301182423337623,-0.09974326259884947,2.3373666749382997,-0.05220198809083443,0.37684106425757946,0.08522120152603999,-0.023173117911666742,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.1,0,NONE,0,0.16460058030960023,1.201821197210332,-0.2424267774427421,0.1525745335844091,0.8736611364726746,-0.33717289200673783,1.276620821629499,-0.12054956914840886,0.32816006073765747,0.057798406800513874,-0.04012304223869942,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.1,0,ALL,326,0.3294574515164008,2.5276928687731974,-0.0830190754709752,0.3626367996203883,2.1472426161587888,-0.09974326259884925,2.205787780868936,-0.05490655205587902,0.3804502526144087,0.07561169178212901,-0.023173117911665653,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.1,5,NONE,0,0.16460058030960023,1.201821197210332,-0.2424267774427421,0.1525745335844091,0.8736611364726746,-0.33717289200673783,1.276620821629499,-0.12054956914840886,0.32816006073765747,0.057798406800513874,-0.04012304223869942,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.1,5,ALL,376,0.28643956198821896,2.3508079122320544,-0.08301907547097587,0.2995518790764726,1.9753662126309668,-0.09974326259884991,2.0658223032802256,-0.05490655205587902,0.37544169960108764,0.07675324663468813,-0.023173117911665923,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.1,10,NONE,0,0.16460058030960023,1.201821197210332,-0.2424267774427421,0.1525745335844091,0.8736611364726746,-0.33717289200673783,1.276620821629499,-0.12054956914840886,0.32816006073765747,0.057798406800513874,-0.04012304223869942,False,False,False,False,L4_DD
U56,M,C_ISSHARPE,"t=0.16,R=M",0.1,10,ALL,426,0.2740046625208916,2.2729490620000257,-0.08301907547097553,0.2809592412820998,1.9316318261304346,-0.09974326259884958,2.0003044324682033,-0.05490655205587924,0.34131723586959106,0.07733319362342175,-0.02317311791166579,False,False,False,False,L4_DD
