family,phase_spread_6W,phase_spread_2M,phase_spread_8W,phase_spread_Q,zone_cadence_spread,gap_6W_minus_W
ALL,0.15175203992665232,0.2129800981727995,0.1498734690713559,0.0,0.21984248242308002,0.09992513755376652
SMALL,0.26183580541529755,0.2344356739167438,0.16044137763993255,0.0,0.22585814328514603,0.01631496689265622
U56,0.39574856057215557,0.21607890033023325,0.23094469416901653,0.0,0.3107855513128346,0.16399889114265231
ETF,0.38623800307710165,0.17802301688041733,0.29976882394422955,0.0,0.28594693796561266,0.15999981918895356
