selector,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,dOOS,t,W,L,T,mean_n,dOOS_LARGE,dOOS_SMALL,OOS4b,p4a,p4b
S0 do-nothing (IS-Sharpe argmax),0.6823414319063231,0.1405446712926185,-0.29090433884421457,0.0,,0,0,6,10.833333333333334,0.0,0.0,0,1,0
FLOOR n>=5,0.7443364952590376,0.13457054917010136,-0.24253499312804563,0.061995063352714506,2.1559918888449143,3,0,3,12.666666666666666,0.09299259502907176,0.0,0,1,0
FLOOR n>=10,0.7947691477064499,0.1261234433984846,-0.22964657218295978,0.11242771580012689,2.9324250615553233,4,0,2,16.666666666666668,0.16864157370019034,0.0,2,1,2
FLOOR n>=15,0.7856823259482736,0.10577513058059825,-0.2151747411751641,0.10334089404195052,3.030602948515571,5,0,1,25.0,0.1316830741625822,0.04665653380068713,3,2,3
FLOOR n>=20,0.7955044395837106,0.10277105038231009,-0.2142370846870906,0.11316300767738764,2.8874875180597006,5,0,1,26.666666666666668,0.1464162446157379,0.04665653380068713,3,2,2
FLOOR n>=25,0.8480281342805531,0.10441082859196209,-0.20886786004401467,0.1656867023742301,3.073881030049187,5,0,1,30.0,0.2252017866610016,0.04665653380068713,3,2,2
FLOOR n>=30,0.8328291286516175,0.08451423847434536,-0.19307398172730936,0.15048769674529444,1.6660430130834372,4,1,1,40.0,0.2024032782175981,0.04665653380068713,1,3,1
BIGGEST BOOK (no fitting),0.8798281541517646,0.08825944505248189,-0.18877538374880057,0.19748672224544164,2.3654910391584925,5,1,0,53.333333333333336,0.2992246676864122,-0.005989168636499426,2,4,1
ORACLE-OOS (ceiling),0.9377541268167183,0.10522513188939638,-0.20480431689562936,0.25541269491039525,3.9340499019056674,6,0,0,40.0,0.310488794835745,0.14526049505969585,2,5,1
