date,idea,CAGR,Sharpe,MaxDD,H1,H2,verdict,script,tup,k,in_dup_cluster
2026-09-03,dual-momentum-classes K=1 monthly,8.7%,0.54,-33.8%,0.36,0.69,KILL,2026-09-03_dual-momentum-classes.py,8.7%|0.54|-33.8%|0.36|0.69,1,False
2026-09-03,dual-momentum-classes K=1 weekly,5.7%,0.40,-36.1%,0.13,0.61,KILL,2026-09-03_dual-momentum-classes.py,5.7%|0.40|-36.1%|0.13|0.61,1,False
2026-09-03,dual-momentum-classes K=2 monthly,7.1%,0.57,-24.1%,0.39,0.72,KILL,2026-09-03_dual-momentum-classes.py,7.1%|0.57|-24.1%|0.39|0.72,1,False
2026-09-03,dual-momentum-classes K=2 weekly,6.9%,0.56,-25.7%,0.29,0.80,KILL,2026-09-03_dual-momentum-classes.py,6.9%|0.56|-25.7%|0.29|0.80,1,False
2026-09-03,inv-vol 75% gross,5.0%,0.57,-14.4%,0.60,0.54,KILL,research/backtests/2026-09-03_inverse-vol-weights.py,5.0%|0.57|-14.4%|0.60|0.54,1,False
2026-09-03,inv-vol 100% gross,6.5%,0.57,-19.1%,0.60,0.54,KILL,research/backtests/2026-09-03_inverse-vol-weights.py,6.5%|0.57|-19.1%|0.60|0.54,1,False
2026-09-03,equal-weight 100% gross (diagnostic),8.5%,0.67,-18.2%,0.65,0.69,KILL,research/backtests/2026-09-03_inverse-vol-weights.py,8.5%|0.67|-18.2%|0.65|0.69,1,False
2026-09-03,vol-target 10%,5.8%,0.59,-14.9%,0.59,0.58,KILL,research/backtests/2026-09-03_vol-target.py,5.8%|0.59|-14.9%|0.59|0.58,1,False
2026-09-03,vol-target 14%,6.9%,0.60,-15.3%,0.60,0.61,KILL,research/backtests/2026-09-03_vol-target.py,6.9%|0.60|-15.3%|0.60|0.61,1,False
2026-09-03,"broad-top10 100% gross (N=10,w=10%)",8.6%,0.67,-22.1%,0.86,0.51,KILL,research/backtests/2026-09-03_broad-momentum-top10.py,8.6%|0.67|-22.1%|0.86|0.51,1,False
2026-09-03,"broad-top20 100% gross (N=20,w=5%)",11.5%,0.86,-22.9%,1.09,0.66,KILL,research/backtests/2026-09-03_broad-momentum-top10.py,11.5%|0.86|-22.9%|1.09|0.66,1,False
2026-09-03,"broad-top10 75% gross (N=10,w=7.5%)",6.6%,0.67,-16.8%,0.86,0.51,KILL,research/backtests/2026-09-03_broad-momentum-top10.py,6.6%|0.67|-16.8%|0.86|0.51,1,False
2026-09-03,"RULES v1 LIVE (standard universe) — reference, not a new idea",6.4%,0.66,-13.8%,0.65,0.68,—,research/backtests/2026-09-03_broad-momentum-top10.py,6.4%|0.66|-13.8%|0.65|0.68,1,False
2026-09-03,macro-trend-ensemble A (MA votes),4.7%,0.83,-9.2%,0.69,0.98,KEEP-candidate,research/backtests/2026-09-03_macro-trend-ensemble.py,4.7%|0.83|-9.2%|0.69|0.98,1,False
