rule,family,basis,k,panel,anchor,ladder,chooser,chosen_rung,moved,book_id,d_obs,P_pick,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,CAGR,Sharpe,MaxDD,H1,H2,pass_4b_full,pass_4b_oos,pass_4a,L_H1,L_H2,L_OOS,L_DD,L_CAGR,O_S,O_DD,O_CAGR,A_H1,A_H2,A_DD
R_RAW,R_RAW,,,U56,A,N,CH_ISSHARPE,40,True,U56|40|126|0.75|W,0.06429427484374095,0.429,0.13939367595266128,1.0944875184055334,-0.22984197733835132,0.13426425475231962,1.1244963158326498,-0.22984197733835132,1.2712686055155562,1.0215963776402637,False,False,False,True,True,True,False,True,True,False,True,True,False,False
R_RAW,R_RAW,,,U56,A,N,CH_ISCAGR,5,True,U56|5|126|0.75|W,0.04853249784692304,0.814,0.17000779023074863,0.8977370957234518,-0.2585359705801554,0.17793757695658097,0.9844672527247917,-0.258535970580156,1.1944183705410534,0.8264057018183052,False,False,False,True,True,True,False,True,True,False,True,False,False,False
R_RAW,R_RAW,,,U56,A,N,CH_ISDD,40,True,U56|40|126|0.75|W,0.013708522069097118,0.945,0.13939367595266128,1.0944875184055334,-0.22984197733835132,0.13426425475231962,1.1244963158326498,-0.22984197733835132,1.2712686055155562,1.0215963776402637,False,False,False,True,True,True,False,True,True,False,True,True,False,False
R_RAW,R_RAW,,,U56,A,H,CH_ISSHARPE,252,True,U56|20|252|0.75|W,0.01960239530172747,0.424,0.1724794135310166,1.1896697256659177,-0.21843530966689817,0.1585163052982983,1.1627959847072171,-0.21843530966689795,1.2243355806755367,1.1224495543838249,False,False,False,True,True,True,False,True,True,False,True,False,False,False
R_RAW,R_RAW,,,U56,A,H,CH_ISCAGR,252,True,U56|20|252|0.75|W,0.0026572189032110227,0.527,0.1724794135310166,1.1896697256659177,-0.21843530966689817,0.1585163052982983,1.1627959847072171,-0.21843530966689795,1.2243355806755367,1.1224495543838249,False,False,False,True,True,True,False,True,True,False,True,False,False,False
R_RAW,R_RAW,,,U56,A,H,CH_ISDD,21,True,U56|20|21|0.75|W,0.02126378692933828,0.523,0.15308885804711703,1.1116898505481745,-0.2024163164242747,0.1431010106865842,1.1123012095249802,-0.2024163164242747,1.2103411620619398,1.0437602469829863,False,False,False,True,True,True,False,True,True,False,True,False,False,False
R_RAW,R_RAW,,,U56,A,GROSS,CH_ISSHARPE,0.75,False,U56|20|126|0.75|W,0.0,0.767,0.16919746270303992,1.1615297831443132,-0.19127561830465012,0.1555201865472391,1.1380787773059988,-0.19127561830465034,1.2049090144051569,1.0931595911075942,True,True,False,True,True,True,True,True,True,True,True,False,False,False
R_RAW,R_RAW,,,U56,A,GROSS,CH_ISCAGR,0.75,False,U56|20|126|0.75|W,0.0,1.0,0.16919746270303992,1.1615297831443132,-0.19127561830465012,0.1555201865472391,1.1380787773059988,-0.19127561830465034,1.2049090144051569,1.0931595911075942,True,True,False,True,True,True,True,True,True,True,True,False,False,False
R_RAW,R_RAW,,,U56,A,GROSS,CH_ISDD,0.3,True,U56|20|126|0.3|W,0.08268921188358824,1.0,0.06692878140314584,1.1594224522798233,-0.07990335554891137,0.06167183543315402,1.1362956420701376,-0.07990335554891148,1.2032865443333627,1.0910660690418807,False,False,False,True,True,True,True,False,True,True,False,False,False,True
R_RAW,R_RAW,,,U56,A,CADENCE,CH_ISSHARPE,W,False,U56|20|126|0.75|W,0.0,0.274,0.16919746270303992,1.1615297831443132,-0.19127561830465012,0.1555201865472391,1.1380787773059988,-0.19127561830465034,1.2049090144051569,1.0931595911075942,True,True,False,True,True,True,True,True,True,True,True,False,False,False
R_RAW,R_RAW,,,U56,A,CADENCE,CH_ISCAGR,W,False,U56|20|126|0.75|W,0.0,0.487,0.16919746270303992,1.1615297831443132,-0.19127561830465012,0.1555201865472391,1.1380787773059988,-0.19127561830465034,1.2049090144051569,1.0931595911075942,True,True,False,True,True,True,True,True,True,True,True,False,False,False
R_RAW,R_RAW,,,U56,A,CADENCE,CH_ISDD,D,True,U56|20|126|0.75|D,0.008624895286908463,0.343,0.1713543452439681,1.1185146651720415,-0.2313086816428257,0.15384239439499425,1.0956626765611153,-0.2313086816428257,1.204364881041773,1.02854241861233,False,False,False,True,True,True,False,True,True,False,True,False,False,False
R_RAW,R_RAW,,,U56,B,N,CH_ISSHARPE,10,True,U56|10|63|0.55|M,0.021793267339959677,0.232,0.1151100534071634,0.9372362967498234,-0.20827787870875036,0.11630267510595682,1.0071549499336399,-0.20827787870875092,1.2126732224813364,0.8521135987237367,False,False,False,True,True,True,False,True,True,False,True,False,False,False
R_RAW,R_RAW,,,U56,B,N,CH_ISCAGR,5,True,U56|5|63|0.55|M,0.017230977775307688,0.648,0.09434897018741428,0.6927493035941676,-0.20393816867154357,0.10831821808805508,0.8313156079616788,-0.20393816867154357,1.0592737117986475,0.6589701057124336,False,False,False,True,False,False,False,True,False,False,False,False,False,False
R_RAW,R_RAW,,,U56,B,N,CH_ISDD,40,True,U56|40|63|0.55|M,0.023671105855259778,0.883,0.09563926182570892,1.0786869000139714,-0.17462640915231398,0.09110367846819578,1.088265394566585,-0.17462640915231398,1.2065313993900337,1.0019520775254194,False,False,False,True,True,True,True,False,True,True,False,False,False,False
R_RAW,R_RAW,,,U56,B,H,CH_ISSHARPE,252,True,U56|12|252|0.55|M,0.05596202044610954,0.417,0.12929221537784064,1.0596524319208094,-0.15415326784782302,0.12077234045859919,1.0876198903854413,-0.15415326784782302,1.212698706377919,1.0155200570763774,True,True,False,True,True,True,True,True,True,True,True,False,False,False
R_RAW,R_RAW,,,U56,B,H,CH_ISCAGR,126,True,U56|12|126|0.55|M,0.0023437622883817344,0.259,0.13029328186580602,1.0709918801306593,-0.190918697961048,0.12138209734744776,1.08775854856201,-0.19091869796104788,1.2369141413881295,0.9906858301051152,True,True,False,True,True,True,True,True,True,True,True,True,False,False
R_RAW,R_RAW,,,U56,B,H,CH_ISDD,21,True,U56|12|21|0.55|M,0.00011979770466619133,0.277,0.12480020835491068,1.0669040115869242,-0.2095672362246146,0.11787892066609018,1.0823286527266982,-0.2095672362246146,1.1622061352774955,1.0295076142745314,False,False,False,True,True,True,False,True,True,False,True,False,False,False
R_RAW,R_RAW,,,U56,B,GROSS,CH_ISSHARPE,0.75,True,U56|12|63|0.75|M,0.003703628895730615,0.995,0.16152955123040114,1.0196234929138004,-0.2558487252812124,0.15567193938433932,1.048578607780998,-0.25584872528121205,1.2037998080550691,0.9346877974591511,False,False,False,True,True,True,False,True,True,False,True,False,False,False
R_RAW,R_RAW,,,U56,B,GROSS,CH_ISCAGR,0.75,True,U56|12|63|0.75|M,0.040289683081074834,1.0,0.16152955123040114,1.0196234929138004,-0.2558487252812124,0.15567193938433932,1.048578607780998,-0.25584872528121205,1.2037998080550691,0.9346877974591511,False,False,False,True,True,True,False,True,True,False,True,False,False,False
R_RAW,R_RAW,,,U56,B,GROSS,CH_ISDD,0.3,True,U56|12|63|0.3|M,0.048211162396897045,1.0,0.06399178992588794,1.01204045754415,-0.10860546519191183,0.06154850778183252,1.0409078986856006,-0.10860546519191194,1.1950230575377923,0.9266315475426389,False,False,False,True,True,True,True,False,True,True,False,False,False,True
R_RAW,R_RAW,,,U56,B,CADENCE,CH_ISSHARPE,W,True,U56|12|63|0.55|W,0.09387455674674627,0.689,0.13701072393881653,1.1135145219733562,-0.20337487191020165,0.12890859120795883,1.1378170932224607,-0.20337487191020176,1.2455820369438084,1.0705773019019158,False,False,False,True,True,True,False,True,True,False,True,True,False,False
R_RAW,R_RAW,,,U56,B,CADENCE,CH_ISCAGR,W,True,U56|12|63|0.55|W,0.010836613595315514,0.714,0.13701072393881653,1.1135145219733562,-0.20337487191020165,0.12890859120795883,1.1378170932224607,-0.20337487191020176,1.2455820369438084,1.0705773019019158,False,False,False,True,True,True,False,True,True,False,True,True,False,False
R_RAW,R_RAW,,,U56,B,CADENCE,CH_ISDD,W,True,U56|12|63|0.55|W,0.002036747882469103,0.236,0.13701072393881653,1.1135145219733562,-0.20337487191020165,0.12890859120795883,1.1378170932224607,-0.20337487191020176,1.2455820369438084,1.0705773019019158,False,False,False,True,True,True,False,True,True,False,True,True,False,False
R_RAW,R_RAW,,,B136,A,N,CH_ISSHARPE,8,True,B136|8|126|0.75|W,0.15090677311630185,0.199,0.1455591690419591,0.7866466863657643,-0.24535256443898168,0.1782211925038646,0.9883520420625724,-0.24535256443898135,1.369320557424036,0.7066621559053999,False,False,False,True,False,False,False,True,False,False,True,True,False,False
R_RAW,R_RAW,,,B136,A,N,CH_ISCAGR,5,True,B136|5|126|0.75|W,0.07730095238139922,0.758,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,False,False,False,True,False,False,False,True,False,False,True,True,False,False
R_RAW,R_RAW,,,B136,A,N,CH_ISDD,30,True,B136|30|126|0.75|W,0.014522091977295037,0.469,0.1661079493963833,1.0695530808226905,-0.24354358049436964,0.1601345108161336,1.0981338933042264,-0.24354358049436975,1.2732684511921244,0.9689318299894406,False,False,False,True,True,True,False,True,True,False,True,True,True,False
R_RAW,R_RAW,,,B136,A,H,CH_ISSHARPE,63,True,B136|20|63|0.75|W,0.0716018262801199,0.462,0.16487229134834314,0.9960363388880005,-0.28694818362899355,0.1695140686096932,1.082336942583977,-0.2869481836289933,1.3387285180940438,0.8873528433714876,False,False,False,True,True,True,False,True,True,False,True,True,False,False
R_RAW,R_RAW,,,B136,A,H,CH_ISCAGR,63,True,B136|20|63|0.75|W,0.014559751096188567,0.513,0.16487229134834314,0.9960363388880005,-0.28694818362899355,0.1695140686096932,1.082336942583977,-0.2869481836289933,1.3387285180940438,0.8873528433714876,False,False,False,True,True,True,False,True,True,False,True,True,False,False
R_RAW,R_RAW,,,B136,A,H,CH_ISDD,21,True,B136|20|21|0.75|W,0.013057002923771432,0.3,0.15547309710536084,0.9966114494768078,-0.2569070436953067,0.16273672121545713,1.0848266176335637,-0.2569070436953068,1.304650328807595,0.9060332245349892,False,False,False,True,True,True,False,True,True,False,True,True,False,False
