panel,gross,chooser,pick,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4b_oos,keep4b,keep4a_oos,oracle,oracle_oos_Sharpe
U56,0.75,C_ISSHARPE,M,0.09554273464862484,1.2242094738024114,-0.1438168863521796,False,False,False,2W-a,1.3091228090159583
U56,0.75,C_ISCALMAR,W,0.09455179369762767,1.276620821629499,-0.12054956914840886,False,False,False,2W-a,1.3091228090159583
U56,0.75,C_ISLEGS,M,0.09554273464862484,1.2242094738024114,-0.1438168863521796,False,False,False,2W-a,1.3091228090159583
U56,0.75,C_CANON_W,W,0.09455179369762767,1.276620821629499,-0.12054956914840886,False,False,False,2W-a,1.3091228090159583
U56,0.75,C_ORACLE_OOS,2W-a,0.09760677987243227,1.3091228090159583,-0.12141322716468994,False,False,False,2W-a,1.3091228090159583
U56,1.0,C_ISSHARPE,M,0.12817345402287073,1.22512665479931,-0.1880527937465054,True,True,False,2W-a,1.309615623516779
U56,1.0,C_ISCALMAR,M,0.12817345402287073,1.22512665479931,-0.1880527937465054,True,True,False,2W-a,1.309615623516779
U56,1.0,C_ISLEGS,M,0.12817345402287073,1.22512665479931,-0.1880527937465054,True,True,False,2W-a,1.309615623516779
U56,1.0,C_CANON_W,W,0.12669164118494414,1.2759272265148862,-0.1591100739598581,True,True,False,2W-a,1.309615623516779
U56,1.0,C_ORACLE_OOS,2W-a,0.13100549591639488,1.309615623516779,-0.15994424119006612,True,True,False,2W-a,1.309615623516779
B136,0.75,C_ISSHARPE,W,0.07847283605551292,1.1016867720596069,-0.12241069123223391,False,False,False,D,1.1277834292964488
B136,0.75,C_ISCALMAR,M,0.08203424188320096,1.07961931062633,-0.15687484753427483,False,False,False,D,1.1277834292964488
B136,0.75,C_ISLEGS,W,0.07847283605551292,1.1016867720596069,-0.12241069123223391,False,False,False,D,1.1277834292964488
B136,0.75,C_CANON_W,W,0.07847283605551292,1.1016867720596069,-0.12241069123223391,False,False,False,D,1.1277834292964488
B136,0.75,C_ORACLE_OOS,D,0.07823623719380901,1.1277834292964488,-0.11204576025117075,False,False,True,D,1.1277834292964488
B136,1.0,C_ISSHARPE,W,0.10473004292318322,1.100613060466633,-0.1615809194428045,False,False,False,D,1.1281440247639203
B136,1.0,C_ISCALMAR,M,0.10974494092365039,1.0802317302043447,-0.20501142132896133,False,False,False,D,1.1281440247639203
B136,1.0,C_ISLEGS,W,0.10473004292318322,1.100613060466633,-0.1615809194428045,False,False,False,D,1.1281440247639203
B136,1.0,C_CANON_W,W,0.10473004292318322,1.100613060466633,-0.1615809194428045,False,False,False,D,1.1281440247639203
B136,1.0,C_ORACLE_OOS,D,0.10451151719822338,1.1281440247639203,-0.14721765614814564,False,False,False,D,1.1281440247639203
SMALL,0.75,C_ISSHARPE,M,0.039783196544816324,0.5761761771276078,-0.17068035663894143,False,False,False,M,0.5761761771276078
SMALL,0.75,C_ISCALMAR,M,0.039783196544816324,0.5761761771276078,-0.17068035663894143,False,False,False,M,0.5761761771276078
SMALL,0.75,C_ISLEGS,M,0.039783196544816324,0.5761761771276078,-0.17068035663894143,False,False,False,M,0.5761761771276078
SMALL,0.75,C_CANON_W,W,0.036280008883579296,0.5446624091592767,-0.14161687822607472,False,False,False,M,0.5761761771276078
SMALL,0.75,C_ORACLE_OOS,M,0.039783196544816324,0.5761761771276078,-0.17068035663894143,False,False,False,M,0.5761761771276078
SMALL,1.0,C_ISSHARPE,M,0.052319961986785124,0.5779338996631376,-0.22277199251811597,False,False,False,M,0.5779338996631376
SMALL,1.0,C_ISCALMAR,M,0.052319961986785124,0.5779338996631376,-0.22277199251811597,False,False,False,M,0.5779338996631376
SMALL,1.0,C_ISLEGS,M,0.052319961986785124,0.5779338996631376,-0.22277199251811597,False,False,False,M,0.5779338996631376
SMALL,1.0,C_CANON_W,W,0.04750968603008454,0.5444291057973943,-0.1852841442729216,False,False,False,M,0.5779338996631376
SMALL,1.0,C_ORACLE_OOS,M,0.052319961986785124,0.5779338996631376,-0.22277199251811597,False,False,False,M,0.5779338996631376
