panel,gstar_FULL,Jmax_FULL,defined_FULL,interior_FULL,gstar_H1,Jmax_H1,defined_H1,interior_H1,gstar_H2,Jmax_H2,defined_H2,interior_H2,gstar_IS,Jmax_IS,defined_IS,interior_IS,gstar_OOS,Jmax_OOS,defined_OOS,interior_OOS
U56,0.65,3.0703650204222264,True,True,0.65,1.0988212896004739,True,True,0.65,3.5006863025531523,True,True,0.65,1.0988212896004739,True,True,0.65,3.500686302553127,True,True
B136,0.6,2.330133458906283,True,True,0.55,2.2717740173089833,True,True,0.65,2.076532735321099,True,True,0.6,1.464474696429166,True,True,0.6,2.3127956440016306,True,True
SMALL,0.45,-4.778466900537912,False,True,0.4,-3.582081066153546,False,True,0.5,-6.238212775247792,False,True,0.4,-3.2814214167267544,False,True,0.5,-5.638345420616803,False,True
