panel,book,conv,S4_f_star,S4_OOS_Sharpe,S4_OOS_CAGR,S4_OOS_MaxDD,S4_4b,free_sleeve,free_OOS_Sharpe,delta,spy_OOS
B136,ewall,matched,0.5,1.2013092902510765,0.07750884036355377,-0.10580673121255924,False,S4,1.2013092902510765,0.0,0.8820239235972316
B136,ewall,natural,0.5,1.2317346943625984,0.0705230973168709,-0.10239579942339316,False,S4,1.2317346943625984,0.0,0.8820239235972316
B136,top20,matched,0.5,1.000854323306036,0.08551304755272149,-0.11821146074367694,False,S4,1.000854323306036,0.0,0.8820239235972316
B136,top20,natural,0.5,1.052523243946113,0.08051605704949494,-0.1090710192816885,False,S4,1.052523243946113,0.0,0.8820239235972316
B136,v1,matched,0.5,0.7198700371083785,0.04956960896760165,-0.1411482404973271,False,S4+SYQQIM,1.0669981736198402,-0.3471281365114617,0.8820239235972316
B136,v1,natural,0.5,0.7887301265859267,0.047912677286740424,-0.12304132429331838,False,S4+SYQQ,1.130132498787059,-0.34140237220113223,0.8820239235972316
u56,ewall,matched,0.5,1.246965893236008,0.08107865906343492,-0.09527988038270041,False,S4+QQ,1.2504011483750144,-0.0034352551390064434,0.8820107671822842
u56,ewall,natural,0.5,1.279587333161305,0.07400596509059287,-0.08684400427466288,False,S4,1.279587333161305,0.0,0.8820107671822842
u56,top20,matched,0.5,1.2657134760882378,0.0957323610597336,-0.10757186791489082,False,S4+QQ,1.262119783906703,0.0035936921815347134,0.8820107671822842
u56,top20,natural,0.5,1.308068871247853,0.08888776181998126,-0.0996987694416358,False,S4,1.308068871247853,0.0,0.8820107671822842
u56,v1,matched,0.5,0.8931800103944064,0.061342149718520034,-0.10274804634459289,False,S4+SYQQIM,1.0614710258187134,-0.16829101542430702,0.8820107671822842
u56,v1,natural,0.5,0.9310642574823336,0.056733486642569275,-0.08387036683164717,False,S4+SYQQIM,1.1723616743376821,-0.24129741685534856,0.8820107671822842
