char,level,achieved_B,achieved_S,match_resid,prem_B,prem_S,gap,sd_pair,t,within_floor,ratio_to_GAP,ratio_to_568
cvol,0.378049,0.30625874100573375,0.42499895518342706,-0.11874021417769332,-0.0705574177007765,-0.2055096945043915,0.134952276803615,0.07655497853718474,4.317997654915774,False,1.3798801309163087,0.6881809117981387
mrho,0.163402,0.26312195576609215,0.15699897173097702,0.10612298403511514,-0.09310357143722388,-0.12742267315713696,0.03431910171991308,0.06222548425048499,1.3509623694701003,True,0.35091106053080856,0.17500816787309068
mrho,0.194679,0.28979590019557494,0.1988396776000433,0.09095622259553163,-0.07530833983520711,-0.09147105719147271,0.016162717356265593,0.07864762753651154,0.5033897603751197,True,0.16526295865302243,0.08242079222980925
mrho,0.226987,0.3387681828776176,0.24449385674898147,0.09427432612863615,-0.04121941096570064,-0.23105413199511796,0.1898347210294173,0.05745989382713242,8.092569808510378,False,1.9410503172742057,0.968050591684943
beta,0.602108,0.6875698315767907,0.7288697629388484,-0.041299931362057674,-0.14386842366089872,-0.1997289954220134,0.05586057176111467,0.09492587749372564,1.4414393753052022,True,0.5711714903999455,0.2848575816477036
beta,0.905449,0.9622152893131437,0.9452082011222237,0.017007088190920006,-0.04645224687681044,-0.20187020864263175,0.15541796176582132,0.07254800650840346,5.247486754106061,False,1.5891407133519562,0.7925444251189256
beta,1.06798,1.0499197277157535,1.0603066398936456,-0.010386912177892116,-0.09108276665577926,-0.1393783862584123,0.04829561960263305,0.061023453851103464,1.9385927438105615,True,0.4938202413357163,0.24628056911082638
beta,1.245793,1.1279222485691642,1.1825889398145455,-0.05466669124538126,-0.11167718735873554,-0.18781531496340909,0.07613812760467355,0.060733553484579685,3.070782984066905,False,0.778508462215476,0.38826174199221597
tpers,0.960691,0.9634561028176708,0.9615615810158825,0.0018945218017882848,-0.12799891811110256,-0.2588054655476338,0.13080654743653122,0.0824296455143638,3.887063861979504,False,1.3374902600872314,0.6670400175243816
tpers,0.965932,0.9672468651562571,0.9652464138144916,0.002000451341765519,-0.08394514018157646,-0.22237052425128356,0.1384253840697071,0.08413767008827008,4.029961348630696,False,1.4153924751503795,0.7058918106563341
tpers,0.970456,0.9694935134461279,0.968386686684178,0.0011068267619498418,-0.025093963843968267,-0.11709798656677994,0.09200402272281168,0.06331422178925063,3.559435835829531,False,0.9407364286586061,0.4691689073065358
plevel,1.55057,1.6146482638370685,1.4419959760818541,0.17265228775521435,-0.012189908389011147,-0.15415878035582276,0.1419688719668116,0.06040770427095809,5.756737486949821,False,1.45162445773836,0.7239616112535013
