panel,arm,committed_npass,mine_npass,committed_width,mine_width,match
B136,BAND03,1,1,0.0,0.0,True
B136,BAND03_M,1,0,0.0,,False
B136,BAND08,2,2,0.050000000000000044,0.050000000000000044,True
B136,CAND05,0,0,,,True
B136,CAND10,0,0,,,True
B136,CAND20,0,0,,,True
B136,CAND20_NOCAP,1,1,0.0,0.0,True
B136,CAND20_VS,0,0,,,True
B136,EWELIG,2,2,0.09999999999999998,0.09999999999999998,True
B136,SPYBH,0,0,,,True
U56,BAND03,2,2,0.050000000000000044,0.050000000000000044,True
U56,BAND03_M,2,2,0.050000000000000044,0.050000000000000044,True
U56,BAND08,2,2,0.050000000000000044,0.050000000000000044,True
U56,CAND05,0,0,,,True
U56,CAND10,0,0,,,True
U56,CAND20,1,1,0.0,0.0,True
U56,CAND20_NOCAP,1,1,0.0,0.0,True
U56,CAND20_VS,1,1,0.0,0.0,True
U56,EWELIG,2,2,0.09999999999999998,0.09999999999999998,True
U56,SPYBH,0,0,,,True
