phi,delta,N_CD,N_4B,n_books_CD,n_books_4B,best_book,best_gross,best_sleeve,best_Sharpe,best_CAGR,best_MaxDD
0.0,0.1,16,13,10,9,B136k20d00,0.2,0.15,1.4027441596543764,0.029078669261217716,-0.03073209414830902
0.0,0.2,284,235,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,0.3,631,537,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,0.4,959,804,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,0.5,1236,1025,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,0.6,1437,1172,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,0.7,1540,1237,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,0.8,1582,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,0.9,1588,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,1.0,1589,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,1.1,1590,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,1.2,1590,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,1.3,1590,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,1.4,1590,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,1.5,1590,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,1.6,1590,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,1.7,1590,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,1.8,1590,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,1.9,1590,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.0,2.0,1590,1260,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,0.1,15,12,10,9,B136k20d00,0.2,0.15,1.4027441596543764,0.029078669261217716,-0.03073209414830902
0.1,0.2,282,234,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,0.3,629,536,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,0.4,957,803,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,0.5,1234,1024,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,0.6,1435,1171,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,0.7,1538,1236,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,0.8,1580,1258,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
